a|◊:b:o|m:b|	เ:อ|บ:อ|ม:บ:์|
t|a|l|k|◊|o|f|◊|t|h|e|◊:t|o|w|n|	ท|อ|ล:์|ก|อ|อ|ฟ|เ|ด|อ|ะ|ท|า|ว|น:์|
t|a|l|k:◊|s:h:o|w|	ท|อ|ล:์|ก|โ:ช|ว:์|
t:a|l:l|a|h:a:s|s|e|	แ:ต:ล|ล|า|แ:ฮ|ส:ซ|ี|
t:a|l:l:a|n|t|	ท:ั:ล|เ:ล|ิ:่:น|ต:์|
t|a|l|l|e|	ท|อ|ล|ล|์|
t:a:l|l|e:y|	แ:ท|ล:ล|ี:ย:์|
t|a|l|l|i|n|	ท|า|ล|ล|ิ|น|
t:a|l:l|i|n|	แ:ต:ล|ล|ิ|น|
t:a:l|l:i|s|	แ:ท|ล|ล:ิ:ส|
t|a|l:l|m:a|n|	ท|อ|ล|เ:ม:ิ|น|
t:a:l|l|u|l:a:h|	แ:ท|ล|ู:ล|่:า|
t|a|l|l:y|	ท|อ|ล|ล:ี:่|
t|a:l|m:a|d:g:e|	แ:ท|ล|แ:ม:็|จ|
t|a:l|m|a:g:e|	แ:ท|ล|ม|ิ:จ|
t:a:m|a|r|	แ:ท|ม:า|ร:์|
t|a|m|a|r|a|	ท|า|ม|า|ร|า|
t:a:m|a|r|i|n:d|	แ:ท|ม:า|ร|ี|น:ด:์|
t|a|m|a|y:o|	ท|า|ม:า|โ|ย|
t:a:m|b|o:u|r|i|n:e|	แ:ท|ม:บ|ู|ร|ิ|น|
t:a:m|b|o:u|r|i:n:e|	แ:ท|ม:บ|ู|ร|ี:น|
t:a:m|m|	แ:ท|ม|
t:a:m|m:a|n|y|	แ:ท|ม:เ:ม|อ:น|ี:่|
t:a:m|m|y|	แ:ท|ม:ม|ี:่|
t|a:m|p:e|r|i:n:g|	แ:ท|ม|เ:ป:อ|ร|ิ:ง|
t|a:n|	แ:ท|น|
t|a|n|a|n|a|r|i:v:e|	ท|า|น|า|น|า|ร|ี:ฟ|
t|a:n|c|o|c:k|	แ:ท|น|ค|ั|ก|
t:a:n|d:e|m|	แ:ท|น:เ:ด|ิ:ม|
t:a:n|d|l:e|r|	แ:ท|น:ด|์:เ:ล|อ:ร:์|
t|a:n|d|o:n|	แ:ท|น|เ:ด|ิ:่:น|
t:a:n|d|y|	แ:ท|น:ด:ี|้|
t:a|n:e|y|	เ:ท:น|น:ี:่|ย:์|
t:a:n|g|e|n|t|	แ:ท|น|เ:จ|น|ต:์|
t:a:n|g|o|	แ:ท|ง|โ:ก|
t|a:n|g:u:a|y|	แ:ท|น|เ:ก|อ:ร:์|
t|a|n|g:u:y|	ท|ั|ง|ไ:ก|
t:a|n:k|	แ:ท:็|ง:ก:์|
t|a|n|k|a|	ต|ั|ง|ก|า|
t|a|n|k|a|	ท|ั|ง|ก|ะ|
t|a:n|k:e|r|s:l|e:y|	แ:ท|ง|เ:ก:อ|ร:์|ล|ี:ย:์|
t:a:n|n|	แ:ท|น|
t:a|n|n:e|r|	แ:ท:็|น|เ:น:อ|ร:์|
t:a:n|n:i|n|	แ:ท|น:น:ิ|น|
t|a:n|q:u|e|r:a|y|	แ:ท|ง|เ:ค:ว|อ:เ|ร|ย:์|
t|a:n|s|	แ:ท|น|ส:์|
t|a:n|s|e:y|	แ:ท|น|ซ|ี:ย:์|
t:a:n|t|a|l|i:t|e|	แ:ท|น:ท|า|ไ:ล|ต|์|
t:a:n|t|a|l|u|m|	แ:ท|น:ท|า|ล|ั|ม|
t|a:n|z|e:r|	แ:ท|น|เ:ซ|อ:ร:์|
t|a:p|	แ:ท|ป|
t:a|p|	แ:ท:็|ป|
t|a:p:e|	เ:ท|ป|
t|a:p|e:◊|d:e|c:k|	เ:ท|ป|เ|ด|ก|
t:a|p|e:s|t|r|y|	แ:ท:เ|พ|ส|ท|ร|ี|
t|a:p|i|o|c|a|	แ:ท|ป|ิ|โ:อ|ก|า|
t:a|p|l|i|n|	แ:ท:็|ป|ล|ิ|น|
t|a:p|p|a|n|	แ:ท|ป|พ|ั|น|
t:a|p|p|a|n|	แ:ท:็|ป|เ:พ|ิ:่|น|
t:a|p|p|a:s|	แ:ท:็|ป|เ:ป:ิ|ส|
t:a|p|p:e|r|	แ:ท:็|ป|เ:ป:อ|ร:์|
t|a:p|p|i:n|	แ:ท|ป|ป|ิ:้:น|
t:a|p:p:i|n:g|	แ:ท:็|ป:ป|ิ:่:ง|
t:a|p:p|s|	แ:ท:็|ป|ส:์|
t:a|p|s|c|o:t:t|	แ:ท:็|ป|ส:เ|ก|ิ:ต|
t|a|r|b|e|l:l|	ท|า|ร:์|เ|บ|ล|
t|a|r|c:h:e|r|	ท|า|ร:์|เ:ช|อ:ร:์|
t|a|r|k|i:n:g|t:o:n|,:◊|b:o:o|t:h|	ท|า|ร:์|ค|ิ:ง|ต:ั|น:,:◊|บ:ู|ท|
t|a|r|l:e|t|o:n|	ท|า|ร:์|ล|เ:ต|ิ:้:น|
t|a|r|n|	ท|า|ร:์|น|
t|a|r|p|l|e:y|	ท|า|ร:์|ป|ล|ี:ย:์|
t:a:r|r|	ท:า|ร:์|
t|a|r|r|a|n|t|	ท|า|ร:์|เ:ร|ิ:่|น|ต:์|
t|a:r|r:y|	แ:ท|ร|ร:ี:่|
t|a|r|t|	ท|า|ร:์|ต|
t|a|r|v:e|r|	ท|า|ร:์|เ:ว:อ|ร:์|
t|a|r|z|a|n|	ท|า|ร:์|ซ|า|น|
t|a|r|z|w:e:l|l|	ท|า|ร:์|ส|เ:ว|ล|
t|a|s|c:a|	ท|ั|ส|ค:่:า|
t:a:s|c:h|e:r|e:a:u|	แ:ท|ช|ี:โ:ร|้|
t|a:s:h|	แ:ท|ช|
t|a:s:h|j|i|a:n|	แ:ท|ช|เ:จ|ี|่:ย:น|
t|a|s:k|	ท|า|ส:ก:์|
t|a|s:k|◊:b:a|r|	ท|า|ส:ก:์|บ:า|ร:์|
t|a:s|k:e|r|	แ:ท|ส|เ:ค:อ|ร:์|
t|a:s|m:a:i|n:i|a|	แ:ท|ส|เ:ม|เ:น:ี|ย|
t:a|s|s|i|e|	แ:ท:็|ส|ซ|ี|่|
t|a:s|t|y|	เ:ท|ส|ต|ี|
t|a|t|a|m|	ท|อ|เ:ท|ิ:่|ม|
t|a|t|a|r|	ต|า|ต|า|ร:์|
t|a:t:e|	เ:ท|ต|
t|a:t|e|m|	แ:ท|ท|ิ|ม|
t:a|t:h|a|m|	แ:ท:เ|ท|ิ:่|ม|
t:a|t|o|m|	แ:ท:เ|ท|ิ:้|ม|
t:a|t|o|r|	แ:ท:เ|ต|อ|ร:์|
t:a|t|r:o|	แ:ท:็|ต|โ:ท:ร|
t:a|t|t:e|r|s:a|l:l|	แ:ท:็|ต|เ:ต:อ|ร:์|เ:ซ:ิ|ล|
t:a|t:t|i:n:g|	แ:ท:ต|ต|ิ:ง|
t:a|t:t|n:a|l:l|	แ:ท:็|ต|เ:น:ิ|ล|
t:a|t:t:o|n|	แ:ท:ต|เ:ต|ิ:้:น|
t|a|t|u|m|	ท|า|ท|ั|ม|
t|a:u|	เ:ท|า|
t|a|u:b|	ท|า|ว:บ:์|
t|a|u|b:e|	ท|็|อ|บ|
t|a|u|b:e|r|	เ:ท|า|เ|บ|อ:ร:์|
t|a:u|b|e|s|	เ:ท|า|บ|ึ|ส|
t|a:u|b|m:a|n|	เ:ท|า|บ:์|เ:ม:ิ|น|
t:a:u|c:h|	ท:อ|ช|
t|a:u|s:s:i|g|	เ:ท|า|ซ:ิ|ก|
t|a:u|t:o|m:e|r|	เ:ท|า|โ:ท:เ|ม|อ:ร:์|
t|a:v|a|n|i|	เ:ท|ว|า|น|ี:่|
t|a|v|a|r|e:s|	ท|า|ว|า|เ:ร|ส|
t:a|v|e:l|	ท:ั:ฟ|เ:ว|ล|
t|a|v:e|r|n:e|	ท|า|เ:ว:ิ|ร:์|น|
t|a|v:e|r|n:e|r|	ท|า|เ:ว:อ|ร:์|เ:น:อ|ร:์|
t|a|v|i|s:h|	เ:ท|อ:ร:์|ว|ิ|ช|
t|a|v|i|s|t:o|c:k|	ท|า|ว|ิ|ส|ต:็:อ|ก|
t|a:w|n:e|y|	ท|อ|น|ี:่|
t:a|x|i|	แ:ท:็|ก:ซ|ี:่|
t:a|x|i|◊:w:a|y|	แ:ท:็|ก:ซ|ี:่|เ:ว|ย:์|
t:a|x|i|s|	แ:ท:็|ก:ซ|ี:่|ส:์|
t|a|y|l:e|r|	เ:ท|ย|์|เ:ล:อ|ร:์|
t|a|y|l|o|r|,:◊|e|l|i|z|a|b|e|t:h|	เ:ท|ย|์|เ:ล|อ|ร|์:,:◊|เ:อ|ล|ิ|ซ|า|เ|บ|ท|
t|a|y|l|o|r|,|◊:j:a|m:e|s|	เ:ท|ย|์|เ:ล|อ|ร:์|,:◊|เ:จ|ม|ส:์|
t|a|y|l|o|r|,:◊|z|a:c|h:a|r|y|	เ:ท|ย|์|เ:ล|อ|ร|์:,:◊|แ:ซ|ค|า|ร|ี|
t|a:z:e|	เ:ท|ส:์|
t:a|z:e|w:e:l|l|	แ:ท:็|ส|เ:ว|ล|
t|b|i|l|i|s|i|	ท|บ|ิ|ล|ิ|ซ|ี|
t|c:h:a|i:k|o|v|s|k|y|,|◊:p|e|t:e|r|◊|i|.|	ไ|ช|ค|อ|ฟ|ส|ก|ี|,:◊|ป|ี|เ:ต:อ|ร:์|◊|ไ:อ|.|
t|d|r|i|	ท:ี|ด:ี:อ|า:ร:์|ไ:อ|
t|d|s|	ท:ี|ด:ี|เ:อ:ส|
t:e:a|	ท:ี|
t:e:a|c:h|	ท:ี|ช|
t:e:a|c:h|e|r|	ท:ี|ช|เ:ช|อ:ร:์|
t:e:a|c:h:e|r|	ท:ี|เ:ช|อ:ร:์|
t:e:a|d|	ท:ี|ด|
t:e:a|g|l:e|	ท:ี|เ:ก:ิ|ล|
t:e:a|g:u:e|	ท:ิ|๊:ก|
t:e:a|l|	ท:ี|ล|
t:e:a|l:e|	ท:ิ|ล|
t:e:a|m|	ท:ี|ม|
t:e:a|m:◊|p|u:r|s|u|i:t|	ท:ี|ม|เ:ป|อ:ร:์|ซ|ู|ต|
t:e:a|m:◊|w:o|r|k|	ท:ี|ม|เ:ว:ิ|ร:์|ก|
t:e:a|m|s|t:e|r:s|	ท:ี|ม|ส:เ|ต|อ:ร:์|
t:e:a|m|w:o|r|k|	ท:ี|ม|เ:ว:ิ|ร:์|ก|
t|e:a|r|	เ:ท|ี|ย:ร:์|
t|e:a|r:s|	เ:ท|ี|ย:ส:์|
t:e:a|s|d|a:l:e|	ท:ี|ส|เ:ด|ล|
t:e|b|b:u|t:t|	เ:ท:็|บ|เ:บ:ิ|ต|
t|e:c:h|n|e:t|i|u|m|	เ:ท|ค|น|ี:เ:ช|ี|ย|ม|
t|e:c:h|n|e:t|i|u|m|	เ:ท|ค|น|ี:เ:ท|ี|ย|ม|
t|e:c:h|n|i|c|	เ:ท|ค|น|ิ|ค|
t|e:c:h|n|i|c:a|l:◊:f|o|u|l|	เ:ท|ก|น|ิ|เ:ค:ิ|ล:ฟ|า|ว|ล:์|
t|e:c:h|n|i|c:a|l:◊|k:n|o|c:k|o:u|t|	เ:ท|ก|น|ิ|เ:ค:ิ|ล|น|็:อ|ก|เ:อ:า|ต:์|
t|e:c:h|n|i:c|a|l:◊|k:n|o|c:k|o:u|t|	เ:ท|ค|น|ิ:เ:ก|ิ|ล|น|็:อ|ก|เ:อ:า|ต:์|
t|e:c:h|n|i|c|i|a:n|	เ:ท|ค|น|ิ|เ:ช|ี:ย|น|
t|e:c:h|n|i|c|o|l:o|r|	เ:ท|ค|น|ิ|ค|ั|ล:เ:ล|อ:ร:์|
t|e:c:h|n|i|q:u:e|	เ:ท|ค|น|ิ|ค|
t|e|c:h|n:o|c|r|a:t|	เ:ท|ค|โ|น|แ:ค|ร|ต|
t|e|c:h|n:o|l:o:g|y|	เ:ท|ค|โ|น|โ:ล|ย:ี|
t|e:d|	เ:ท|ด|
t|e:d|d:e|r|	เ:ท|ด|เ:ด:อ|ร:์|
t|e:d|d|y|	เ:ท|ด|ด|ี|
t|e:e|	ท|ี|
t:e|e:◊|o|f:f|	ท|ี|อ:อ|ฟ|
t|e:e:◊|s:h|i|r|t|	ท:ี|เ|ช|ิ|ร:์|ต|
t|e:e|-|s:h:i|r|t|	ท|ี|เ|ช|ิ|้:ต|
t:e:e|c:e|	ท:ิ|ส|
t:e:e|l|	ท:ิ|ล|
t:e:e|l:e|	ท:ิ|ล|
t|e:e|n|-|a|g:e|	ท|ี|น|เ|อ|จ|
t|e:e|n|a|g:e|	ท|ี|น|เ:อ|จ|
t|e:e|t:e|r|	ท|ี|ต:เ:ท|อ:ร:์|
t|e:e|t:e|r|s|	ต|ี|เ:ต:ิ|ร:์|ส|
t|e:f|l|o|n|	เ:ท|ฟ|ล|อ|น|
t:e|g:e|n|	เ:ท:เ|จ|ิ:่:น|
t|e|h|a:r|a|n|	เ|ต|ห:ะ|ร|า|น|
t|e:h:e|r|a|n|	เ:ต|ห:ะ|ร|า|น|
t|e|h|r|a|n|	เ|ต|ห:ะ|ร|า|น|
t:e:i|c:h|m|a|n:n|	ไ:ท|ก|์:เ:ม|ิ|น|
t:e:i|g:e|n|	ไ:ท|เ:ก:ิ|้:น|
t:e|i|l|	ท|ิ|ล|
t:e:i|t:e|l|b|a|u|m|	ไ:ท|เ:ต:ิ|ล|เ|บ|า|ม:์|
t|e:k|t|i:t|e|	เ:ท|ก|ไ:ท|ต|์|
t|e:l|	เ:ท|ล|
t:e|l:e|c|i:n:e|	เ:ท:เ|ล|ซ:ี|น|
t:e|l:e|g|r|a|p:h|	เ:ท:เ|ล|ก|ร|า|ฟ|
t:e|l|e|m|a:t|i|c|s|	เ:ท:เ|ล|แ|ม|ต|ิ|ก|ส:์|
t:e|l:e|x|	เ:ท:เ|ล|ก:ซ:์|
t:e|l|e|x|	เ:ท:เ|ล|็|ก:ซ:์|
t|e:l|f:e|r|	เ:ท|ล|เ:ฟ:อ|ร:์|
t|e:l|f:o|r|d|	เ:ท|ล|เ:ฟ:ิ|ร:์|ด|
t:e|l:i|a|	เ:ท:เ|ล|ี:ย|
t|e:l|l|	เ:ท|ล|ล:์|
t|e:l|l:e|r|	เ:ท|ล|เ:ล:อ|ร:์|
t|e:l|l:e:s|	เ:ท|ล|ส:์|
t:e:l|l:e|z|	เ:ท|ล:เ:ล|ส|
t|e:l|l|i:n:g|	เ:ท|ล|ล|ิ:ง|
t|e:l|l:u|r:i|u:m|	เ:ท|ล|ล:ู:เ|ร|ี:ย:ม|
t|e:l|l|u|r|o:m:e|t:e|r|	เ:ท|ล|ล|ู|โ:ร|ม:ิ|เ:ต:อ|ร:์|
t|e:l|l:y|	เ:ท|ล|ล:ี:่|
t|e:l|n|e:t|	เ:ท|ล|เ:น|ต|
t|e:l|n|e|t|	เ:ท|ล|เ:น|็|ต|
t|e|l:o|p:h|a:s:e|	เ|ท|โ:ล:เ|ฟ|ส|
t|e:l|o|s|	ท:ี|ล|อ|ส|
t|e:l|v:a|	เ:ท|ล|ว:่:า|
t|e:m|a|s|e:k|◊:h:o|l|d|i:n:g|	เ:ท|ม|า|เ:ซ|ก|โ:ฮ|ล|ด|ิ:ง|
t|e:m|i|n|	เ:ท|ม|ิ|น|
t|e:m|p:e|r:e|d|	เ:ท|ม|เ:ป:อ|ร|์|
t|e:m|p:e|r|l|e:y|	เ:ท|ม|เ:ป:อ|ร:์|ล|ี:ย:์|
t|e:m|p|e:s|t|	เ:ท|ม|เ:ป|ส|ต:์|
t|e:m|p|l|a|d|a|	เ:ต|ม|ป|ล|า|ด|า|
t|e:m|p|l|a|r|	เ:ท|ม|พ|ล|า|ร:์|
t|e:m|p|l|a:t:e|	เ:ท|ม|เ:พ|ล|ต|
t|e:m|p|l|a|t:e|	เ:ท|ม|เ:พ|ล|็|ต|
t|e:m|p|l:e|	เ:ท|ม|เ:ป:ิ|ล|
t|e:m|p|l:e|	เ:ท|ม|เ:พ:ิ|ล|
t:e|m|p|l:e|	เ:ท:็|ม|เ:พ:ิ|ล|
t|e:m|p|l|e:m:a|n|	เ:ท|ม|เ:ป|ิ:ล|เ:ม|ิ:่:น|
t:e|m|p|l:e|r|	เ:ท:็|ม|เ:พ|อ:เ:ล|อ:ร:์|
t|e:m|p|l:e|t|o:n|	เ:ท|ม|เ:พ:ิ|ล|เ:ต:ิ|น|
t:e|m|p|l|i|n|	เ:ท:็|ม|พ|ล|ิ|น|
t|e:m|p|u|r|a|	เ:ท|ม|ป|ุ|ร|ะ|
t:e|n|	เ:ท:็|น|
t|e:n|c|h|	เ:ท|น|ช|์|
t|e:n|d:e|r|l|o|i:n|	เ:ท|น|เ:ด:อ|ร:์|ล|อ|ย:น:์|
t|e:n|d|l:e|r|	เ:ท|น|ด:์|เ:ล:อ|ร:์|
t:e|n:e|d|o|s|	เ:ท:เ|น|ด|อ|ส|
t:e|n:e|n|b|a|u|m|	เ:ท:เ|น|ิ:น|เ|บ|า|ม:์|
t:e|n:e|r|	เ:ท:เ|น|อ:ร:์|
t|e:n|i|m|b|a|r|	เ:ต|น|ิ|ม|บ|า|ร:์|
t|e:n|i|s|o|n|	เ:ท|น|ี|ส|ั|น|
t|e:n|n:a|n|t|	เ:ท|น|เ:น:ิ|น|ต:์|
t|e|n:n:a|n:t|i:t|e|	แ:ท|น|แ:น|น:ไ:ท|ต|์|
t:e|n:n:e|n|t|	เ:ท:เ|น|ิ:่:น|ต:์|
t|e:n|n|e:s|s:e:e|	เ:ท|น|เ:น|ส|ซ:ี|
t|e:n|n:e|y|	เ:ท|น|น|ี|
t|e:n|n|i:e|l|	เ:ท|น|น|ิ|ล|
t|e:n|n|y|	เ:ท|น|น|ี|
t|e:n|n|y|s|o|n|	เ:ท|น|น|ิ|ส|ั|น|
t|e:n|n|y|s|o|n|,|◊|a|l|f|r|e:d|◊|l|o|r|d|	เ:ท|น|น|ิ|ส|ั|น|,:◊|อ|ั|ล|เ:ฟ|ร|ด|◊|ล|อ|ร:์|ด|
t:e:n|o|	เ:ท|โ:น|
t|e:n|o|r|	เ:ท|น:เ:น|อ|ร:์|
t:e|n|o|r|	เ:ท:เ|น|อ|ร:์|
t|e:n|o|r|i|o|	เ:ท|น|อ|ร|ิ|โ:อ:้|
t|e:n|o:r|i|t|e|	เ:ท|น|อ|ไ:ร|ต|์|
t|e:n|s|e|	เ:ท|น|ส|์|
t|e:n|s|o|r|	เ:ท|น|เ:ซ|อ|ร:์|
t:e|n|t|	เ:ต:็|น|ท:์|
t|e:o|d:o|r:o|	ท|ี:โ:อ|ด|อ:โ:ร|
t:e|p:e|r|	ท:ี:เ|พ|อ:ร:์|
t|e|p:h:i|g|r|a:m|	ท|ี|ฟ:ี|แ:ก|ร|ม|
t|e|p:h:i|g|r|a:m|	เ|ท|ฟ:ิ|แ:ก|ร|ม|
t|e|p:h|r|a|	ท|ี|ฟ|ร|า|
t:e|p|p:e|r|	เ:ท:็|ป|เ:ป:อ|ร:์|
t|e|q:u:i|l|a|	เ|ท|ก:ี|ล|า|
t:e|r|	เ:ต:อ|ร:์|
t|e:r|a|	เ:ท|ร|ะ|
t|e:r|a|b|y:t:e|	เ:ท|ร|ะ|ไ:บ|ต:์|
t|e:r|a|i|	เ:ต|ร|า|ย|
t:e|r|a|t:o|g:e|n|	เ:ท:อ|ร|า|โ:ท:เ|จ|น|
t:e|r|a|t:o|g:e|n|e|s|i|s|	เ:ท:อ|ร|า|โ:ท:เ|จ|น|ิ|ซ|ิ|ส|
t:e|r|a|t:o|g:e|n|i|c|i|t|y|	เ:ท:อ|ร|า|โ:ท:เ|จ|น|ิ|ซ|ิ|ต|ี|
t:e|r|b:i|u:m|	เ:ท:อ|ร:์:เ|บ|ี:ย:ม|
t:e|r|e:n|c|e|	เ:ท:เ|ร|น|ซ|์|
t:e|r|e:s|	เ:ท:เ|ร|ส|
t|e|r:e|s|a|	เ:ต|เ|ร|ซ|า|
t|e:r|e|s|a|	เ:ท|ร|ี|ซ|า|
t:e|r:e|s|a|	เ:ท:เ|ร|ซ|า|
t:e|r|h:o:r|s|t|	เ:ท:อ|ร:์|ฮ:อ|ส|ต:์|
t|e:r:i|y|a|k|i|	เ:ท|ร:ิ|ย|า|ก|ิ|
t:e|r|k:e|l|	เ:ท:อ|ร:์|เ:ค:ิ|ล|
t:e|r|n|a:t:e|	เ:ท:อ|ร:์|เ:น|ต|
t|e|r:r:a|	แ:ท|ร:์|ร:า|
t|e|r:r:a|◊:r|o|s|s|a|	แ:ท|ร:์|ร:า|ร|อ|ส|ซ|า|
t:e|r|r|a:c:e|	เ:ท:อ|ร:์|เ:ร|ซ|
t|e:r:r|a|c:e|	เ:ท|เ:ร|ิ|ส|
t:e|r|r|a|l|	เ:ท:อ|ร:์|ร|า|ล|
t:e|r|r|e:l|l|	เ:ท:อ|ร:์|เ:ร|ล|ล:์|
t|e:r|r|e|l:l|	แ:ท|ร:์:เ|ร|ิ|ล|
t|e:r:r|i|	เ:ท|ร:์|ร:ี|
t|e:r|r|i|l:l|	แ:ท|ร:์:เ|ร|ิ|ล|
t|e|r:r:y|	เ:ท|ร:์|ร:ี|
t:e|r|t|i|a:r|y|	เ:ท:อ|ร:์|เ:ช|ี:ย|ร|ี|
t:e|r|v|o:l|a|	เ:ท:อ|ร:์:โ|ว|ล|่:า|
t|e|s:h|	เ|ท|ช|
t|e:s|k|e|	เ:ท|ส|ก|์|
t|e:s|l|a|	เ:ท|ส|ล|า|
t|e:s|l|a|,|◊|n|i|k|o:l|a|	เ:ท|ส|ล|า|,|◊|น|ิ|โ:ค|ล|า|
t|e:s|m|a|n|	แ:ท|ส|ม|ั|น|
t|e:s|s|	เ:ท|ส|ส:์|
t|e:s|s|a|	เ:ท|ส|ซ|า|
t|e:s|s|e|l:l:a|t:i:o|n|	เ:ท|ส|เ:ซ|ล|เ:ล|ช:ั|น|
t|e:s|t|	เ:ท|ส|ต:์|
t|e:s|t:e|r|	เ:ท|ส|เ:ต:อ|ร:์|
t:e|t:e|r|	ท:ี:เ|ต|อ:ร:์|
t:e|t:h|e:r|	เ:ท:เ|ท|อ:ร:์|
t|e:t:h|y|s|	เ:ท|ท|ิ|ส|
t|e|t|r|a:d|	เ:ท|แ|ท|ร|ด|
t|e:t|r|a|e|t:h:y|l|	เ:ท|ท|ร|ะ|เ:อ|ท:ิ|ล|
t|e:t|r|a|h|e|d|r|i:t|e|	เ:ท|ท|ร|า|ฮ|ิ|ไ:ด|ร|ต|์|
t|e:t|r|a|s:a|c|c:h|a:r|i|d|e|	เ:ท|ท|ร|ะ|แ:ซ:็|ก|ค|า|ไ:ร|ด|์|
t|e:t|r|a|s:a|c|c:h|a|r|o|s:e|	เ:ท|ท|ร|ะ|แ:ซ:็|ก|ค|า|โ|ร|ส|
t|e:t|r:o|d:e|	เ|ท|โ:ท:ร|ด|
t:e:u|b|n:e|r|	ท:ั|บ|เ:น:อ|ร:์|
t|e|u|f:e|l|	ท|อ|ย|เ:ฟ:ิ|ล|
t|e|u|s|c:h:e|r|	ท|อ|ย|เ|ช|อ:ร:์|
t:e|u|t|o|n|i|c|	ท|ู|ท|อ|น|ิ|ก|
t|e|v|i|o|t|	เ|ท|ว|ี|เ:อ:ิ|ต|
t:e:w|	ช:ู|
t|e|x:a|s|	เ|ท|ก:ซ:ั|ส|
t:e|x:e|i:r|a|	เ:ท:็|ก:เ:ซ|ร|่:า|
t|e|x:t|	เ|ท|ก:ซ:์|
t|e:x|t|i:l|e|	เ:ท|ก:ซ:์|ไ:ท|ล|์|
t:e|x|t|o|r|	เ:ท:็|ก:ส:์|เ:ต|อ|ร:์|
t:h:a|c:h|	แ:ท|ช|
t:h:a|c:h:e|r|	แ:ท|เ:ค|อ:ร:์|
t:h:a|c|k:e|r|	แ:ท|็:ก|เ:ค:อ|ร:์|
t:h:a|c|k:e|r|a:y|	แ:ท|ก|เ:ค:อ|ร|ี:ย:์|
t:h:a|d|	แ:ท|็:ด|
t:h:a|d|d:e|u:s|	แ:ท|็:ด:เ|ด|ี:ย:ส|
t:h|a:i|l|a:n|d|	ไ:ท:ย|แ|ล|น|ด:์|
t:h:a|i:n|	เ:ท|น|
t:h:a|l:e|r|	เ:ท|เ:ล:อ|ร:์|
t:h:a|l|h:e:i|m:e|r|	แ:ท|ล|ไ:ฮ|เ:ม:อ|ร:์|
t:h:a|l|l:i|u:m|	เ:ท|ล:เ|ล|ี:ย:ม|
t:h:a|l|l:i|u:m|	แ:ท|ล:เ|ล|ี:ย:ม|
t:h:a|l:l|o|p:h:y|t|e|	แ:ท|ล|โ:ล|ไ:ฟ|ต|์|
t:h:a|n:e|	เ:ท|น|
t:h:a|n|k|a|	ต:ั|ง|ก|า|
t:h|a:n|t:,:◊|u|	ถ|ั:่:น|,:◊|อ:ู|
t:h|a|s|o|s|	ท|า|ซ|อ|ส|
t:h:a|t|c:h:e|r|	แ:ท|ต|เ:ช|อ:ร:์|
t:h|a|u|	ท|า|ว|
t:h:a|y:e|r|	เ:ท|เ:อ:อ|ร:์|
t:h:e|a|	เ:ท|ี:ย|
t:h:e|a:r|d|	เ:ท|ิ:ร:์|ด|
t:h:e|a|t:e|r|	เ:ท|ี:ย|เ:ต:อ|ร:์|
t:h:e|d:a|	ท:ี|ด:้:า|
t:h:e|d:e|	ท:ี|ด|
t:h:e|i:l:e|	ไ:ท|ล|
t:h:e|i:l:e|r|	ไ:ท|เ:ล|อ:ร:์|
t:h:e|i:s:s|	ไ:ท|ส:์|
t:h:e|k|,|◊:p|a|u:l|	เ:ท|ก|,:◊|พ|อ|ล|
t:h:e|l|e:n|	เ:ท|เ:ล|ิ:่:น|
t:h:e|l|m|a|	เ:ท|ล|ม|า|
t:h:e|o|	ท:ี|โ:อ|
t:h:e|o|	ธ:ี|โ:อ|
t:h:e|o|b:a|l|d|	ท:ี|อ:อ|เ:บ:ิ|ล|ด:์|
t:h|e|o|d:o|l|i:t|e|	ท|ี:โ:อ|โ|ด|ไ:ล|ต|์|
t:h|e|o|d:o|l|i:t|e|	ธ|ี:โ:อ|โ|ด|ไ:ล|ต|์|
t:h:e|o|d|o|r|	เ:ท|โ:อ|ด|อ|ร:์|
t:h:e|o|d:o|r:e|	ท:ี|โ:อ|ด|อ:ร:์|
t:h:e|o|d:o|r:e|	เ:ต|โ:อ|ด|อ:ร:์|
t:h:e|o|d:o|r:e|◊|n|e|w|c|o|m:b|	ท:ี|โ:อ|ด|อ:ร:์|◊|น|ิ|ว|ค|อ|ม:บ:์|
t:h:e|o|d|o|r:u|s|	ท:ี|เ:อ:อ|ด|อ|เ:ร:ิ|ส|
t:h:e|o|d:o|s|i|a|	ท:ี|เ:อ:อ|โ:ด:เ|ซ|ี|ย|
t:h:e|o|p:h:i|l|	เ:ท|เ:อ:อ|เ:ฟ|ิ:ล|
t:h:e|o|s|	ท:ี|อ:อ|ส|
t:h:e|r:e|m|i|n|	แ:ท|ร|ม|ิ|น|
t:h:e|r|e|s|a|	เ:ท|ร|ี|ซ|า|
t:h:e|r|e|s|a|	เ:ท|เ|ร|ซ|า|
t:h:e|r|i|o:t|	ท:ี|เ:ร|ี:ย|ต|
t:h:e|r|m|i|o|n|i|c|	เ:ท|อ:ร:์|ม|ิ|อ:อ|น|ิ|ก|
t:h:e|r|m|o|	เ:ท|อ:ร:์|ม|อ|
t:h:e|r|m:o:-|	เ:ท|อ:ร:์|ม:อ|
t:h:e|r|m|o|c:l|i:n|e|	เ:ท|อ:ร:์|ม|อ|ไ:ค:ล|น|์|
t:h:e|r|m|o|c:o:u|p|l|e|	เ:ท|อ:ร:์|ม|อ|ค:ั|ป:เ:ป|ิ|ล|
