a:'|m|a|r|i:e|	ಅ|ಮ|ಾ|ರ|ೀ|
s|n:a|i|t|h|	ಸ:್|ನ|ೈ|ಥ|್|
s|n|e|h:a|a|	ಸ:್|ನ|ೇ|ಹ|ಾ|
s|n|e|h:l|a:t|a:a|	ಸ:್|ನ|ೇ|ಹ|ಲ|ತ|
s|n|o:w|	ಸ:್|ನ|ೋ|
s|o|c:h|a|	ಸ|ೋ|ಚ|ಾ|
s|o|c|r:a|t|e|s|	ಸ|ಾ|ಕ:್|ರ|ಟ|ೀ|ಸ:್|
s|o|d|e|x|h|o|	ಸ|ೊ|ಡ|ೆ|ಕ|್|ಸ:ೋ|
a:l|l:i|a|n|c|e|	ಅ|ಲ|ಯ|ನ:್|ಸ|್|
s|o|d|i|	ಸ|ೋ|ಢ|ಿ|
s|o|f|i|a|	ಸ|ೋ|ಫ|ಿ|ಯ:ಾ|
s|o|f|o|k|l|i|s|	ಸ|ೋ|ಫ|ೋ|ಕ:್|ಲ|ಿ|ಸ:್|
s|o|f|o|n|	ಸ|ೋ|ಫ|ೋ|ನ:್|
s|u|ph|a|p|o|n|g|	ಸ|ು|ಫ|ಾ|ಪ|ೋ|ಂ|ಗ:್|
s|o|h:a|l|	ಸ|ೋ|ಹ|ಲ:್|
s|o|h:a|n|	ಸ|ೋ|ಹ|ಣ:್|
s|o|h|i|	ಸ|ೋ|ಹ|ಿ|
s|o|h|n|i|	ಸ|ೋ|ಹ:್|ನ|ಿ|
m:a|h|i|w|a|l|	ಮ|ಹ|ಿ|ವ|ಾ|ಲ:್|
s|o|k:h|a|l|	ಸ|ೋ|ಖ|ಲ|್|
s|o|l|a|n|	ಸ|ೊ|ಲ|ಾ|ನ:್|
s|o|l:a|n|g|e|	ಸ|ೋ|ಲ|ಂ|ಜ|್|
s|o|l|a|p|u|r|	ಸ|ೋ|ಲ|ಾ|ಪ|ು|ರ:್|
s|o|l|e|n|t|	ಸ|ೋ|ಲ|ೆ|ಂ|ಟ:್|
s|o|l|f|e|r|i|n|o|	ಸ|ೋ|ಲ:್|ಫ|ೆ|ರ|ಿ|ನ|ೊ|
s|o|m:a|k:a|a|n|t:a|	ಸ|ೋ|ಮ|ಕ|ಾ|ಂ|ತ|
s|o|m:a|k:a|a|n|t:a|a|	ಸ|ೋ|ಮ|ಕ|ಾ|ಂ|ತ|ಾ|
s|o|m:a|k|a|n|t|	ಸ|ೋ|ಮ|ಕ|ಾ|ಂ|ತ:್|
s|o|m:a|l|	ಸ|ೋ|ಮ|ಲ:್|
s|o|m:a|l:a|k|s:h|m|i|	ಸ|ೋ|ಮ|ಲ|ಕ:್|ಷ|್:ಮ|ಿ|
s|o|m|a|l|i|a|	ಸ|ೋ|ಮ|ಾ|ಲ|ಿ|ಯ:ಾ|
s|o|m:e|r|s|e|t|	ಸ|ಾ|ಮ|ರ:್|ಸ|ೆ|ಟ:್|
m|o|m|	ಮ|ಾ|ಮ:್|
s|o|m|k:a|a|n|t|	ಸ|ೋ|ಂ:ಮ|ಕ|ಾ|ಂ|ತ:್|
s|o|m|n|a|t:h|	ಸ|ೋ|ಮ|ನ|ಾ|ಥ|
s|o|m|p|a:a|l|	ಸ|ೋ|ಮ:್|‌:ಪ|ಾ|ಲ:್|
s|o|n:a|a|l|e:e|	ಸ|ೊ|ನ|ಾ|ಲ|ೀ|
s|o|n|a|k|s:h|i|	ಸ|ೋ|ನ|ಾ|ಕ:್|ಷ|ಿ|
s|u|h|a|g|a|	ಸ|ು|ಹ|ಾ|ಗ|ಾ|
s|o|n|i|k|a|	ಸ|ೋ|ನ|ಿ|ಕ|ಾ|
s|o|n|i|p:a|t|	ಸ|ೋ|ನ|ಿ|ಪ|ತ:್|
s|o|n:n|y|	ಸ|ೋ|ನ|ಿ|
s|o:o|d|	ಸ|ೂ|ದ:್|
s:o|o|l|a|g|i|r|i|	ಸ|ೋ|ಲ|ಾ|ಗ|ಿ|ರ|ಿ|
c:h|i|n|n|a|r|	ಚ|ಿ|ನ:್|ನ|ಾ|ರ:್|
s|o:o|r:a|j|	ಸ|ೂ|ರ|ಜ:್|
s|o:o|r:a|t|	ಸ|ೂ|ರ|ತ:್|
s|o:o|r|y:a|m|u|k:h|e:e|	ಸ|ು|ರ:್|ಯ|ಮ|ು|ಖ|ೀ|
s|o:o|r|y:a|v:a|n|s:h|e:e|	ಸ|ೂ|ರ:್|ಯ|ವ|ಂ|ಶ|ೀ|
s|o|ph|i|a|	ಸ|ೋ|ಫ:ಿ|ಯ|ಾ|
s|o|r|c:h|a|	ಸ|ೋ|ರ:್|ಚ|ಾ|
s|o|r|y|u|	ಸ|ೋ|ರ:್|ಯ|ೂ|
s|o:u|m|y:a|	ಸ|ೌ|ಮ:್|ಯ|
s|o:u|r|a:b|h|	ಸ|ೌ|ರ|ಭ|್|
s|o:u|t|h|	ಸ|ೌ|ತ|್|
s|e|m|i|n|o|l|e|	ಸ|ೆ|ಮ|ಿ|ನ|ೋ|ಲ|್|
p|e|t|r|o|c:h|e|m|	ಪ|ೆ|ಟ:್|ರ|ೋ|ಕ|ೆ|ಮ:್|
s|p:a|i|n|	ಸ:್|ಪ|ೈ|ನ:್|
s|p|a|n|i|s|h|	ಸ:್|ಪ:್|ಯ:ಾ|ನ|ಿ|ಶ|್|
b|e|t|w|e:e|n|	ಬ|ಿ|ಟ:್|ವ|ೀ|ನ:್|
e|n|g|l|a|n|d|	ಇ|ಂ|ಗ:್|ಲ|ೆ|ಂ|ಡ:್|
s|p:a|r|s|h|	ಸ:್|ಪ|ರ:್|ಶ|್|
s|p|e|c|t:o|r|	ಸ:್|ಪ|ೆ|ಕ:್|ಟ|ರ:್|
s|p|e|c|t|r|a|m|i|n|d|	ಸ:್|ಪ|ೆ|ಕ:್|ಟ:್|ರ|ಾ|ಮ|ೈ|ಂ|ಡ:್|
s|p|e|n|c|e|	ಸ:್|ಪ|ೆ|ನ:್|ಸ|್|
s|p|e|n|c:e|r|	ಸ:್|ಪ|ೆ|ನ:್|ಸ|ರ:್|
s|p|e|r|a|n|z:a|	ಸ:್|ಪ|ೆ|ರ|ಾ|ಂ|ಜ|
s|p|i:e|l|	ಸ:್|ಪ|ಿ|ಲ:್|
d|e|s|	ಡ|ೆ|ಸ:್|
j:a|h|r|e|s|	ಜ|ಹ:್|ರ|ೆ|ಸ:್|
s|p|i|k|e|	ಸ:್|ಪ|ೈ|ಕ|್|
s|p|i|n|g|a|r|n|	ಸ:್|ಪ|ಿ|ನ|್:‌|ಗ|ರ:್|ನ:್|
s|p|y|r|i|d:o|n|	ಸ:್|ಪ|ೈ|ರ|ಿ|ಡ|ನ:್|
s|q|u|i|d|d|y|	ಸ:್|ಕ|್:ವ|ಿ|ಡ:್|ಡ|ಿ|
s|r:a|p:a|n|c|h|	ಸ|ರ|ಪ|ಂ|ಚ|್|
s|r|e|e:s|a:n|t|h|	ಶ:್|ರ|ೀ|ನ|ಾ|ಥ|್|
s|r|i|	ಶ:್|ರ|ೀ|
r|a|m:a|k|r:i|s|h|n|a|	ರ|ಾ|ಮ|ಕ|ೃ|ಷ|್|ಣ|ಾ|
v|i|d|y|a|s:h|a|l|a|	ವ|ಿ|ದ:್|ಯ|ಾ|ಶ|ಾ|ಲ|ಾ|
m|y|s|o|r|e|	ಮ|ೈ|ಸ|ೂ|ರ|್|
r|a|m|k|r:i|s|h|n|a|	ರ|ಾ|ಮ|ಕ|ೃ|ಷ|್|ಣ|ಾ|
t:h|e:n|d|a|y|u|t:h|a:p|a|n|i|	ದ|ಂ|ಡ|ಾ|ಯ|ು|ಧ|ಪ|ಾ|ಣ|ಿ|
s|r|i|m:a|t|i|	ಶ:್|ರ|ೀ|ಮ|ತ|ಿ|
s|u|l|o|c:h|a:n|a|d|e|v|i|	ಸ|ು|ಲ|ೋ|ಚ|ನ|ಾ|ದ|ೇ|ವ|ಿ|
s|i|n|g:h|a|n|i|a|	ಸ|ಿ|ಂ|ಘ|ಾ|ನ|ಿ|ಯ:ಾ|
s|r|i|n:a|g:a|r|	ಶ:್|ರ|ೀ|ನ|ಗ|ರ|
s|r|i|r:a|n|g:a|m|	ಶ:್|ರ|ೀ|ರ|ಂ|ಗ|ಂ|
s|r|i|s:a|i|l:a|m|	ಶ:್|ರ|ೀ|ಶ|ೈ|ಲ|ಂ|
s|r:i|s|t|i|	ಸ|ೃ|ಷ:್|ಟ|ಿ|
s:r|i|v:a|i|k|u|n|t:a|m|	ಶ|ಿ|ವ|ೈ|ಕ|ು|ಂ|ಟ|ಂ|
s|r|i|v|i|l|l|i|p|u|t|t|u|r|	ಶ:್|ರ|ೀ|ವ|ಿ|ಲ:್|ಲ|ಿ|ಪ|ು|ತ:್|ತ|ೂ|ರ:ು|
s|t|a|c|i:e|	ಸ:್|ಟ|ೇ|ಸ|ಿ|
s|t|a|d|d:o|n|	ಸ:್|ಟ:್|ಯ|ಾ|ಡ|ನ:್|
s|t|a|n|	ಸ:್|ಟ|ಾ|ನ:್|
s|t|a|p|l|e|s|	ಸ:್|ಟ|ೇ|ಪ|ಲ|್|ಸ:್|
s|t|a|p|l|e|t:o|n|	ಸ:್|ಟ|ಾ|ಪ:್|ಲ|ೆ|ಟ|ನ:್|
s|t|a|r|r|	ಸ:್|ಟ|ಾ|ರ|್|
s|t|a|s|h|	ಸ:್|ಟ|ಾ|ಶ|್|
s|t|a|t|s|	ಸ:್|ಟ|ಾ|ಟ:್|ಸ:್|
s|t|a|v|i|t|a|	ಸ:್|ಟ|ೇ|ವ|ಿ|ಟ|ಾ|
s|t|e|a|m|r:u|n|n:e|r|	ಸ:್|ಟ|ೀ|ಮ|್:‌|ರ|ನ:್|ನ|ರ:್|
s|t|e:e|l|e|	ಸ:್|ಟ|ೀ|ಲ|ೆ|
s|t|e|f:a|n|	ಸ:್|ಟ|ೀ|ಫ|ನ:್|
s|t|e|f:f|i|	ಸ:್|ಟ|ೆ|ಫ|ಿ|
s|t:e|i|n|f|e|l|d|	ಸ:್|ಟ|ೆ|ನ:್|‌:ಫ|ೀ|ಲ:್|ಡ:್|
s|t|e|ph:a|n|	ಸ:್|ಟ|ೀ|ಫ|ನ:್|
s|t|e|ph:e|n|	ಸ:್|ಟ|ೀ|ಫ|ನ:್|
f|l|e|m|i|n|g|	ಫ:್|ಲ|ೆ|ಮ|ಿ|ಂ|ಗ:್|
s|t:e|r|l|i|n|g|	ಸ:್|ಟ|ರ:್|ಲ|ಿ|ಂ|ಗ:್|
s|t:e|r|l|i|t|e|	ಸ:್|ಟ|ರ:್|ಲ|ೈ|ಟ|್|
o|p|t|i|c|	ಆ|ಪ:್|ಟ|ಿ|ಕ:್|
s|t|e|v|e|	ಸ:್|ಟ|ೀ|ವ|್|
e|l|w:o|r|t:h|y|	ಎ|ಲ:್|ವ|ರ:್|ದ|ಿ|
w|a|t|k|i|n|	ವ|ಾ|ಟ:್|ಕ|ಿ|ನ:್|
w|a|u|g|h|	ಕ:್|ಲ:ಾ|ರ:್|ಕ|್|
s|t|e|v:e|n|	ಸ:್|ಟ|ೀ|ವ|ನ:್|
h|a:w|k|i|n|g|	ಹ|ಾ|ಕ|ಿ|ಂ|ಗ:್|
s|t:o|c|k|h|o:l|m|	ಸ:್|ಟ|ಾ|ಕ:್|‌:ಹ|ೋ|ಮ:್|
a|r|l|a|n|d|a|	ಅ|ರ:್|ಲ|ಾ|ಂ|ಡ|ಾ|
s|t|o|l|t|	ಸ:್|ಟ|ಾ|ಲ:್|ಟ:್|
n|i:e|l|s:e|n|	ನ|ೀ|ಲ:್|ಸ|ನ:್|
s|t|o|r|a|	ಸ:್|ಟ|ೋ|ರ|ಾ|
e|n|s|o|	ಎ|ನ:್|ಸ|ೋ|
g|i|b|r|a|l|t:a|r|	ಗ|ಿ|ಬ:್|ರ|ಾ|ಲ:್|ಟ|ರ:್|
h|o|r|m|u|z|	ಹ|ೊ:ಜ|್:‌|ಮ|ು|ಜ:್|
s|t|r|a|s|b:u|r|g|	ಸ:್|ಟ:್|ರ:ಾ|ಸ|್:‌|ಬ|ರ:್|ಗ:್|
s|t|r|a:w|b|e|r|r|y|	ಸ:್|ಟ:್|ರ|ಾ|ಬ|ೆ|ರ:್|ರ|ಿ|
s|t|u|	ಸ:್|ಟ|ು|
m|a|t|s|i|k|e|n|y|e|r|i|	ಮ|ಾ|ಟ:್|ಸ|ಿ|ಕ|ೆ|ನ|್|ಯ|ರ|ಿ|
s|t:u|d|s|	ಸ:್|ಟ|ಡ:್|ಸ:್|
s|t|u|t|i|	ಸ:್|ತ|ು|ತ|ಿ|
s|t|y|l|e|s|	ಸ:್|ಟ|ೈ|ಲ|್|ಸ:್|
s|u|b:a|r|n|a|	ಸ|ು|ಬ|ರ:್|ನ|ಾ|
s|u|b:h|a|s|h|	ಸ|ು|ಭ|ಾ|ಷ|್|
m|u|k:h|o|p|a|d:h|y|a|y|	ಮ|ು|ಖ|ೋ|ಪ|ಾ|ಧ|್|ಯ:ಾ|ಯ:್|
s|u|b:h|e|d|a|r|	ಸ|ು|ಭ|ೇ|ದ|ಾ|ರ:್|
s|u|b|r|o|s|	ಸ|ು|ಬ:್|ರ|ೋ|ಸ:್|
s|u|b|r:o|t|o|	ಸ|ು|ಬ:್|ರ|ತ|ೊ|
b|a|n:e|r|j|e:e|	ಬ:್|ಯ:ಾ|ನ|ರ:್|ಜ|ಿ|
s|u|c:h|i|	ಸ|ು|ಚ|ಿ|
s|u:c|h|i|r|a|	ಸ|ು|ಚ:ಿ|ತ:್|ರ|ಾ|
s|u|c:h|i|t|r|a|	ಸ|ು|ಚ|ಿ|ತ:್|ರ|ಾ|
s|u|d:a|k|s:h|i|m|a|	ಸ|ು|ದ|ಕ:್|ಷ|ಿ|ಮ|ಾ|
s|u|d|e:e|p|t:a|	ಸ|ು|ದ|ೀ|ಪ:್|ತ|
s|u|d:h|a|k:a|r|	ಸ|ು|ಧ|ಾ|ಕ|ರ:್|
s|u|d:h|i|r|	ಸ|ು|ಧ|ೀ|ರ:್|
n|a|i|k|	ನ|ಾ|ಯ|ಕ:್|
s|u|d|i|	ಸ|ು|ದ|ಿ|
s|u|e|z|	ಸ|ು|ಯ:ೆ|ಜ:್|
s|u|g:a|n:d|h|	ಸ|ು|ಗ|ಂ|ಧ:್|
s|u|g:a|n|d:h|i|	ಸ|ು|ಗ|ಂ|ಧ|ಿ|
s|u|g|o:u|r|i|	ಸ|ು|ಗ|ೌ|ರ|ಿ|
s|u|h|a|	ಸ|ು|ಹ|ಾ|
s|u|h:a|a|s|	ಸ|ು|ಹ|ಾ|ಸ:್|
s|u|h|a|s|i|n|i|	ಸ|ು|ಹ|ಾ|ಸ|ಿ|ನ|ಿ|
s|u|h:a|y|b|	ಸ|ು|ಹ|ೇ|ಬ:್|
s|u|h:a|y|l|	ಸ|ು|ಹ|ೇ|ಲ:್|
s|u|h:a|y|l:a|h|	ಸ|ು|ಹ|ೇ|ಲ|ಾ|
s|u|h:a|y|r|	ಸ|ು|ಹ|ೇ|ರ:್|
s|u|j|a|t:a|	ಸ|ು|ಜ|ಾ|ತ|
s|u|k|a|n|t|	ಸ|ು|ಕ|ಾ|ಂ|ತ:್|
s|u|k|e|t|u|	ಸ|ು|ಕ|ೇ|ತ|ು|
s|u|k:h|a|n:a|n|d|	ಸ|ು|ಖ|ಾ|ನ|ಂ|ದ:್|
s|u|k:h|d|e|v|	ಸ|ು|ಖ|ದ|ೇ|ವ:್|
s|u|k:h|i|j|a|	ಸ|ು|ಖ|ೀ|ಜ|ಾ|
s|u|k|r:i|t|i|	ಸ|ು|ಕ|ೃ|ತ|ಿ|
s|u|l:a|l|i|t:a|	ಸ|ು|ಲ|ಲ|ಿ|ತ|
s|u|l:l|i|v|a|n|	ಸ|ು|ಲ|ಿ|ವ|ಾ|ನ:್|
s|u|l|t|a|n|a|	ಸ|ು|ಲ:್|ತ|ಾ|ನ|ಾ|
s|u|l|t|a|n|p|u|r|i|a|	ಸ|ು|ಲ:್|ತ|ಾ|ನ:್|‌:ಪ|ು|ರ|ಿ|ಯ:ಾ|
s|u|l|w|y|n|	ಸ|ು|ಲ:್|ವ|ಿ|ನ:್|
s|u|m:a|n:a|	ಸ|ು|ಮ|ನ|
s|u|m:a|n:a|h|	ಸ|ು|ಮ|ನ|ಾ|
s|u|m:a|n|t|r|a|	ಸ|ು|ಮ|ಂ|ತ:್|ರ|ಾ|
s|u|m|a|t|r|a|	ಸ|ು|ಮ|ಾ|ತ:್|ರ|ಾ|
s|u|m:a|y|r:a|h|	ಸ|ು|ಮ|ೇ|ರ|ಾ|
s|u|m:a|y|t:a|h|	ಸ|ು|ಮ|ೇ|ತ|ಾ|
s|u|m|i|t|a|	ಸ|ು|ಮ|ಿ|ತ|ಾ|
s|u|m|i|t|r:a|	ಸ|ು|ಮ|ಿ|ತ:್|ರ|
s|u|m:m|a|y|y:a|h|	ಸ|ು|ಮ|ಯ|್|ಯ|ಾ|
s|u|m:m|e|r|	ಸ|ು|ಮ|ೇ|ರ:್|
s:u|m|m:e|r|s|i|d|e|	ಸ|ಮ:್|ಮ|ರ:್|‌:ಸ|ೈ|ಡ|್|
s:u|m:m|i|t|	ಸ|ಮ|ಿ|ತ:್|
s|u|m|n:a|h|	ಸ|ು|ಮ:್|ನ|ಾ|
s:u|m|t:e|r|	ಸ|ಮ:್|ಟ|ರ:್|
m|i|c|r|o|s|y|s|t:e|m|s|	ಮ|ೈ|ಕ:್|ರ|ೋ|ಸ|ಿ|ಸ:್|ಟ|ಮ:್|ಸ:್|
n|e|t|w:o|r|k|	ನ|ೆ|ಟ:್|ವ|ರ:್|ಕ:್|
s|u|n:a|h:a|r:a|a|	ಸ|ು|ನ|ಹ|ರ|ಾ|
s:u|n|d:a|y|	ಸ|ಂ|ಡ|ೇ|
s|u|n|e:e|t|i|	ಸ|ು|ನ|ೀ|ತ|ಿ|
s|u|n|e|t|r:a|	ಸ|ು|ನ|ೇ|ತ:್|ರ|
s|u|n|f|l|a|g|	ಸ|ನ|್:‌|ಫ:್|ಲ:್|ಯ:ಾ|ಗ:್|
s|u|n|i|l|	ಸ|ು|ನ|ಿ|ಲ:್|
g|a|v:a|s|k:a|r|	ಗ|ಾ|ವ|ಸ:್|ಕ|ರ:್|
s|u|n:n|y|	ಸ|ು|ನ|ೀ|
s:u|n|o|p|t|a|	ಸ|ನ:್|‌:ಓ|ಪ:್|ಟ|ಾ|
s:u|n|s|e|t|	ಸ|ನ:್|‌:ಸ|ೆ|ಟ:್|
s|u:o|m|e|n|l|i|n|n|a|	ಸ|ೌ|ಮ|ೆ|ನ:್|‌:ಲ|ಿ|ನ:್|ನ|ಾ|
s|u|p:a|r|n:a|k|	ಸ|ು|ಪ|ರ:್|ಣ|ಕ:್|
s|u|p|e|k:a|r|	ಸ|ು|ಪ|ೇ|ಕ|ರ:್|
s|u|p|e|r|a|g|u|i|	ಸ|ು|ಪ|ೆ|ರ|ಾ|ಗ|ು|ಯ:್|
s|u|p|r:a|b:h|a|	ಸ|ು|ಪ:್|ರ|ಭ|ಾ|
s|u|p|r|e|m:e|	ಸ|ು|ಪ:್|ರ|ೀ|ಂ|
s|u|p|r|i|t|i|	ಸ|ು|ಪ:್|ರ|ೀ|ತ|ಿ|
s|u|p|r|i|y|	ಸ|ು|ಪ:್|ರ|ಿ|ಯ|
s|u|r:a|k|s:h|a|	ಸ|ು|ರ|ಕ:್|ಷ|ಾ|
s|u|r:a|m:a|e|e|	ಸ|ು|ರ|ಮ|ಯ|ಿ|
s|u|r|a|n|a|	ಸ|ು|ರ|ಾ|ನ|ಾ|
s|u|r:a|n|g|e|	ಸ|ು|ರ|ಂ|ಗ|ೆ|
s|u|r:a|n|j:a|n:a|	ಸ|ು|ರ|ಂ|ಜ|ನ|
s:u|r:a|s:a|k:h|a:a|	ಸ|ು|ರ|ಸ|ಖ|
s|u|r|b|a:h|a|r|	ಸ|ು|ರ:್|‌:ಬ|ಹ|ಾ|ರ:್|
s|u|r|e:k|h:a|	ಸ|ು|ರ|ೇ|ಖ|
s|u|r|e|s|h|	ಸ|ು|ರ|ೇ|ಶ|್|
p|e|r|e|r|a|	ಪ|ೆ|ರ|ೇ|ರ|ಾ|
r|a|i|n|a|	ರ|ಾ|ಯ|ನ|್|
s:u|r|f|i|n|g|	ಸ|ರ:್|ಫ|ಿ|ಂ|ಗ:್|
s|u|r|i|n|d:e|r|	ಸ|ು|ರ|ಿ|ಂ|ದ|ರ:್|
s|u|r|i|n|d|e|r|j|e:e|t|	ಸ|ು|ರ|ಿ|ಂ|ದ|ರ:್|‌|ಜ|ಿ|ತ:್|
s|u|r|j|i|t|	ಸ|ು|ರ:್|ಜ|ಿ|ತ:್|
s|u|r|j|o|t|	ಸ|ು|ರ:್|ಜ|ೋ|ತ:್|
s|u|r|u|	ಸ|ು|ರ|ು|
n|a|y:a|k|	ನ|ಾ|ಯ|ಕ:್|
s|u|r|u|c:h|i|	ಸ|ು|ರ|ು|ಚ|ಿ|
s|u|r|u|r|	ಸ|ು|ರ|ೂ|ರ:್|
s|u|r|y:a|	ಸ|ೂ|ರ:್|ಯ|
p:a|h:a|r|	ಪ|ಹ|ರ:್|
s|u|r|y:a|a|	ಸ|ೂ|ರ:್|ಯ|ಾ|
s|u|s|a|n|e|	ಸ|ು|ಸ|ೇ|ನ|್|
s|u|s:a|n|n|a|	ಸ|ು|ಸ|ನ:್|ನ|ಾ|
s|u|s:h|a:m|a:a|	ಸ|ು|ಶ|ಮ|ಾ|
s|u|s:h|a|n|t|	ಸ|ು|ಶ|ಾ|ಂ|ತ:್|
s|u|s:h|a|n|t|i|	ಸ|ು|ಶ|ಾ|ಂ|ತ|ಿ|
s|u|s:h|e:e|l|	ಸ|ು|ಶ|ೀ|ಲ:್|
s|u|s:h|e:e|t|	ಸ|ು|ಶ|ೀ|ತ:್|
s|u|s:h|i|l|	ಸ|ು|ಶ|ೀ|ಲ:್|
s|u|s:h|r|u|t|	ಸ|ು|ಶ|್:ರ|ು|ತ|
s|u|v:a|r|c:h|a:l|a:a|	ಸ|ು|ವ|ರ:್|ಚ|ಲ|ಾ|
s|u|v:a|r|n:a|p|r:a|b:h|a|	ಸ|ು|ವ|ರ:್|ಣ|ಪ:್|ರ|ಭ|ಾ|
s|u|v:a|r|n:a|r|e:k|h:a|	ಸ|ು|ವ|ರ:್|ಣ|ಲ|ೇ|ಖ|
s|u|w:a|y|d|	ಸ|ು|ವ|ೇ|ದ:್|
s|u|w|o|	ಸ|ು|ವ|ೋ|
s|u|z|y|	ಸ|ೂ|ಜ|ೀ|
s|v:a|r:a|a|j|	ಸ:್|ವ|ರ|ಾ|ಜ:್|
s|v:a|r|n|i|m|	ಸ:್|ವ|ರ:್|ಣ|ಿ|ಮ:್|
s|w|a|h|a|	ಸ:್|ವ|ಾ|ಹ|ಾ|
s|w|a|m|i|n|a|t|h|	ಸ:್|ವ|ಾ|ಮ|ಿ|ನ|ಾ|ಥ|್|
s|w:a|p|n:a|s|u|n|d:a|r|i|	ಸ:್|ವ|ಪ:್|ನ|ಸ|ು|ಂ|ದ|ರ|ಿ|
s|w:a|r|a|j|	ಸ:್|ವ|ರ|ಾ|ಜ:್|
e|n|g|i|n|e|s|	ಇ|ಂ|ಜ|ಿ|ನ|್|ಸ:್|
s|w:a|r|g|	ಸ:್|ವ|ರ:್|ಗ:್|
s|u|n|d:e|r|	ಸ|ು|ಂ|ದ|ರ:್|
s|w:a|r|o:o|p:a|a|	ಸ:್|ವ|ರ|ೂ|ಪ|ಾ|
s|w|a|r|t:h|i|	ಸ:್|ವ|ಾ|ರ:್|ಥ|ಿ|
s|w:a|r|u|p:a|	ಸ:್|ವ|ರ|ೂ|ಪ|
s|w|i|f|t|s|u|r|e|	ಸ:್|ವ|ಿ|ಫ:್|ಟ:್|‌:ಶ|ೂ|ರ|್|
s|w|i|m|m|i|n|g|	ಸ:್|ವ|ಿ|ಂ|ಮ|ಿ|ಂ|ಗ:್|
s|w:i|s|s|	ಸ:್|ವ|ಿ|ಸ:್|
r|e|i|n|s|u|r|a|n|c|e|	ರ|ಿ|ಇ|ನ:್|ಷ|ೂ|ರ|ೆ|ನ:್|ಸ|್|
s|w:i|y|y:a|h|	ಸ:್|ವ|ಿ|ಯ|ಾ|
s|y|d|n|e:y|	ಸ|ಿ|ಡ:್|ನ|ಿ|
s|y|e|d|	ಸ|ಯ:್|ಯ|ದ:್|
k|i|r|m|a|n|i|	ಕ|ೀ|ರ:್|ಮ|ಾ|ನ|ಿ|
s|y|l|v|e|s|t:e|r|	ಸ|ಿ|ಲ:್|ವ|ೆ|ಸ:್|ಟ|ರ:್|
s|y|n|c|h|r:o|n|i|s|e|d|	ಸ|ಿ|ಂ|ಕ|್|ರ|ನ|ೈ|ಸ|್|ಡ:್|
s|y|n|e|r|o|n|	ಸ|ೈ|ನ|ಿ|ರ|ಾ|ನ:್|
m|e|d|i|c:a|l|	ಮ|ೆ|ಡ|ಿ|ಕ|ಲ:್|
s|y|s|c|o|	ಸ|ಿ|ಸ:್|ಕ|ೋ|
t:a|a|n|	ತ|ಾ|ನ:್|
t:a|a|n|k|	ಟ|ಾ|ಂ|ಕ:್|
t:a|a|r:a|a|	ತ|ಾ|ರ|ಾ|
t|a|b|	ತ|ಾ|ಬ:್|
t:a|b:a|s|s|u|m|	ತ|ಬ|ಸ:್|ಸ|ು|ನ:್|
t:a|b|l|a|	ತ|ಬ|ಲ|ಾ|
t|a|c|o|n|i|c|	ಟ:್|ಯ:ಾ|ಕ|ೊ|ನ|ಿ|ಕ:್|
t|a|c|y|	ಟ:್|ಯ:ಾ|ಸ|ಿ|
t:a|d:a|p|	ತ|ಡ|ಪ:್|
t|a|d|h|g|	ತ|ಾ|ದ|್|ಗ:್|
t|a|h|a|	ತ|ಾ|ಹ|ಾ|
t|a|h|i|r|	ತ|ಾ|ಹ|ಿ|ರ:್|
t:a|h|s|e:e|n|	ತ|ಹ|ಸ|ಿ|ನ:್|
t:a|i|l|y|n|n|	ಟ|ೈ|ಲ|ಿ|ನ|್|
t:a|i|p:e|i|	ತ|ೈ|ಪ|ೆ|
1|0|1|	1|0|1|
t:a|i|s|e:i|	ಟ|ೈ|ಸ|ೀ|
t:a|i|w|a|n|	ತ|ೈ|ವ|ಾ|ನ:್|
t|a|j|	ತ|ಾ|ಜ:್|
t|a|k|a|	ತ|ಾ|ಕ|ಾ|
r|a|t|e|	ರ|ಾ|ಟ|ೆ|
t:a|k|e|d|a|	ತ|ಕ|ೇ|ಡ|ಾ|
t:a|k:h|a|t|	ತ|ಖ|್|ತ:್|
a|k|a|l|	ಅ|ಕ|ಾ|ಲ:್|
d:a|m|d:a|m|a|	ದ|ಂ|ದ|ಮ|ಾ|
b:a|n:t|h:i|d|a|	ಭ|ಟ|ಿ|ಂ:ಡ|ಾ|
t|a|k|i|u|d|d|e:e|n|	ತ|ಾ|ಕ|ಿ|ವ:ು|ದ:್|ದ|ೀ|ನ:್|
t:a|k|l|a|m|a|k:a|n|	ತ|ಕ:್|ಲ|ಾ|ಮ|ಾ|ಕ|ನ:್|
t|a|l|a|	ಟ|ಾ|ಲ|ಾ|
t|a|l|a|b:a|n|d|i|	ತ|ಾ|ಲ|ಾ|ಬ|ಂ|ದ|ಿ|
t:a|l:a|k:k|a|d|	ತ|ಲ|ಕ|ಾ|ಡ:ು|
t|a|l|i|b:a|h|	ತ|ಾ|ಲ|ಿ|ಬ|ಾ|
t:a|l|i|k|a|	ತ|ಲ|ಿ|ಕ|ಾ|
t:a|l|i|s|m|a|	ತ|ಲ|ಿ|ಸ:್|ಮ|ಾ|
t:a|l|l|i|n|n|	ತ|ಲ:್|ಲ|ಿ|ನ|್|
