a:a|	ஆ|
s|a|u|d|a|g:a|r|	ச|வ|ு|த|ா|க|ர:்|
p:a|t|t|i|	ப|ட:்|ட|ி|
a|d:a|m|s|	ஆ|ட|ம:்|ஸ:்|
a|l|e|x|a:n|d|r|a|	அ|ல:ெ|க|்:ஸ|ா|ட:ி|ர|ா|
c:a|n|e|l|l|o|p|o:u|l|o|s|	க|ா:ன|ெ|ல:்|ல|ோ|ப|ோ|ல|ோ|ஸ:்|
d|o|w:n|t|o|n|	ட|வ:ு|ன|்:ட|வ:ு|ன:்|
g:a|u:g|u|i|n|	க|ா|க:்|வ:ி|ன:்|
s:h|e|a|h|a|n|	ஷ|ி:ய|ே|ஹ|ா|ன:்|
p:a|u|l|a|	ப|ௌ|ல|ா|
p|a|u|l|b|u|d|d:h|e|	ப|வ|ு|ல:்|ப|ு|த:்|த|ே|
p|a|v:a|k|	ப|ா|வ|க:்|
p|a|v:a|n|i|	ப|ா|வ|ன|ி|
p:a|v:a|n|j|i|t|	ப|வ|ன:்|ஜ|ி|த:்|
p:a|v|i|t|r|	ப|வ|ி|த:்|ர|
p:a|v|i|t|r|a|	ப|வ|ி|த:்|ர|ா|
p|a|p|i|	ப|ா|ப|ி|
p:a|y:a|s|v|i|n|e:e|	ப|ய|ஸ:்|வ|ி|ன|ி|
p:a|y|i|n|g|	ப|ே|ய|ி|ங:்|
p:a|y|o|j|a|	ப|ய|ோ|ஜ|ா|
p|e:a|b|o|d|y|	ப|ீ|ப|ா|ட|ி|
p|e:a|k|	ப|ீ|க:்|
p:e|a|r|l|	ப|ே|ர:்|ல:்|
p:e|a|r|l|i:e|	ப|ே|ர:்|ல|ி|
p|e|a|r|s|e|	ப|ி|ய|ர:்|ஸ|்|
b|r|o|s|s|n:a|n|	ப:்|ர|ா|ஸ|்|ன|ன:்|
p|e|a|r|s:o|n|	ப|ி|ய|ர:்|ச|ன:்|
p|e|a|r|y|	ப|ி|ய|ர|ி|
t|r|u|d|e|a|u|	ட:்|ர|ோ|ட|ி|ய|ே|
p|e|d:e|r|	ப|ெ|ட|ர:்|
s|k|r|a|m|	ஸ:்|க:்|ர|ா|ம:்|
p|e|h|l|a|	ப|ெ|ஹ:்|ல|ா|
k:a|d:a|m|	க|த|ம:்|
p|e|h|l|i|	ப|ெ|ஹ:்|ல|ி|
p|e|k|i:n|g|	ப|ெ|க|ி|ங:்|
p|e|m|b|r|o|k|e|s:h|i|r|e|	ப|ெ|ம:்|ப:்|ர|ோ|க:்|‌|ஷ|ை|ர|்|
p|e|m|e|x|	ப|ே|ம:ெ|க:்|ஸ:்|
p|e|n|d:h|a:r|k|a|r|	ப|ெ|ந:்|த|ர|்|க|ர:்|
p|e|n|d|s|e|	ப|ெ|ன:்|த:்|ச|ே|
p|e|n|e|l|o|p|e|	ப|ெ|ன|ி|ல|ோ|ப|்|
p|e|n|n:e|y|	ப|ெ|ன:்|ன|ி|
p|e|n|n|y|	ப|ெ|ன:்|ன|ி|
p|e|p|p:e|r|	ப|ெ|ப:்|ப|ர:்|
p|e|r|c|e|l|l|	ப|ெ|ர:்|ச|ெ|ல|்|
p|e|r|c|y|	ப|ெ|ர:்|ச|ி|
p|e|r|i|	ப|ெ|ர|ி|
p|e|r|i|n|	ப|ெ|ர|ி|ன:்|
o|v:e|r|	ஓ|வ|ர:்|
p|e|r|i|y|a|r|	ப|ெ|ர|ி|ய|ா|ர:்|
p|e|r|r|i|e|r|	ப|ெ|ர:்|ர|ி|ய|ர:்|
c|o|m|e|d|y|	க|ா|ம|ெ|ட|ி|
p|e|r|t|h|	ப|ெ|ர:்|த|்|
p|e|r|u|	ப|ெ|ர|ு|
p|e|r|u|m|p:a|l|l:a|m|	ப|ெ|ர|ு|ம:்|ப|ள:்|ள|ம:்|
p|e|r|u|v|a|r|i|p:a|l|l:a|m|	ப|ெ|ர|ு|வ|ா|ர|ி|ப|ள:்|ள|ம:்|
p|e|s|o|	ப|ெ|ச|ோ|
p|e|t|e|r|	ப|ீ|ட:்|ட|ர:்|
r|a:w|s:o|n|	ர|ா|ச|ன:்|
t|o:o|h|e:y|	ட|ூ|ஹ|ே|
u:e|b|e|r:r|o|t|h|	உ|ப|ே|ர|ா|த|்|
w|i|l|l:e|y|	வ|ி|ல:்|ல|ி|
p|e|t|r|a|	ப|ெ|ட:்|ர|ா|
p|e|t|r|o|n:a|s|	ப|ெ|ட:்|ர|ோ|ன|ஸ:்|
2|	2|
p|e|t|r|o|n|e|t|	ப|ெ|ட:்|ர|ோ|ந|ெ|ட:்|
p|e|t|u|l|a|	ப|ெ|ட|ு|ல|ா|
p|e|w|a|r|	ப|ே|வ|ா|ர:்|
ph:a|a|n|s|i|	ப|ா|ன:்|ஸ|ி|
ph:a|d|a|t:a|r|e|	ப|த|ா|த|ர|ே|
ph:a|d|n|i|s|	ப|ட:்|ன|ி|ஸ:்|
ph|a:e|d|r|a|	ஃ:ப|ே|த:்|ர|ா|
ph|a|g|u|n|	ப|ா|க|ூ|ன:்|
ph|a|n|d|e|	ப|ா|ன:்|த|ே|
ph:a|n|i|n|a|t|h|	ப|ன|ி|ந|ா|த|்|
ph:a|n|i|s|h|w:a|r|	ப|ன|ி|ஷ|்|வ|ர:்|
ph|a|z|o|m|	ஃ:ப|ா|ஸ|ூ|ம:்|
ph|i|a|l|a|	ஃ:ப|ி|ய:ா|ல|ா|
ph|i|l|	ப|ி|ல:்|
d|e|f|r|e|i|t|a|s|	ட|ி|ஃ:ப|்:ப|ி:ர|ே|ட|ா|ஸ:்|
ph|i|l|a|n|a|	ஃ:ப|ி|ல|ா|ன|ா|
ph|i|l|a|n|d:e|r|	ஃ:ப|ி|ல|ா|ண:்|ட|ர:்|
ph|i|l|i|p|p|i|n|e|	ப|ி|ல|ி|ப:்|ப|ை|ன|்|
c:o|m|m|u|n|i|c|a|t:i|o|n|	க|ம|்|ய:ு|ன|ி|க|ே|ஷ|ன|்|
ph|i|l|i|p|p|i|n|e|s|	ப|ி|ல|ி|ப:்|ப|ை|ன|்|ஸ:்|
ph|i|l|i|p|s|	ஃ:ப|ி|ல|ி|ப:்|ஸ:்|
ph|i|l|o|m|e|n|a|	ஃ:ப|ி|ல|ோ|ம|ி|ன|ா|
ph|i|l|p|o|t|	ப|ி|ல:்|ப|ோ|ட:்|
j:a|n:a|m|	ஜ|ன|ம:்|
l|e|n|g|e|	ல|ெ|ங:்|க|ே|
k:a|b|	க|ப:்|
m|i|l|o|g|i|	ம|ி|ல|ோ|க|ி|
s|u|b:h|a:h|	ச|ு|ப|ா|
h|o|g|i|	ஹ|ோ|க|ி|
l|a|y|a|	ல|ா|ய|ா|
ph|i|r|o|z|a|	ஃ:ப|ி|ர|ோ|ஸ|ா|
ph|o:e|b|e|	ஃ:ப|ோ|ப|ே|
a|n|g|a|r|e:y|	அ|ங:்|க|ா|ர|ே|
k:h|i|l|e|	க|ி|ள|ே|
ph|o:o|l|e|n|d|u|	ஃ:ப|ூ|ள|ே|ந:்|த|ு|
ph|o|o|l|o|n|	ஃ:ப|்:ப|ூ|ள|ோ|ன:்|
ph|u|l|a|w:a|r|i|	ஃ:ப|ு|ல|ா|வ|ர|ி|
ph|u|l|b|a|n|i|	ப|ூ|ல:்|ப|ா|ன|ி|
p|i|a|	ப|ி|ய:ா|
p|i|a|s|t|r|e|s|	ப|ய|ா|ஸ:்|ட:ி|ர|ெ|ஸ:்|
p|i|c|k|l:e|c|o|m|b|e|	ப|ி|க:்|க|ல|்:க|ா|ம:்|ப|ே|
p|i|c|o|	ப|ீ|க|ோ|
n|e|b|l|i|n|a|	ந|ெ|ப:்|ல|ி|ன|ா|
o|r|i|z|a|b|a|	ஓ|ர|ி|ஜ|ா|ப|ா|
t|a|n|c|í|t|a|r|o|	ட|ா|ன:்|ச|ி|ட|ா|ர|ோ|
p|i|e|r|	ப|ி|ய|ர:்|
p|i|e|r:r|e|	ப|ி|ய|ர|ி|
p|i|e|r:r|e|t|t:e|	ப|ி|ய|ர|ெ|ட|்|
p|i|g|g:o|t|t|	ப|ி|க:்|க|ா|ட:்|
p|i|l|i|b|h|i|t|	ப|ி|ல|ி|ப:்|ஹ|்|த:்|
p|i|l|l:a|y|a|r|p:a|t|t|i|	ப|ி|ள:்|ள|ை|ய:ா|ர:்|ப|ட:்|ட|ி|
p|i|m|p|a|r|i|k:a|r|	ப|ி|ம:்|ப|ா|ர|ி|க|ர:்|
p|i|n|d:u|s|	ப|ி|ண:்|ட|ஸ:்|
p|i|n|e|h:u|r|s|t|	ப|ை|ன|்|ஹ|ர:்|ஸ:்|ட:்|
p:i|n|g|	ப|ி|ங:்|
p|o:n|g|	ப|ா|ங:்|
p|i|n|g|a|l|a|	ப|ி|ங:்|க|ா|ல|ா|
p|i|n|k|	ப|ி|ங:்|க:்|
p|i|n|q|u|i|l|l|o|	ப|ி|ன:்|க|ு|ய:ி|ல:்|ல|ோ|
p|i|n|s:o|n|	ப|ி|ன:்|ச|ன:்|
p|i|n|t|a|	ப|ி|ண:்|ட|ா|
p|i|p|a|	ப|ை|ப|ா|
p|i|p|p|a|	ப|ி|ப:்|ப|ா|
p|i|r|a|t|e|n|p|r|i|s|e|t|	ப|ி|ர:ா|ன:்|ட|ெ|ன:்|ப:்|ர|ீ|ஸ|்|ட:்|
p|i|t|a|m:a|h|	ப|ி|த|ா|ம|ஹ:்|
p|i|t|a|m|b:a|r|	ப|ி|த|ா|ம:்|ப|ர:்|
p|i|t|s|b:e|r|g|	ப|ி|ட:்|ஸ:்|ப|ர:்|க:்|
p|i:t|t|s|b:u|r|g|	ப|ி|ட:்|ஸ:்|ப|ர:்|க:்|
p|i|v:a|l|	ப|ி|வ|ல:்|
p|i|x|e|l|p|l:u|s|	ப|ி|க:்|ஸ|ல:்|ப:ி|ல|ஸ:்|
a|j|a|	அ|ஜ|ா|
p|l|a|t|o|	ப:்|ள|ா|ட|ோ|
p|l|u|t|o|	ப:்|ள|ூ|ட:்|ட:ோ|
p|e|l|e:e|	ப|ே|ல|ீ|
p|o|i|n|t:e|r|	ப|ா|ய:ி|ண:்|ட|ர:்|
t|e|l|o|c|a|t:i|o|n|	ட|ெ:ல|ோ|க|்:க|ே|ஷ|ன|்|
p|o|l|a|n|d|	ப|ோ|ல|ா|ந:்|த:ு|
p|o|l|h|a:w|n|	ப|ா|ல:்|ஹ|ா|ன:்|
d|e|t|e|c|t|i|v|e|	ட|ி|ட|ெ|க:்|ட|ி|வ|்|
p|o|l:l|y|	ப|ா|ல|ி|
p|o|l|y|d|e|x|	ப|ா|ல|ி|ட:ெ|க:்|ஸ:்|
p|o|n|d|e|r|a|	ப|ா|ன:்|ட|ெ|ர|ா|
p|o|n|k|s:h|e|	ப|ொ|ன|்|ஷ|ே|
p|o:o|j|i|t|	ப|ூ|ஜ|ி|த:்|
p|o:o|n:a|m|	ப|ூ|ன|ம:்|
p|o:o|r:a|n|	ப|ூ|ர|ண:்|
p|o:o|r:a|n:a|s|i|n|h|	ப|ூ|ர|ண|ச|ி|ன:்|ஹ:்|
p|o:o|r|n:a|y|o|g|e:e|	ப|ூ|ர:்|ண|ய|ோ|க|ி|
p|o:o|r|n|i|m:a|a|	ப|ூ|ர:்|ண|ி|ம|ா|
p|o|p|e|	ப|ோ|ப|்|
i|i|	I|i|
p|o|p|l|i|	ப|ோ|ப:்|ல|ி|
p|o|p|u|l:a|r|	ப|ா|ப:்|ப:ு|ல|ர:்|
m|o:o|d|y|	ம|ூ|ட|ி|
p|o|t|e|m|k|i|n|	ப|ோ|ட|ெ|ம:்|க|ி|ன:்|
p|o|t:h|o|h:a|r|	ப|ோ|த|ோ|ஹ|ர:்|
p|o|t:h|o|h:a|r|i|	ப|ோ|த|ோ|ஹ|ர|ி|
p|o:u|r|	ப|ோ|ர:்|
m|e|r|i|t|e|	ம|ெ|ர|ி|ட|்|
c|a|n:a|d|a|	க|ே|ன|ட|ா|
p|r:a|b|a|l|	ப:்|ர|ப|ா|ல:்|
p|r:a|b|h|j|i|t|	ப:ி|ர|ப|்|ஜ|ி|த:்|
p|r:a|b|h|m|e:e|t|	ப:்|ர|ப|்|ம|ீ|த:்|
p|r:a|b|h|r|u|p|	ப:ி|ர|ப|்|ர|ூ|ப:்|
p|r:a|b:h|u|r:a|a|m|	ப:ி|ர|ப|ு|ர|ா|ம:்|
p|r:a|b|o|d|h|	ப:ி|ர|ப|ோ|த|்|
c:h|a:n|d|r|a|	ச|ந|்:த|ி:ர|ா|
p|r:a|b|o|d:h|a|n|	ப:்|ர|ப|ோ|த|ன|்|
p|r:a|c:h|e|t|a|s|	ப:்|ர|ச|ே|ட|ா|ஸ:்|
p|r:a|d|e:e|p|	ப:்|ர|த|ீ|ப:்|
j|a|y:a|p|r:a|k|a:s|h|d:a|r:a|n|	ஜ|ெ|ய|ப:்|ர|க:ா|ஷ|்|த|ர|ண:்|
p|r|a|g|	ப:ி|ர|ா|க:்|
p|r|a|g:a|t:h|i|	ப:ி|ர|ா|க|த|ி|
s|i|t|a|ph|a|l|m|a|n|d|i|	ச|ி|த|ா|ப|ா|ல:்|ம|ா|ண:்|ட|ி|
s|e|c|u|n|d|e|r|a|b|a|d|	ச|ெ|க:்|க:ு|ந:்|த|ி|ர|ா|ப|ா|த:்|
p|r:a|g|u|n|	ப:்|ர|க|ு|ன:்|
p|r:a|g|y|a|	ப:்|ர|க:்|ய|ா|
p|r:a|g|y:a|w:a|t|i|	ப:்|ர|க:்|ய|வ|த|ி|
p|r:a|h|l:a|a|d|	ப:ி|ர|ஹ|ல|ா|த:்|
p|r:a|j:a|a:p|a|t|	ப:ி|ர|ஜ|ப|ா|த:்|
p|r:a|j|a|v|a|n|i|	ப:ி|ர|ஜ|ா|வ|ா|ன|ி|
p|r:a|k|a|a:s|h|	ப:ி|ர|க|ா|ஷ|்|
p|r:a|k:a|s:h|a|m|	ப:ி|ர|க|ா|ஷ|ம:்|
p|r:a|m|a|	ப:்|ர|ம|ா|
p|r:a|m:a|d|a|	ப:ி|ர|ம|த|ா|
p|r:a|m|i|l:a|a|	ப:ி|ர|ம|ி|ள|ா|
p|r:a|m|i|t|i|	ப:்|ர|ம|ி|த|ி|
p|r|a|m|o|d|y|a|	ப:்|ர|ோ|ம|ோ|த:்|ய|ா|
w|i|c:k|r|a|m:a|s|i|n|g:h|e|	வ|ி|க|்|ர|ம|ச|ி|ங:்|க|ே|
p|r:a|m|s|u|	ப:்|ர|ம:்|ஸ|ு|
p|r|a|n|	ப:்|ர|ா|ண:்|
j|a|y|e|	ஜ|ா|ய|ே|
p|r:a|n|a|d|	ப:்|ர|ன|ா|த:்|
p|r:a|n:a|v|	ப:்|ர|ன|வ:்|
p|r:a|n|e:e|t|	ப:்|ர|ன|ீ|த:்|
p|r:a|n|s|u|k|h|	ப:்|ர|ண:்|ச|ு|க|்|
p|r:a|p|t|i|	ப:்|ர|ப:்|த|ி|
p|r:a|s|a|d|	ப:ி|ர|ச|ா|த:்|
p|r:a|s:a|n|n|a|	ப:ி|ர|ச|ன:்|ன|ா|
p|r:a|s:a|n|n|a|t:a|a|	ப:ி|ர|ச|ன:்|ன|ா|த|ா|
p|r|a|s|e|o|d|y|m|i|u|m|	ப:ி|ர|ா|ச|ி|ய:ோ|ட|ி|ம|ி|ய|ம:்|
p|r:a|s:h|a|m|	ப:்|ர|ஷ|ா|ம:்|
p|r:a|s:h|a|n|t|	ப:ி|ர|ஷ|ா|ந:்|த:்|
v:a|i|d|y|a|	வ|ை|த:்|ய|ா|
p|r:a|s:h|e:e|t|	ப:ி|ர|ஷ|ீ|த:்|
p|r:a|t:a|a|p|	ப:்|ர|த|ா|ப:்|
p|r:a|t|a|p|	ப:ி|ர|த|ா|ப:்|
p|r:a|t|a|p|g|a|d|	ப:ி|ர|த|ா|ப:்|க|ா|த:்|
p|r:a|t|e:e|c:h|e:e|s|h|	ப:்|ர|த|ீ|ச|ீ|ஷ|்|
p|r:a|t|e:e|k|	ப:்|ர|த|ீ|க:்|
p|r:a|t|e:e|t|	ப:்|ர|த|ீ|த:்|
p|r:a|t:h|i|	ப:்|ர|த|ி|
p|r:a|t|i|b:h|a|	ப:ி|ர|த|ி|ப|ா|
p|r|a|t|i|d|i|n|	ப:ி|ர|ா|த|ி|த|ி|ன:்|
p|r|a|t|i|g|y|a|	ப:ி|ர|ா|த|ி|க:்|ய|ா|
p|r:a|t|i|k|	ப:்|ர|த|ி|க:்|
p|r:a|t|i|s:h|t|h:a|	ப:்|ர|த|ி|ஷ|்:த|ா|
p|r:a|t|o|s|h|	ப:ி|ர|த|ோ|ஷ|்|
p|r:a|t|u|l|	ப:்|ர|த|ு|ல:்|
p|r:a|v|e:e|r|	ப:ி|ர|வ|ீ|ர:்|
p|r:a|v|e|s|h|	ப:ி|ர|வ|ே|ஷ|்|
p|r:a|v|i|n|	ப:ி|ர|வ|ீ|ன:்|
a|m|r|e|	ஆ|ம:்|ர|ே|
p|r|a|y|a|s|h|c:h|i|t|	ப:ி|ர|ா|ய|ா|ஸ|்|ச|ி|த:்|
p|r|e|c|i|s:i|o|n|	ப:ி|ர|ெ|ச|ி|ஷ|ன|்|
c|o|r|v|e|t|t:e|	க|ா|ர:்|வ|ெ|ட|்|
p|r|e:e|t|	ப:்|ர|ீ|த:்|
g|e:e|t|	க|ீ|த:்|
d|o|r|i|	ட|ோ|ர|ி|
p|r|e:e|t|i|s|h|	ப:்|ர|ீ|த|ி|ஷ|்|
p|u|j|a|r|i|	ப|ு|ஜ|ா|ர|ி|
s:a|n|g|e:e|t|	ச|ங:்|க|ீ|த:்|
v|i|v|a|h|	வ|ி|வ|ா|ஹ:்|
y|a|t|r|a|	ய|ா|த:்|ர|ா|
p|r|e|m:a|l|a|	ப:்|ர|ே|ம|ல|ா|
p|r|e|m|c:h|a|n|d|	ப:்|ர|ே|ம|்|ச|ந:்|த:்|
p|r|e|m|c|o|r|	ப:ி|ர|ெ|ம|்:க|ா|ர:்|
p|r|e|m|n|a|t|h|	ப:்|ர|ே|ம:்|ந|ா|த|்|
p|r|e|r:n|a|	ப:ி|ர|ே|ம|ா|
p|r|e|s|i|d|e|n|t|	ப:ி|ர|ெ|ஸ|ி|ட|ெ|ண:்|ட:்|
h|a|y|e|s|	ஹ|ே|ய|ெ|ஸ:்|
p|r|e|s|i|d|e|n|t|s|	ப:்|ர|ெ|ச|ி|ட|ெ|ண:்|ட:்|ஸ:்|
p|r|e|s|i|d|i|o|	ப:ி|ர|ெ|ஸ|ி|ட|ி|ய:ோ|
s:a|n|t|a|	ச|ன:்|ட|ா|
p|r:e|u|s|s|e|n|	ப:ி|ர|ூ|ஸ:்|ஸ|ெ|ன:்|
p|r|e|y:a|s|i|	ப:்|ர|ே|ய|ஸ|ி|
p|r|i|c|e|w|a|t|e|r|h:o|u|s|e|	ப:ி|ர|ை|ஸ|்|வ|ா|ட:்|ட|ர:்|ஹ|வ:ு|ஸ|்|
c:o|o|p|e|r|s|	க|ூ|ப:்|ப|ர:்|ஸ:்|
p|r|i:e|s|t|l:e|y|	ப:்|ர|ீ|ஸ:்|ட:்|ல|ி|
p|r|i|m|o|	ப:்|ர|ி|ம|ோ|
p|r|i|n|c:e|s|s|	ப:ி|ர|ி|ன:்|ச|ஸ|்|
s:a|b|a|	ச|ப|ா|
s|a|r:a|h|	ச|ா|ர|ா|
p|r|i|n|c|i|p|e|	ப:ி|ர|ி|ன:்|ச|ி|ப|ி|
c|a:r|i|g|n|a|n|o|	க:ா|ர|ி|க:்|ன|ா|ன|ோ|
p|r|i|n|z|r|e|g|e|n|t|	ப:ி|ர|ி|ன:்|ஸ:்|ர|ே|ஜ|ெ|ன:்|ட:்|
l|u|i|t|p|o|l|d|	ல|ு|ய:ி|ட:்|ப|ோ|ல:்|ட:்|
p|r|i|s|c|a|	ப:்|ர|ி|ஸ|்:க|ா|
p|r|i|t|a|	ப:்|ர|ீ|த|ா|
p|r|i|t|h|v|i|	ப:ி|ர|ி|த|்|வ|ி|
v:a|l|l|a|b|h|	வ|ல:்|ல|ா|ப|்|
p|r|i|t|h|v|i|r|a|j|	ப:ி|ர|ி|த|்|வ|ி|ர|ா|ஜ:்|
s:a|y|o|g|i|t|a|	ச|ய|ோ|க|ி|த|ா|
p|r|i|t|i|k|a|n|a|	ப:்|ர|ீ|த:்|த:ி|க|ா|ன|ா|
p|r|i|t:i|s:h|	ப:்|ர:ி|ட:ி|ஷ|்|
n:a|n|d|y|	ந|ந:்|த|ி|
p|r|i|t|z|k|e|r|	ப:்|ர|ி|ட:்|ஸ:்|க|ெ|ர:்|
p|r|i|v|a|t|e|	ப:ி|ர|ை|வ|ெ|ட|்|
p|r|i|x|	ப:்|ர:ி|க:்|ஸ:்|
a|r|s|	அ|ர:்|ஸ:்|
e|l:e|c|t|r|o|n|i|c|a|	எ|ல|க:்|ட:்|ர|ா|ன|ி|க|ா|
r|o|m|e|	ர|ோ|ம|்|
d|e|s|	ட|ி|ஸ:்|
d|e|u|x|	ட:ி|ய:ு|க:்|ஸ:்|
m:a|g|o|t|s|	ம|க|ோ|ட:்|ஸ:்|
f|e|m|i|n|a|	ஃ:ப|ெ|ம|ி|ன|ா|
g|o|n|c:o|u|r|t|	க|ா|ன:்|க|ோ|ர:்|ட:்|
r|e|n:a|u|d:o|t|	ர|ெ|ன|ா|ட|ட:்|
p|r|i|y|a|	ப:ி|ர|ி|ய|ா|
p|r|i|y:a|d:a|r|s:h|i|n|i|	ப:ி|ர|ி|ய|த|ர:்|ஷ|ி|ண|ி|
p|r|i|y:a|m|	ப:்|ர|ி|ய|ம:்|
p|r|i|y:a|r:a|n|j:a|n|	ப:்|ர|ி|ய|ர|ஞ:்|ச|ன:்|
p|r|o|	ப:்|ர|ோ|
p|r|o|f|e|s:s|o|r|	ப:ு|ர|ொ|ஃ:ப|்:ப|ச|ர|்|
p|r|o|f|i|l|e|s|	ப:்|ர|ொ|ஃ:ப|ை|ல|்|ஸ:்|
p|r|o|g:e|n|	ப:்|ர|ோ|ஜ|ன:்|
p|r|o|g|e|o|n|	ப:்|ர|ோ|ஜ:ி|ய|ா|ன:்|
p|r|o|g|r|e|s:s|i|v|e|	ப:ு|ர|ோ|க:ி|ர|ெ|ஸ|ி|வ|்|
p|r|o|m|e|t:h|e|u|s|	ப:ு|ர|ோ|ம|ெ|த|ி|ய|ஸ:்|
p|r|o|s|p|e|c|t|	ப:ி|ர|ா|ஸ:்|ப|ெ|க:்|ட:்|
p|r|o|s|p:e|r|	ப:்|ர|ா|ஸ:்|ப|ர:்|
u|t|s|e|y|a|	உ|த:்|ச|ே|ய|ா|
p|r|o|t|a|c|t|i|n|i|u|m|	ப:ி|ர|ோ|ட|ா|க:்|ட|ி|ன|ி|ய|ம:்|
p|r|o|t|e|c|t|i|o|n|	ப:்|ர|ொ|ட|ெ|க:்|க:்|‌:ஷ|ன|்|
a|m|e|n|i|t|i|e|s|	அ|ம|ி|ன|ி|ட:்|ட:ி|ஸ|்|
p|r|o|v|e|n|c|e|	ப:ி|ர|ோ|வ|ெ|ன:்|ஸ|்|
p|r|o|v|i|d|e|n|c|e|	ப:ு|ர|ோ|வ|ி|ட|ெ|ன:்|ச|்|
p|r|u|t|h|	ப:்|ர|ூ|த|்|
c|a|m|p:a|i:g|n|	க|ா|ம:்|ப|ை|ன:்|
p|s|a|l|t|e|r|y|	ப:்|ச|ா|ல:்|ட|ெ|ர|ி|
p:u|b|l|i|x|	ப|ப:்|ள:ி|க:்|ஸ:்|
s|u|p|e|r|	ச|ூ|ப:்|ப|ர:்|
m|a|r|k|e|t|s|	ம|ா|ர:்|க:்|க:ெ|ட:்|ஸ:்|
p:u|c|c|a|	ப|க:்|க|ா|
b|a|d|a|m|a:s|h|	ப|ா|த|ா|ம:ா|ஷ|்|
p|u|e|r|s|	ப|்|ய:ூ|ர:்|ஸ:்|
p|u|j|a|	ப|ூ|ஜ|ா|
p|u|j|a|r|i|n|	ப|ூ|ர|ா|ர|ி|ன:்|
p|u|j|i|t|	ப|ு|ஜ|ி|த:்|
p|u|j|i|t|a|	ப|ூ|ஜ|ி|த|ா|
p|u|l|	ப|ு|ல:்|
p|u|l:a|k|	ப|ு|ல|க:்|
p|u|l:a|s|k|i|	ப|ு|ல|ஸ:்|க|ி|
p|u|l|a|s|t|y|a|	ப|ு|ல|ா|ஸ:்|த|ய|ா|
p|u|l|k|o|v|o|	ப|ு|ல:்|க|ோ|வ|ா|
p:u|l|s|	ப|ல:்|ஸ:்|
p|u|l|w|a|m|a|	ப|ு|ல:்|வ|ா|ம|ா|
p|u|n:a|r|	ப|ூ|ன|ர:்|
p|u|n|i|a|	ப|ு|ன|ி|ய:ா|
p|u|n|i|t|a|	ப|ு|ன|ி|த|ா|
p:u|n|j|a|b|i|	ப|ஜ|்:ச|ா|ப|ி|
p|u|r|a|	ப|ு|ர|ா|
p|u|r|a|n|i|	ப|ு|ர|ா|ன|ி|
p|e|h|c:h|a|n|	ப|ெ|ஹ:்|ச|ா|ன:்|
p|u|r|a|n|i|k|	ப|ு|ர|ா|ன|ி|க:்|
p|u|r:a|n|j:a|y|	ப|ு|ர|ஞ:்|ச|ய:்|
p|u|r|a|s|k:a|a|r|	ப|ு|ர|ா|ஸ:்|க|ா|ர:்|
p|u|r|b|a|	ப|ு|ர:்|ப|ா|
p|u|r|b|i|	ப|ு|ர:்|ப|ி|
p|u|r|i|t|y|	ப:்|ய:ூ|ர|ி|ட:்|ட:ி|
p|u|r|k|a|r|	ப|ு|ர:்|க|ா|ர:்|
p|u|r|n|a|	ப|ூ|ர:்|ண|ா|
p|u|r|n|i|a|	ப|ூ|ர:்|ன|ி|ய:ா|
p|u|r|n|i|m|a|	ப|ு|ர:்|ன|ி|ம|ா|
p|u|r|o|h|i|t|	ப|ு|ர|ோ|ஹ|ி|த:்|
p|u|s:h|p|a|k|	ப|ு|ஷ|்:ப|க|்|
p|u|s:h|p|e|s:h|u|	ப|ு|ஷ|்:ப|ே|ஷ|ு|
p|u|s:h|p|i|n|d:e|r|	ப|ு|ஷ|்:ப|ி|ந:்|த|ர:்|
p|u|s:h|p|i|t|a|	ப|ு|ஷ|்:ப|ி|த|ா|
p|y|a|a|r|a|	ப|ி|ய|ா|ர|ா|
t:a|r|a|n|a|	த|ர|ா|ன|ா|
p|y|a|a|s|a|	ப|ி|ய|ா|ஸ|ா|
j:h|u|k|t|a|	ஜ|ு|க:்|த|ா|
s:a|p|n|a|	ஸ|ப:்|ன|ா|
r:a|h|i|	ர|ஹ|ி|
b:a|a|t|e|n|	ப|ா|த:்|த:ெ|ன:்|
s:a|u|d|a|	ச|ெ:ள|த|ா|
p|y|a|s|a|	ப:ி|ய|ா|ஸ|ா|
p|y|a|s|e|	ப:ி|ய|ா|ஸ|ெ|
p:a|n|c:h|h|i|	ப|ன:்|ச|்|ச:ி|
p|y|a|s|i|	ப:ி|ய|ா|ஸ|ி|
n:a|d|i|	ந|த|ி|
n|i|g|a|h|e|n|	ந|ி|க|ா|ஹ|ெ|ன:்|
p|y|r|e|n|e:e|s|	ப|ை|ர|ி|ந|ீ|ஸ:்|
q|a|b|e:e|l|	க|ா|ப|ீ|ல:்|
q|a|b|o:o|l|	க|ா|ப|ூ|ல:்|
q:a|d:a|m|	க|ட|ம:்|
q|a|d|i|m|	க|ா|ட|ி|ம:்|
q:a|i|s:a|r|	க|ை|ஸ|ர:்|
a:u|l|i|y|a|	ஆ|ல|ி|ய|ா|
q:a|l|a|t|	க|ல|ா|த:்|
b:a|h|r|a|i|n|	ப|ஹ:்|ர|ெ:ய|ி|ன:்|
q:a|m|e:e|r|	க|ம|ீ|ர:்|
q|a|n|i|t|	க|ா|ன|ி|த:்|
q:a|r|e:e|b|	க|ர|ீ|ப:்|
