a|	এ|
r|a|m|k|a|n|t:a|	র|া|ম|ক|া|ন:্|ত|
r|a|m|k|a|s:h|	র|া|ম|ক|ে|শ|
r|a|m|k:i:n|g|k:a|r|	র|া|ম|ক:ি|ঙ:্|ক|র|
r|a|m|k:o|l|i|	র|া|ম|ক|ল|ি|
r|a|m|k:r:i|p|a|l|	র|া|ম|ক:ৃ|প|া|ল|
r|a|m|k|u|m|a|r|i|	র|া|ম|ক|ু|ম|া|র|ী|
r|a|m|l:a|k|h|a:n|	র|া|ম|ল|ক|্:ষ|ন|
r|a|m|l|a|l|	র|া|ম|ল|া|ল|
r|a|m|m|o|h:a|n|	র|া|ম|ম|ো|হ|ন|
r|a|m|n:a|n|d:a|n|	র|া|ম|ন|ন:্|দ|ন|
r|a|m|n|a|r|i|n:e|	র|া|ম|ন|া|র|ি|ন|
r|a|m|o|n|	র|া|ম|ো|ন|
r|a|m|p|a|l|	র|া|ম|প|া|ল|
r|a|m|p:a|t|i|d|e|v|i|	র|া|ম|প|ত|ি|দ|ে|ব|ী|
r|a|m|p:a:u|l|	র|া|ম|প:া|ল|
r|a|m|p:h:a|l|	র|া|ম|ফ|ল|
r|a|m|p|r:a|k|a|s:h|	র|া|ম|প:্|র|ক|া|শ|
r|a|m|p|r:a|s|a|d|	র|া|ম|প:্|র|স|া|দ|
r|a|m|p|r:a|t|a|p|	র|া|ম|প:্|র|ত|া|প|
r|a|m|p|r|i|t|	র|া|ম|প:্|র|ী|ত|
r|a|m|p|u|r|	র|া|ম|প|ু|র|
r|a|m|r:a|t|i|d|e|v|i|	র|া|ম|র|ত|ি|দ|ে|ব|ী|
r|a|m|s:a|r|	র|া|ম|স|র|
r|a|m|s:a|r|u|p|	র|া|ম|স|র|ু|প|
r|a|m|s|e|s|	র|া|ম|স|ে|স|
r|a|m|s:h:a|n|k:a|r|	র|া|ম|শ|ঙ:্|ক|র|
r|a|m|s|u|n|d:a|r|	র|া|ম|স|ু|ন:্|দ|র|
r|a|m|s|u|r|e:s:h|	র|া|ম|স|ু|র|ে:শ|
r|a|m|s|w:a:r|u|p|	র|া|ম|স:্|ব:র|ু|প|
r|a|m|t:a|n|u|	র|া|ম|ত|ন|ু|
r|a|m|t|a|r:a|k|	র|া|ম|ত|া|র|ক|
r|a|m|t|a|r:a|n|	র|া|ম|ত|া|র|ন|
r|a|m|u|	র|া|ম|ু|
r|a|m|u|w|a|l|i|a|	র|া|ম|ু|ও|য়:া|ল|ি|য়:া|
r|a|n|a|	র|া|ন|া|
r:a|n:a|d|e|b|	র|ন|দ|ে|ব|
r:a|n:a|d:h:i|r|	র|ন|ধ:ী|র|
r|a|n|a|p|r:a|t|a|p|	র|া|ন|া|প:্|র|ত|া|প|
r:a|n:a|t|u|n|g|a|	র|ন|ত|ু|ঙ:্|গ|া|
r:a|n|b|i|r|	র|ন|ব|ী|র|
r|a|n|c:h:i|	র|া|ঁ|চ:ী|
r|a|n|d|	র|া|ন:্|ড|
r|a|n|d:a|l:l|	র:্|য:া|ন|ড|ল|
r:a|n|d|i|p|	র|ন|দ|ী|প|
r|a|n|d:o|l|p:h|	র:্|য:া|ন|ড|ল|ফ|
r|a|n:e|	র|া|ন|
r:a|n|e|n|	র|ন|ে|ন|
r:a|n|g:a|b|a|l|a|	র|ঙ:্|গ|ব|া|ল|া|
r|a|n|g:a:b|a:t:i|	র|ত:্|ন|া:ব|ত:ী|
r:a|n|g:a|d|e|b|i|	র|ঙ:্|গ|দ|ে|ব|ী|
r:a|n|g|a:l|a|l|	র|ঙ:্|গ:ঁ|ল|া|ল|
r:a|n|g:a|l:a|t|a|	র|ঙ:্|গ|ল|ত|া|
r:a|n|g:a|n|a|	র|ঙ:্|গ|ন|া|
r:a|n|g:a|n|a|t:h|	র|ঙ:্|গ|ন|া|থ|
r:a|n:g|b|a|h|a|d|u|r|	র|ং|ব|া|হ|া|দ|ু|র|
r:a|n|g|e|n|a|	র|ঙ:্|গ|ে|ন|া|
r:a:n|g:h:i|n|a|	র:ঙ|ি|ন|া|
r:a|n|g|i|d|a|	র|ঞ:্|জ|ি|দ|া|
r:a|n|g|i|l|a|	র|ঙ:্|গ|ি|ল|া|
r:a|n|g|i|n|i|	র|ঙ:্|গ|ি|ন|ী|
r:a|n|g|i|t|	র|ঞ:্|জ|ী|ত:্|
r:a|n|g|i|t|a|	র|ঞ:্|জ|ি|ত|া|
r:a|n:g|l|a|l|	র|ং|ল|া|ল|
r:a|n|g|n|a|t:h|	র|ঙ:্|গ|ন|া|থ|
r:a|n|g|n|a|t:h:a|r|	র|ঙ:্|গ|ন|া|থ|র|
r:a|n|g|u|	র|ঙ:্|গ|ঁ|
r:a|n|g|u|b|a|l|a|	র|ঞ:্|জ|ু|ব|া|ল|া|
r|a|n|i|b|a|l|a|	র|া|ন|ি|ব|া|ল|া|
r|a|n|i|k|o|t|	র|া|ন|ী|ক|ো|ট|
r:a|n|i|t|a|	র|ন|ি|ত|া|
r:a|n|j|a|	র|ঞ:্|জ|া|
r:a|n|j:a|n|	র|ঞ:্|জ|ন|
r:a|n|j|i|t|	র|ঞ:্|জ|ি|ত|
r:a|n|j|i|t|a|	র|ঞ:্|জ|ী|ত|া|
r:a|n|j|i|t:h|	র|ঞ:্|জ|ি|থ|
r:a|n|j|i|t|k|u|m|a|r|	র|ঞ:্|জ|ি|ত|ক|ু|ম|া|র|
r:a|n|j|u|d|e|v|i|	র|ঞ:্|জ|ু|দ|ে|ব|ী|
r:a|n|j|u|r|a|n|i|	র|ঞ:্|জ|ু|র|া|ন|ী|
r|a|n|k|i:n:g|s|	র|া|ঙ:্|ক|ি:ং|স|
r|a|n|k|s|	র|া|ঙ:্|ক|স|
r|a:n:k|u|r|a|n|i|	র:ি|ং|ক:ু|র|া|ন|ী|
r:a|n|t:h:a|m|b:h|o:r:e|	র|ন|থ|ম:্|ব|ো:র|
r:a|n|t:h:a|m|b|o|r|	র|ণ|থ|ম:্|ভ|ো|র|
r:a|n|t|u|	র|ন:্|ট|ু|
r:a|n|u|	র|ন|ু|
r|a|n|u|b|a|l|a|	র|া|ণ|ু|ব|া|ল|া|
r|a|n|u|r|a|n|i|	র|া|ন|ু|র|া|ন|ী|
r|a|o|	র|া|ও|
r:a|o|s:h:a|n|	র|ও|শ|ন|
r:a|o|s:h:a|n|a|r|a|	র|ও|শ|ন|া|র|া|
r|a|p|t|i|	র|া|প:্|ত|ী|
r|a|q|i|b|u|l|	র|া|ক|ি|ব|ু|ল|
r|a|q|u|e|t|b:a|l:l|	র|া|ক|ু|য়:ে|ট|ব|ল|
r:a|s:a|b|a:t:i|	র|স|ব|ত:ী|
r|a|s:a|l|	র|া|স|ল|
r:a|s:a|n|b|a|l|a|	র|স|ন:া|ব|া|ল|া|
r:a|s:a|r|a|j|	র|স|র|া|জ|
r|a|s|b|i|h:a:r|i|	র|া|স|ব|ি|হ:া|র:ী|
r|a|s|e|d|a|l|i|	র|া|স|ে|দ|আ|ল|ি|
r|a|s:h|b|e|h:a:r|i|	র|া|শ|ব|ে|হ:া|র:ী|
r|a|s:h|i|d|	র|া|স|ি|দ|
r:a|s:h:i|d|a|	র|শ:ি|দ|া|
r:a|s:h|i|d|a|b|i|b|i|	র|স|ি|দ|া|ব|ি|ব|ি|
r|a|s:h:i|n|k|a|r|	র|া|শ:ি|ন|ক|া|র|
r:a|s:h|m|i|	র|শ|্:ম|ি|
r|a|s:h|t|r|i:y:a|	র|া|ষ|্:ট|্:র|ী:য়|
r|a|s|i|d|a|	র|া|স|ি|দ|া|
r:a|s|i|d|a|k:h:a|t|u|n|	র|শ|ি|দ|া|খ:া|ত|ু|ন|
r:a|s|i|k|	র|স|ি|ক|
r|a|s|m|a|	র|া|শ|ম|া|
r|a|s|m:a|n|i|	র|া|স|ম|ন|ি|
r|a|s|m|o|h:a|n|	র|া|স|ম|ো|হ|ন|
r|a|s|m|u|n|i|	র|া|স|ম|ু|ন|ি|
r:a|s|n|a|	র|স|ন|া|
r:a|s|n|a|t:h|	র|স|ন|া|থ|
r|a|s|p|a|	র|া|স|প|া|
r:a|s|p|a|l|	র|স|প|া|ল|
r|a|s|p|b|e|r:r:y|	র|া|স:্|প|ব|ে|র:ি|
r|a|s|t|r|i|y:a|	র|া|ষ:্|ট:্|র|ি|য়|
r:a|s|u|l|	র|স|ু|ল|
r:a|t:a|n|	র|ত|ন|
r:a|t:a|n|b|a|l|a|	র|ত|ন|ব|া|ল|া|
r:a|t:a|n|c:h:a|n|d|r:a|	র|ত|ন|চ|ন:্|দ:্|র|
r:a|t:a|n|l|a|l|	র|ত|ন|ল|া|ল|
r:a|t:a|n|t|i|	র|ট|ন:্|ত|ী|
r:a|t:h:a|s:h:w|a|r|	র|থ:ে|শ|্:ব|র|
r|a|t:h|e|r|	র|া|থ|ে|র|
r:a|t:h|i|b|a|l|a|	র|থ|ি|ব|া|ল|া|
r:a|t:h:i|k|a|n|t:a|	র|ত:ি|ক|া|ন:্|ত|
r:a|t:h:i|n|d|r:a|	র|থ:ী|ন:্|দ:্|র|
r:a|t:h:i|n|d|r:a|n|a|t:h|	র|থ:ী|ন:্|দ:্|র|ন|া|থ|
r:a|t:h:i|n|k|u|m|a|r|	র|থ:ী|ন|ক|ু|ম|া|র|
r:a|t:h|m:a|n|i|	র|থ|ম|ন|ি|
r:a|t:h|u|l:a|a|l|	র|থ|ু|ল|া|ল|
r|a:t:i|	র|ত:ী|
r|a|t|i|	র|া|ত|ি|
r|a|t|i|a|	র|া|ত|ি|য়:া|
r:a|t|i|l|a|l|	র|ত|ি|ল|া|ল|
r:a|t|i|r|a|m|	র|ত|ি|র|া|ম|
r:a|t|n|a|	র|ত:্|ন|া|
r:a|t|n|a|b|a|l|a|	র|ত:্|ন|া|ব|া|ল|া|
r:a|t|n|a|k:a|r|	র|ত:্|ন|া|ক|র|
r:a|t|n:a|p|a|r|k:h:i|	র|ত:্|ন|প|া|র|খ:ি|
r:a|t|n|a|y|a:k:e|	র|ত:্|ন|া|য়|ে:ক|
r:a|t|n|a|y|e|k:e|	র|ত:্|ন|া|য়|ে|ক|
r:a|t|n|e|s:h:w|a|r|	র|ত:্|ন|ে|শ|্:ব|র|
r|a|t:o:n|	র|া|ট:ন|
r|a|t|o|w|a|l|	র|া|ত|ো|ও|য়:া|ল|
r:a|t|r|a|	র|ত:্|র|া|
r|a|t|r|i|	র|া|ত:্|র|ি|
r|a|t|t|u|	র|া|ট:্|ট|ু|
r:a|t|u|	র|ত|ু|
r|a|t|u|l|	র|া|ত|ু|ল|
r|a:t:u|l|a|l|	র:ু|ট:ু|ল|া|ল|
r|a|u|f|	র|া|উ|ফ|
r|a|u|l|	র|া|উ|ল|
r|a:u|s|a|n|	র|ৌ|স|া|ন|
r|a|v|e|r|k|a|r|	র|া|ভ|ে|র|ক|া|র|
r:a|v|i|s:h:a|n|k:a|r|	র|ব|ি|শ|ঙ:্|ক|র|
r|a|w|a|	র|া|ও|য়:া|
r|a|w|l|	র|া|ও|ল|
r|a|w|l|i|n:s|	র|া|উ|ল|ি|ন|
r:a:w|s:o:n|	র:ো|স:ন|
r|a|y|	র|া|য়|
r|a:y|b|a|n|	র|ে|ব:্|য:া|ন|
r|a:y|m:o|n|d|	র|ে|ম|ন:্|ড|
r|a:y|n:o:l|d|	র|ে|ন:ল|্:ড|
r|a|z|d|a|n|	র|া|জ|দ|া|ন|
r|a|z|i|n|	র|া|জ|ি|ন|
r|a|z|z|a|k|	র|া|জ:্|জ|া|ক|
r|e|	র|ি|
r|e:a:d|	র|ি:ড|
r:e:a|g:a|n|	র:ে|গ|ন|
r|e|a|l|	র|ি|য়:ে|ল|
r|e|b|a|	র|ে|ব|া|
r|e|b|a|b|a|	র|ে|ব|া|ব|া|
r|e|b|a:t:i|	র|ে|ব|ত:ী|
r|e|b|a:t:i|b|a|l|a|	র|ে|ব|ত:ী|ব|া|ল|া|
r|e|b|a:t:i|m|o|h:a|n|	র|ে|ব|ত:ী|ম|ো|হ|ন|
r|e|b|i|	র|ে|ব|ি|
r|e|b|o:t:i|r|a|n|i|	র|ে|ব|ত:ী|র|া|ণ|ী|
r|e|c:o|r|d|	র|ে|ক|র:্|ড|
r|e|d|d|y|s|	র|ে|ড|্:ড|ি|স|
r|e|d|e:e|m:e|r|	র|ে|ড|ে|ম|া:র|
r:e:d|i:f:f|c:o:m|	র:ে|ড|ি:ফ|
r|e|d|o|u:b:t|	র|ি|ড|া|উ:ট|
r|e|d|o|u|t:e|	র|ি|ড|া|উ|ট|
r|e|d|p:a|t:h|	র|ে|ড|প|থ|
r:e:e|l|	র:ি|ল|
r:e:e|n|	র:ী|ন|
r|e:e|t|i|n|d:e|r|	র|ে|ত|ি|ন:্|দ|্:র|
r|e:e|v:e|	র|ে|ভ|
r:e:e|v|e|s|	র:ি|ভ|ে|স|
r|e|f|	র|ে|ফ|
r|e:f:o|r|m|e|d|	র|ি:ফ|র:্|ম|ে|ড|
r|e|f|u|g:e:e|	র|ি|ফ|ু|জ|
r|e|h|a|n|	র|ে|হ|া|ন|
r|e|h|a|n|a|	র|ে|হ|া|ন|া|
r|e|h|a|n|a|b|e|g:a|m|	র|ে|হ|া|ন|া|ব|ে|গ|ম|
r|e|h|a|n|a|b|i|b|i|	র|ে|হ|া|ন|া|ব|ি|ব|ি|
r|e|h|e|n|a|	র|ে|হ|ে|ন|া|
r|e|i|b|e|l|	র|ে|ই|ব|ে|ল|
r:e:i|d|	র:ে|ড|
r|e|i|f|e|r|	র|ে|ই|ফ|ে|র|
r|e:i:f|f|e|l|	র|া:ই|ফ|ে|ল|
r|e|i|n|s|u|r|a|n|c:e|	র|ি|ই|ন|স|ি:ও|র|ে|ন:্|স|
r|e|i|s|u|d|d|i|n|	র|ে|ই|স|ু|দ:্|দ|ি|ন|
r|e|j|a|h|o|s|e|n|	র|ে|জ|া|হ|ো|স|ে|ন|
r|e|j|a|k|a|l|i|	র|ে|জ|া|ক|আ|ল|ি|
r|e|j|a|u|l|h:o|k|	র|ে|জ|া|উ|ল|হ|ক|
r|e|j|e|l|	র|ে|জ|ে|ল|
r|e|j|i|n|a|b|e|g:a|m|	র|ে|জ|ি|ন|া|ব|ে|গ|ম|
r|e|k:h:a|	র|ে|খ:া|
r|e|k:h:a|b|a|l|a|	র|ে|খ:া|ব|া|ল|া|
r|e|k:h:i|	র|ে|খ:ী|
r|e|l:a:t|i|v|i|t|y|	র|ি|ল:ে|ট:ি|ভ|ি|ট|ি|
r|e|l|i|a|n|c:e|	র|ি|ল|া:য়|ে|ন:্|স|
r|e|m|o|	র|ে|ম|ো|
r|e|n|a:u:l|t|	র|ে|ন|া:ল|্:ট|
r|e|n|e|	র|ে|ন|ে|
r|e|n|e:e|	র|ে|ন|ি|
r|e|n|n:i:e|	র|ে|ন|ন:ি|
r|e|n|o|	র|ে|ন|ো|
r|e|n|u|	র|ে|ন|ু|
r|e|n|u|b|a|l|a|	র|ে|ণ|ু|ব|া|ল|া|
r|e|n|u|k|a|	র|ে|ণ|ু|ক|া|
r|e|n|u|k|a|b|a|l|a|	র|ে|ন|ু|ক|া|ব|া|ল|া|
r|e|n|u|k|a|r|a|n|i|	র|ে|ন|ু|ক|া|র|া|ন|ী|
r|e|n|u|k|u|m|a|r|i|	র|ে|ন|ু|ক|ু|ম|া|র|ী|
r|e|n|u|p|r:a|b:h:a|	র|ে|ন|ু|প:্|র|ভ:া|
r|e|n|v|i|l:l:e|	র|ে|ন|ভ|ি|ল|
r|e|o|n|	র|ে|ও|ন|
r|e|p|u|b|l|i|c|	র|ি|প|া|ব|ল|ি|ক|
r|e|p|u|b|l|i|q:u:e|	র|ি|প|া|ব|ল|ি|ক|
r|e|q:u:e|	র|ে|ক:ে|
r|e|q|u|i|n|	র|ি|ক|ু|ই|ন|
r|e|q|u|i|n|t|o|	র|ে|ক|ু|ই|ন:্|ট|ো|
r|e|s|c:u:e|	র|ে|স:্|ক:ু|
r|e:s:e|a|r|c:h|	র|ি:স|া|র:্|চ|
r|e:s:e|r|v:o:i|r|	র|ি:জ|া:র|্:ভ|র|
r|e:s:h|m|a|k:h:a|t|u|n|	র|ে:শ|ম|া|খ:া|ত|ু|ন|
r|e:s:h|m|i|	র|ে:শ|ম|ি|
r|e|s|i|d|a|b|i|b|i|	র|ে|স|ি|দ|া|ব|ি|ব|ি|
r|e|s|o:u:r|c:e:s|	র|ি|স|ো:র|্:স|
r|e|s|t|i|t|u|t|a|	র|ে|স:্|ট|ি|ট|ু|ট|া|
r|e|s|t|o|r|a|t:i:o|n|	র|ে|স:্|ট|ো|র|া|শ:া|ন|
r|e|u|n|i|o|n|s|	র|ে|উ:ই|ন|ি|ও|ন:্|স|
r|e|v|a|	র|ে|ভ|া|
r|e|v|e|l|s|t|o|k:e|	র|ে|ভ|ে|ল|স:্|ট|ো|ক|
r|e|v:e|r|e|n|c:e|	র|ে|ভ|া:র|ে|ন:্|স|
r|e|v|o|l|t|	র|ে|ভ|ো|ল|্:ট|
r|e|v|o|l|u|t:i:o|n|	র|ি|ভ|ো|ল|ি:উ|শ:া|ন|
r|e|v|o|l|u|t:i:o|n|a|r|y|	র|ি|ভ|ো|ল|ি:উ|শ|ন|া|র|ী|
r|e|w|a|	র|ি|ট|া|
r|e|w|a|r|d|	র|ি|য়|া|র:্|ড|
r|e|x|a|m|	র|ে:ক|্:স|া|ম|
r|e|y|k|j|a|v|i|k|	র|ে|য়:ি|ক|জ|া|ভ|ি|ক|
r|e|z|i|n|a|	র|ে|জ|ি|ন|া|
r:h:e|n|i|u|m|	র:ি|ন|ি|য়:া|ম|
r|h:i:j|n|a|u|w|e|n|	র|ি:জ|ন|া|উ|ও:ত|ে|ন|
r|h|i|n:e|	র|া|ই|ন|
r:h:o|d:e|	র:ো|ড|
r:h:o|d:e|s|	র:ো|ড|স|
r:h:o|d|e|s|	র:ো|ড|ে|স|
r:h:o|d|i|u|m|	র:ো|ড|ি|য়:া|ম|
r:h:o|d|o|p:e|	র:ো|ড|ো|প|
r:h:o|n|	র:ো|ন|
r:h:o|n:e|	র:ো|ন|
r|h|y|	র|া|ই|
r|i|a|l|t|o|	র|া:য়|া|ল|ট|ো|
r|i|c|a|s|o|l|i|	র|ি|ক|া|স|ো:য়|ে|ল|
r|i|c:e|	র|া:ই|স|
r|i|c:h:a|r|d|	র|ি|চ:া|র:্|ড|
r|i|c:h:a|r|d:s|	র|ি|চ:া|র:্|ড|
r|i|c:h:a|r|d|s:o:n|	র|ি|চ:া|র:্|ড|স:ন|
r|i|c:h:e|l:i:e|u|	র|ি|চ:ে|ল:ি|উ|
r:i:c|h:i:e|	র:ি|চ:ি|
r|i|c:h|m:o|n|d|	র|ি|চ|ম|ন:্|ড|
r|i|c:h|t:e|r|s|v|e|l|d|	র|ি|চ|ট|া:র|স|ভ|ে|ল|্:ড|
r|i|c:k|	র|ি|ক|
r|i|c:k|s|o|n|a|	র|ি|ক|স|ো|ন|া|
r|i|c:k:y|	র|ি|ক:ি|
r|i|c:o:h|	র|ি|ক:ো|
r|i|d|d:l:e|	র|ি|ড|ে:ল|
r|i|d:g:e|	র|ি|জ|
r|i|d|l|e:y|	র|ি|ড|ল|ে|
r|i|f|a|i|	র|ি|ফ|া|ই|
r|i|f|f|a|	র|ি|ফ|ফ|া|
r|i|g|a|	র|ি|গ|া|
r|i|g:g|	র|ি|গ|
r|i:g:h|t|	র|া:ই|ট|
r|i|g|o|l|e|t|	র|ি|গ|ো|ল|ে|ট|
r|i|j|a|k|	র|ি|জ|া|ক|
r|i|j|a|u|l|	র|ি|জ|া|উ|ল|
r|i|j|a|u|l|h:a|k|	র|ি|জ|া|উ|ল|হ|ক|
r|i|k|	র|ি|ক|
r|i|k|t|a|r|a|n|i|	র|ি|ক:্|ত|া|র|া|ন|ী|
r|i|m|	র|ি|ম|
r|i|m|a|	র|ী|ম|া|
r|i|m|j:h:i|m|	র|ি|ম|ঝ:ি|ম|
r|i|m|p|a|	র|ি|ম:্|প|া|
r|i|n|a|	র|ি|ন|া|
r|i|n|a|b|e|g:a|m|	র|ি|ন|া|ব|ে|গ|ম|
r|i|n|a|d|e|b|i|	র|ি|ন|া|দ|ে|ব|ী|
r|i:n|a|r|a|n|i|	র:ী|ন|া|র|া|ণ|ী|
r|i|n|d:e|l|	র|ি|ন:্|ড|ল:ে|
r|i|n|e|l|l|a|	র|ি|ন|ে|ল:্|ল|া|
r|i:n:g|g|i|t|	র|ি:ং|গ|ি|ট|
r|i|n|g:h:e|	র|ি|ঙ:্|ঘ:ে|
r|i|n|g|o|	র|ি|ং|গ|ো|
r|i|n|i|	র|ি|ন|ি|
r|i|n|k|e|	র|ি|ঙ:্|ক|ে|
r|i|n|k|i|	র|ি|ঙ:্|ক|ি|
r|i|n|k|u|	র|ি|ঙ:্|ক|ু|
r|i|n|k|u|b|a|l|a|	র|ি|ঙ:্|ক|ু|ব|া|ল|া|
r|i|n|k|u|d|e|v|i|	র|ি|ঙ:্|ক|ু|দ|ে|ব|ী|
r|i|n|o|	র|ি|ন|ো|
r|i|n|t|u|	র|ি|ণ|্:ট|ু|
r|i|n|u|	র|ি|ন|ু|
r|i|o|	র|ি|ও|
r|i|p:a|n|	র|ি|প|ন|
r|i|p:p:e|r|	র|ি|প:া|র|
r|i|p|u|	র|ি|প|ু|
r:i|s:h|i|	ঋ|ষ|ি|
r:i|s:h|i|k|a|n|t:a|	ঋ|ষ|ি|ক|া|ন:্|ত|
r:i:s|h|i|k|e:s:h|	হ:ৃ|ষ|ি|ক|ে:শ|
r|i|s|i:n:g|	র|া:ই|জ|ি:ং|
r|i|t|a|	র|ী|ত|া|
r|i|t|a|b|a|l|a|	র|ি|ত|া|ব|া|ল|া|
r|i|t:a|n|	র|ি|ট|ন|
r|i|t|a|r|a|n|i|	র|ি|ত|া|র|া|ন|ী|
r|i:t:c|h:i:e|	র|ি|চ|
r|i|t|e:s:h|	র|ি|ত|ে:শ|
r|i|t|e:s:h|k|u|m|a|r|	র|ী|ত|ে:শ|ক|ু|ম|া|র|
r|i|t:h|a|	র|ি|থ|া|
r|i|t|i|k|a|	র|ি|ত|ি|ক|া|
r:i|t|u|	ঋ|ত|ু|
r:i|t|u|p:a|r|n|a|	ঋ|ত|ু|প|র:্|ন|া|
r|i|v:e|r|	র|ি|ভ|া:র|
r|i|v:e|r|s|i|d:e|	র|ি|ভ|া:র|স|া:ই|ড|
r|i|y|a|d:h|	র|ি|য়|া|ধ|
r|i|y|a|l|	র|ি|য়|া|ল|
r|i|z|v|i|	র|ি|জ|ভ|ি|
r|o:a:d|	র|ো:ড়|
r|o|b|	র|ো|ব|
r:o|b:e|r|	র|ব|া:র|
r:o|b:e|r|t|	র|ব|া:র|্:ট|
r:o|b|e:r:t|s|	র|ব|া:ট|স|
r|o|b|i|n|	র|ো|ব|ি|ন|
r:o|b|i|n|s|	র|ব|ি|ন|স|
r|o|c:h:e|	র|ো|চ:ি|
r|o|c:h:e|f|o|r|t|	র|ো|চ:ে|ফ|ো|র:্|ট|
r|o:c:k|	র|ক|
r|o:c:k|b|r|i|d:g:e|	র|ক|ব:্|র|ি|জ|
r|o:c:k|b|r:o|o|k|	র|ক|ব:্|র|ো|ক|
r|o:c:k|f|o|r|d|	র|ক|ফ|ো|র:্|ড|
r|o:c:k|i:n:g|h|a|m|	র|ক|ি:ং|হ|া|ম|
r:o|d|	র|ড|
r|o|d|e|o|	র|ো|ড|ে|ও|
r|o|d|m|a|n|	র|ো|ড|ম:্|য:া|ন|
r:o|d|n:e:y|	র|ড|ন:ি|
r|o|e|n|t|g|e|n|i|u|m|	র|ো|য়:ে|ন:্|ট|জ|ে|ন|ি|য়:া|ম|
r|o|f:f|e|	র|ো|ফ|ে|
r|o|g:e|r|	র|ো|জ|া:র|
r|o|h|a|n|	র|ো|হ|া|ন|
r|o|h|i|d|a|s|	র|ো|হ|ি|দ|া|স|
r|o|h|i|l:l|a|	র|ো|হ|ি|ল|া|
r|o|h|i|m|a|	র|ো|হ|ি|ম|া|
r|o|h|i|n|i|	র|ো|হ|ি|ন|ী|
r|o|h|i|n|i|b|a|l|a|	র|ো|হ|ি|ন|ী|ব|া|ল|া|
r:o|h|i|t|	র|হ|ি|ত|
r|o|j|	র|ো|জ|
r|o|j|a|	র|ো|জ|া|
r|o|j|i|n|a|	র|ো|জ|ি|ন|া|
r|o|j|i|n|a|b|e|g:a|m|	র|ো|জ|ি|ন|া|ব|ে|গ|ম|
r|o|k|e|b|y|	র|ো|ক|ে|ব|ী|
r|o|k|s|a|n|a|	র|ো|ক|শ|া|ন|া|
r|o|l|a|n|d|	র|ো|ল:্|য:া|ন:্|ড|
r|o|l:l:e|r|	র|ো|ল:া|র|
r|o|m|a|	র|ো|ম|া|
r|o|m|a|n|	র|ো|ম|া|ন|
r|o|m|a|n|i|	র|ো|ম|া|ন|ী|
r|o|m|a|n|i|a|	র|ো|ম|া|ন|ি|য়:া|
r|o|m|a|n|z:o:f|	র|ো|ম|া|ন|জ:ফ|
r|o:m:e|	র|ো:ম|
r:o|m|e:s:h|	র|ম|ে:শ|
r|o|m|i|o|	র|ো|ম|ি|ও|
r|o|m|u|l|o|	র|ো|ম|ু|ল|ো|
r:o|n|	র|া:ন|
r|o|n|a|l|d|	র|ো|ন|া|ল|্:ড|
r:o|n|d|u|i|t|	র|ন|ড|ু|ই|ট|
r|o|n|n:i:e|	র|ো|ন:্|ন:ি|
r:o:o|p:e|	র:ু|প|
r:o:o|r|k|e:e|	র:ু|ড়|ক|ি|
r:o:o|s:e:v|e|l|t|	র:ু|জ:ভ|ে|ল|্:ট|
r|o|p|i:n:g|	র|ো|প|ি:ং|
r|o|r|a|i|m|a|	র|ো|র|া|ই|ম|া|
r|o:s:e|	র|ো:হ|
r|o|s|e|n|a|r|a|	র|ো|স|ে|ন|া|র|া|
r|o|s|e|n|b|e|r|g|	র|ো|জ|ে|ন|ব|া|র:্|গ|
r|o|s:h:a|n|	র|ো|শ|ন|
r|o|s:h:a|n|	র|ো|শ:া|ন|
r|o|s:h|n|a|	র|ো|শ|ন|া|
r|o|s:h|n|a|i|b|i|b|i|	র|ো|শ|ন|া|ই|ব|ি|ব|ি|
r|o|s:h|n|a|r|a|	র|ো|শ|ন|া|র|া|
r|o|s:h|n|i|	র|ো|শ|ন|ী|
r|o|s:h|n|i|h|a|r|	র|ো|শ|ন|ি|হ|া|র|
r|o:s:s|	র|ো:জ|
r|o|s|t:e|r|	র|ো|স:্|ট|া:র|
r|o|s|y|	র|ো|জ|ী|
r|o|t|a|r|y|	র|ো|ট|া|র|ি|
r|o|t:t:e|r|d|a|m|	র|ো|ট:া|র:্|ড|ড:া|ম|
r:o|u|j|a|t|u|n|	র|ও|জ|া|ত|ু|ন|
r|o:u|n:a|k|	র|ৌ|ন|ক|
r|o|u|n|d|	র|া|উ|ন:্|ড|
r|o:u|p|a|n|	র|ৌ|প|া|ন|
r:o|u|s|a|n|a|r|a|b|i|b|i|	র|ও|স|া|ন|া|র|া|ব|ি|ব|ি|
r|o:u|s:h:a|n|	র|ৌ|শ:া|ন|
r:o|u|s:h:a|n|a|r|a|	র|ও|শ:া|ন|া|র|া|
r:o|u|s|o|n|a|r|a|b|e|g:a|m|	র|ও|স|ো|ন|া|র|া|ব|ে|গ|ম|
r|o:w:e|	র|ো|
r|o|w|i|n|g|	র|ো|উ|ই|ঙ:্|ক|
r:o|y|	র|য়|
r|o|y|a|l|	র|ো|য়|া|ল|
r|o:y:a|l|	র|য়:ে|ল|
r|u|a|p|e|h|u|	র|ু|য়:া|প|ে|হ|ু|
r|u|b|a|i|d|a|	র|ু|ব|া|ই|দ|া|
r|u|b|a|n|	র|ু|ব|া|ন|
r|u|b|e|n|	র|ু|ব|ে|ন|
