h|e|t|f|i|e:l|d|	ה|י|ט|פ|י|ל|ד|
s|t:o|w:e|	ס|ט|ו|
r|a|m|i|r:e|s|	ר|א|מ|י|ר|ס|
t|e|r|m|e|	ט|י|ר|מ|י|
z|a|k:h|a|r|o|v|	ז|א|כ|א|ר|ו|ב|
j|a:m|a|l|z|a|d:e|h|	ג:'|מ|א|ל|ז|א|ד|ה|
b|a|r|t|h:e|z|	ב|א|ר|ט|י|ז|
h|u|m|p|t|y|	ה|א|מ|פ|ט|י|
r:u|s:h|m|o|r:e|	ר|ש|מ|ו|ר|
b|o|l:e|y|n|	ב|ו|ל|י|ן|
m|a|c|i:e|j|	מ|א|ס|י|ג:'|
b|l|o:o|m|	ב|ל|ו|ם|
p|a|r|a|m|o|	פ|א|ר|א|מ|ו|
r:e|c|i|f|e|	ר|ס|י|פ|י|
j:a|a|s|k|e|l|a|i|n|e:n|	י|א|ס|ק|י|ל|א|י|נ|ן|
s|t|o|c:k|h|o|l|m|	ס|ט|ו|ק|ה|ו|ל|ם|
m|a|s|c:h|e|r|a|n|o|	מ|א|ס|ק|י|ר|א|נ|ו|
h|o|s:h|y|a|r|	ה|ו|ש|י|א|ר|
s|t|a|t:h|a|m|	ס|ט|א|ת|א|ם|
p|a|n|a|d|o|l|	פ|א|נ|א|ד|ו|ל|
g|u|r|s|e:l|	ג|ו|ר|ס|ל|
h|o|f:f|m|a|n:n|	ה|ו|פ|מ|א|ן|
z|a|n:e|t|i|c|	ז|א|נ|ט|י|ק|
a|l|i|c|i|a|	א|ל|י|ס|י|א|
s:c|h:m|e|i|c:h|e:l|	ש|מ|א|י|ק|ל|
k|o|s|u|g|i|	ק|ו|ס|ו|ג|י|
n|a|t|a|s:h|a|	נ|א|ט|א|ש|א|
j|o:e|	ג:'|ו|
p|r|i|e|t|o|	פ|ר|י|י|ט|ו|
n|o|e|	נ|ו|י|
w|i|n|t|e:r|	ו|י|נ|ט|ר|
l|u|z:z|a|t:t|o|	ל|ו|ז|א|ט|ו|
g:h|a|z|i|	ג|א|ז|י|
c|o:e|	ק|ו|
y|v|o|n|	י|ב|ו|ן|
s:h|o|s:h|a:n|a|	ש|ו|ש|נ|ה|
s|o:w|e|t|o|	ס|ו|י|ט|ו|
c:e|n|t|a:u|r|i|	ס|נ|ט|ו|ר|י|
l|a|v|i:l|l:e|	ל|א|ב|י|ל|
s:h|e|f:f|i|e:l|d|	ש|י|פ|י|ל|ד|
v|i|c|i|n|i|	ו|י|צ:'|י|נ|י|
j|e:r|o|m:e|	ג:'|ר|ו|ם|
p|o|t|s|d|a|m|	פ|ו|ט|ס|ד|א|ם|
l|e|p|i|n:e|	ל|י|פ|א:י|ן|
t|o|m|a|s|	ט|ו|מ|א|ס|
s|u|n|d:e|l:l|	ס|א|נ|ד|ל|
g|o|k|d:e|n|i|z|	ג|ו|ק|ד|נ|י|ז|
y|o|s:h|i|t|o|	י|ו|ש|י|ט|ו|
j|u|m|b|l|a|t:t|	ג:'|ו|נ|ב|ל|א|ט|
c|a|v:e|	ק|י:י|ב|
n:e|d|v|e|d|	נ|ד|ב|י|ד|
t|u|r|a|n|	ט|ו|ר|א|ן|
s|a|l|b|u|t|a|m|o|l|	ס|א|ל|ב|ו|ט|א|מ|ו|ל|
v|e|j|i|c|	ו|י|ג:'|י|ט:ש|
m|i|l:l|e:r|	מ|י|ל|ר|
k|y|u|	ק|י|ו|
a|m|i|r|	ע:א|מ|י|ר|
f|l|o|r:e|n|t|i|n|o|	פ|ל|ו|ר|נ|ט|י|נ|ו|
s|e|r|g|e|y|	ס|י|ר|ג|י|י|
s:h|a:f|i|k|	ש|פ|י|ק|
k:a|d|i|m|a|	ק|ד|י|מ|ה|
s|w:e|i|d|	ס|ו|י|ד|
g|l|a|u|	ג|ל|א|ו|
s|m|u|s:h|	ס|מ|א|ש|
s:c|h:w|i|m:m|e:r|	ש|ו|י|מ|ר|
m|a|g:n|i|f|i|c|a|t|	מ|א|נ|י|פ|י|ק|א|ט|
s|t|r|a|t|f|o|r|d|	ס|ט|ר|א|ט|פ|ו|ר|ד|
m|o|r|i|t:z|	מ|ו|ר|י|ץ|
g|o|v|o:u|	ג|ו|ב|ו|
s|m|a|s:h|n|o|v|a|	ס|מ|א|ש|נ|ו|ב|א|
r|o|n|a|l|d|o|	ר|ו|נ|א|ל|ד|ו|
t|i|b|e|r|i|u|s|	ט|א:י|ב|י|ר|י|א|ס|
h|a|t|o|y|a|m|a|	ה|א|ט|ו|י|א|מ|א|
r|u|d|a|k|o|v|	ר|ו|ד|א|ק|ו|ב|
s|e|r|e|n|g|e|t|i|	ס|י|ר|י|נ|ג|י|ט|י|
b|o:u|m|a|	ב|ו|מ|א|
r|u|s|t|a|v|i|	ר|ו|ס|ט|א|ב|י|
g|i|z|a|	ג|י|ז|ה|
n|a:h|l|a|	נ|ח|ל|ה|
p|a|g|a|n|i|n|i|	פ|א|ג|א|נ|י|נ|י|
h|a|y|k|e:l|	ה|א|י|ק|ל|
a|n:n|o|	א|נ|ו|
t|r|a|m|	ט|ר|א|ם|
f:a|r:r|o|k:h|z|a|d|	פ|ר|ו|כ|ז|א|ד|
a|d|w|a|n|	ע|ד|ו|א|ן|
f|l|a|m|i|n|i|	פ|ל|א|מ|י|נ|י|
d|j|i|a|n|	ד|ג:'|י|א|ן|
b|r|a|m|	ב|ר|א|ם|
g:u|i|m|a|r:d|	ג|י|מ|א|ר|
y|a|s|i|n|	י|א|ס|י|ן|
k|o|k|i|c|h:i|	ק|ו|ק|י|צ:'|י|
h|a:y|	ה:י|י|
m|o|a|w|a|d|	מ|ו|ע|ו|א|ד|
k|a|y|	ק|י|י|
f|u|r|u|y|a|	פ|ו|ר|ו|י|א|
m|a|y|	מ|י|י|
b|a|y|	ב|י|י|
c|u|i|a|b|a|	ק|ו|י|א|ב|א|
a|r|a|n|h:a|	א|ר|א|נ|א|
g|a|b|i|l|o|n|d|o|	ג|א|ב|י|ל|ו|נ|ד|ו|
g|o|g|o|l|	ג|ו|ג|ו|ל|
h:e|s:h|m:a|t|	ח|ש|מ|ט|
e|l:l|i|o|t|	א|ל|י|ו|ט|
p|y|g|m|a|l|i|o|n|	פ|י|ג|מ|א|ל|י|ו|ן|
y|a|m|o:u|s:s|o:u|k|r|o|	י|א|מ|ו|ס|ו|ק|ר|ו|
t|a|g|a|	ט|א|ג|א|
i|s|k|r|a|	א:י|ס|ק|ר|א|
m:e|s:h|a|l|	מ|ש|ע|ל|
c|a|s|t|i|l:l|a|	ק|א|ס|ט|י|ל|א|
g|a|r|i|b|a|l|d|i|	ג|א|ר|י|ב|א|ל|ד|י|
s|v|e|t|l|a|n|a|	ס|ב|י|ט|ל|א|נ|א|
a|m|r|a:m|	ע|מ|ר|ם|
g|e:r|h|a|r|d|	ג|ר|ה|א|ר|ד|
u|n|i|x|	י:ו|נ|י|ק:ס|
h|i|s|p|a|n|i|o|l|a|	ה|י|ס|פ|א|נ|י|ו|ל|א|
c|a|r|v|a|l|h|o|	ק|א|ר|א:ב|א|ל|ה|ו|
g|a|g|a|	ג|א|ג|א|
m|a|r|i|n|o|	מ|א|ר|י|נ|ו|
m|a|n:n|i|n|g|e:r|	מ|א|נ|י|נ|ג|ר|
b|e|i|d|a|s|	ב|י|י|ד|א|ס|
d|u|d|a|m|e|l|	ד|ו|ד|א|מ|י|ל|
f|y|o|d|o|r|	פ|י|ו|ד|ו|ר|
s|o|n|k|o|	ס|ו|נ|ק|ו|
m:e|s|r|o|b|	מ|ס|ר|ו|ב|
p|e|t:e|	פ|י|ט|
k|a|t|e:r|i|n|a|	ק|א|ט|ר|י|נ|א|
g:e|o|r|g|y|	ג|':ו|ר|ג:'|י|
k|e|l:l|e:y|	ק|י|ל|י|
w|e|a:v|e:r|	ו|י|ב|ר|
d|r|u|c:k|e:r|	ד|ר|ו|ק|ר|
a|u|h:a|h|	ע|ו|ה|ה|
x|a|b|i|	ש|א|ב|י|
e|a|g|l:e|t|o|n|	א|י|ג|ל|ט|ו|ן|
p|f|e|i|f:f|e:r|	פ|פ|א|י|פ|ר|
r:a|f:f|i|	ר|פ|י|
m|u|n|d:e|l:l|	מ|א|נ|ד|ל|
m|u|l:l|e:r|y|	מ|ו|ל|ר|י|
f|l|o|y|d|	פ|ל|ו|י|ד|
t|i|n|a|	ט|י|נ|א|
k|a|j|	ק|א|י|
c|a|r|o|	ק|א|ר|ו|
k|a|r|l|o|v|i|c|	ק|א|ר|ל|ו|ב|י|ט:ש|
m|i|t:t|a|l|	מ|י|ט|א|ל|
m|u|r|a|t|	מ|ו|ר|א|ט|
k|a|r|d:e|c|	ק|א|ר|ד|ק|
l|a|n|c:e|l|o|t|	ל|א|נ|ס|ל|ו|ט|
t|c:h|a|m|i|	ט|ש|א|מ|י|
f|u|c:h|s|	פ|ו|ק|ס|
s|u|k|e:r|	ס|ו|ק|ר|
s:h|a|n|	ש|א|ן|
p|u|l|i|t:z|e:r|	פ|ו|ל|י|צ|ר|
s|o|c|r|a|t:e|s|	ס|ו|ק|ר|א|ט|ס|
s|u|s|i|l|o|	ס|ו|ס|י|ל|ו|
k:h|a|n|	ח|א|ן|
m|u|r|a|d|	מ|ו|ר|א|ד|
a|b|e:r|c|r|o|m|b|i:e|	א|ב|ר|ק|ר|ו|מ|ב|י|
s|e|m|s:h|o|v|	ס|י|מ|ש|ו|ב|
r|e|i|k|i|	ר|י|י|ק|י|
z|i|n:n|	ז|י|ן|
p|e|r|o|	פ|י|ר|ו|
s|a|l|z|b|u|r|g|	ס|א|ל|ז|ב|ו|ר|ג|
w:o|o|d|s|	ו|ו|ד|ז|
m|a:q|l|u|b|a|	מ|ק|ל|ו|ב|ה|
r|u|i|	ר|ו|י|
n|e|r|o|	נ|י|ר|ו|
h|u|i|	ה|ו|י|
m:a|j|u|s|	מ|ג:'|ו|ס|
d|r|u|m:m|o|n|d|	ד|ר|ו|מ|ו|נ|ד|
m|o|t:a|h:h|a:r|i|	מ|ו|ט|ה|ר|י|
c|r|i|s|	ק|ר|י|ס|
g|r|i|s|	ג|ר|י|ס|
p|o|c|a|t|e|l:l|o|	פ|ו|ק|א|ט|י|ל|ו|
c|a|s:s|a|t:t|	ק|א|ס|א|ט|
h|a|y|d:e|n|	ה|א|י|ד|ן|
n|a|z|l|i|	נ|א|ז|ל|י|
q:u|e:i|r|o|z|	ק|י|ר|ו|ז|
j|a|i|d|i|	ג:'|א|י|ד|י|
a:n|n:e|	ע|ן|
n|a|t|a|s:c|h:a|	נ|א|ט|א|ש|א|
w|a|l|z:e|r|	ו|א|ל|צ|ר|
s|y|d|n:e|y|	ס|י|ד|נ|י|
h|a|y|m|a|n|o|t|	ה|א|י|מ|א|נ|ו|ט|
s|n|i|r|	ס|נ|י|ר|
d|r|e|t|a|r|	ד|ר|י|ט|א|ר|
h|e|i|k|o|	ה|י|י|ק|ו|
d|o|s:s|e|n|a|	ד|ו|ס|י|נ|א|
c|o|l|o|m|b|o|	ק|ו|ל|ו|מ|ב|ו|
g|r|i|f:f|i|t:h|	ג|ר|י|פ|י|ת|
m|a|c|d|o|n|a|l|d|	מ|א|ק|ד|ו|נ|א|ל|ד|
k|r|i|s|t|o|f|	ק|ר|י|ס|ט|ו|ף|
h:e|i|k:e|	ה|י|ק|
h|e|r|t|f|o|r|d|	ה|י|ר|ט|פ|ו|ר|ד|
l|i|t|v|i|n|e|n|k|o|	ל|י|ט|ב|י|נ|י|נ|ק|ו|
l|i|n|d:e|l|o|f|	ל|י|נ|ד|ל|ו|ף|
l|a|u|	ל|א|ו|
b|e|h|a|n|	ב|י|ה|א|ן|
k|u|b|o|	ק|ו|ב|ו|
v|e|m|i|c|	ו|י|מ|י|ט:ש|
g|e|d|i|m|i|n|a|s|	ג|י|ד|י|מ|י|נ|א|ס|
d|r|.|	ד|ק:ט|ו:ר|
x|e|n|o|p:h|a|n|e|s|	ק:ס|י|נ|ו|פ|א|נ|י|ס|
k|a|n|p|u|r|	ק|א|נ|פ|ו|ר|
d|o|m|a|g:k|	ד|ו|מ|א|ק|
n|a|m|b|u|	נ|א|מ|ב|ו|
y|k|s|e|l|	י|ק|ס|י|ל|
p|o|m|p|e|o|	פ|ו|מ|פ|י|ו|
w|i|n|s|l|o:w|	ו|י|נ|ס|ל|ו|
w|i|l|s:h|e|r:e|	ו|י|ל|ש|י|ר|
s|e|b|a|s|t|i|e|n|	ס|י|ב|א|ס|ט|י|א|ן|
a|y:i|l|	ע:א|י|ל|
h|a|l:l|s|	ה|א|ל|ז|
m|i|m|o:u|n|	מ|י|מ|ו|ן|
j|o:u|h:a|u:x|	ג:'|ו|ה|ו|
c|a|p|r|i|	ק|א|פ|ר|י|
t|y|m|o|s:c|h:u|k|	ט|י|מ|ו|ש|ו|ק|
f|o|r|s|y|t:h|	פ|ו|ר|ס|א:י|ת|
r|a|m|a|g|e|	ר|א|מ|א|ג|'|
n:e|b|a|h:a|t|	נ|ב|א|ה|ט|
s|e:r|v|e|t|	ס|ר|ו:ו|י|ט|
a|s|a|k|i|r|	ע|ס|א|ק|י|ר|
g|i|d:e|	ג|י|ד|
a|s:h|d|o|d|	א|ש|ד|ו|ד|
p|a|t:t|o:n|	פ|א|ט|ן|
l|i|o|n|e:l|	ל|א:י|ו|נ|ל|
k|a:h|r:a|m|a|n|m|a|r|a|s|	ק|ה|ר|מ|א|נ|מ|א|ר|א|ס|
s|i|m|b|i|	ס|י|מ|ב|י|
k|u|r|o|d|a|	ק|ו|ר|ו|ד|א|
a|x|u|m|	א|ק:ס|ו|ם|
l|i|n|d|s|e|y|	ל|י|נ|ד|ס|י|י|
h|o|w:e|	ה|א|ו|
a|m|u|n|d|s|e:n|	א|מ|ו|נ|ד|ס|ן|
a|d|e|l|a|i|d:e|	א|ד|י|ל|י|ا|ד|
j|u|r|o|t|a|	ג:'|ו|ר|ו|ט|א|
f|a|d|i|g|a|	פ|א|ד|י|ג|א|
s|a|l:e|k:h|a|r|d|	ס|א|ל|כ|א|ר|ד|
j|u:s|t|i|n:e|	ג:'|א|ס:ט|י|ן|
s|a|l|v|a|	ס|א|ל|ב|א|
w|a:l|l:e|	ו:ו|ל|י|
d|a|n:n|e:r|	ד|א|נ|ר|
c|a|t|e|r|i|n|a|	ק|א|ט|י|ר|י|נ|א|
k|o|b|l:e|n|z|	ק|ו|ב|ל|נ|ז|
w:o|o|l:l|e:y|	ו|ו|ל|י|
m|e|s|u|t|	מ|י|ס|ו|ט|
s:h|o:u|a|a|	ש|ו|ע:א|ע|
s|p|e|r|l|	ס|פ|א|ר|ל|
d|u:d|l:e|y|	ד:א|ד|ל|י|
l|e|o|n|	ל|י|ו|ן|
f:a|r|h|i|	פ|ר|ח|י|
c:z|e:i|z|l|e:r|	ק|י|ז|ל|ר|
s|e|r|v|e|t|u|s|	ס|י|ר|ב|י|ט|ו|ס|
w|a|l|d|o|	ו|א|ל|ד|ו|
k:a|n|k|o:u|n|e|	ק|נ|ק|ו|נ|י|
n|i|c:k|e|l|b:a|c:k|	נ|י|ק|י|ל|ב|ק|
s|o|m|a|l|i|a|	ס|ו|מ|א|ל|י|ה|
s|y|l|v|i|n|h:o|	ס|י|ל|ב|י|נ:י|ו|
b|a|m|b|i|	ב|א|מ|ב|י|
w|o|l|m|a|r|	ו|ו|ל|מ|א|ר|
b|a|y|k|a|l|	ב|א|י|ק|א|ל|
s|f|a|r|	ס|פ|א|ר|
k|i|l|p|i:n|	ק|י|ל|פ|ן|
l|i|n|v|o|y|	ל|י|נ|ב|ו|י|
n|o|b|o|r|u|	נ|ו|ב|ו|ר|ו|
r|i|n|a|	ר|י|נ|א|
d|u|r|a|n|	ד|ו|ר|א|ן|
s:e|f|e:r|i|s|	ס|פ|ר|י|ס|
p|a|t|r|i|c:e|	פ|א|ט|ר|י|ס|
m|i|n|a|	מ|י|נ|א|
n|i|n|a|	נ|י|נ|א|
b|r|i|d|g|e|	ב|ר|י|ד|ג|'|
d|i|n|a|	ד|י|נ|א|
r|o|s:h|	ר|ו|ש|
s|y|a|g|r|i|u|s|	ס|י|א|ג|ר|י|ו|ס|
s:h|a|y|n:e|	ש|י|י|ן|
h|r|u:b|e:s|c:h|	ה|ר|ו|ב|ש|
t|e|r|e|s|a|	ט|י|ר|י|ז|א|
j|o|s:h|	ג:'|ו|ש|
c|i|e|n|f|u|e|g|o|s|	ס|י|א|נ|פ|ו|י|ג|ו|ס|
t:a|l|p|i|o|t|	ת|ל|פ|י|ו|ת|
m|o|t:t|a|k|i|	מ|ו|ט|א|ק|י|
t|e|r|e|z|a|	ט|י|ר|י|ז|א|
f|e|l|i|c|i|a|n|o|	פ|י|ל|י|ס|י|א|נ|ו|
v|l|a|d|a|	ו:ו|ל|א|ד|א|
g|o|s:h|	ג|ו|ש|
m:i|y|u|	מ|י|ו|
i|t|a|l|y|	א:י|ט|א|ל|י|
q:a|r|a|o:u|n|	ק|ר|ע|ו|ן|
p|a|m|	פ|א|ם|
s|a|m|	ס|א|ם|
m|a|r|c|i:n|	מ|א|ר|צ|ן|
h|a|m|	ח|א|ם|
k|a|s:s|a|i|	ק|א|ס|א|י|
j|e|s|u|s|	ח|י|ס|ו|ס|
h:a|n|b:a|l|	ח|נ|ב|ל|
f|e:r|d|o:o|s|	פ|ר|ד|ו|ס|
m:e|s:h|u|l|a:m|	מ|ש|ו|ל|ם|
d|a|m|	ד|א|ם|
a|h|e|r|n|	א|ה|י|ר|ן|
k|u|f|u:o|r|	ק|ו|פ|ו|ר|
k|a|l:l|a|	ק|א|ל|א|
d|i|o|g|o|	ד|י|ו|ג|ו|
b|a|r|m|o|s|	ב|א|ר|מ|ו|ס|
g|r|i|m|o|n|p|o|n|	ג|ר|י|מ|ו|נ|פ|ו|ן|
c|a|r|d|o|z|o|	ק|א|ר|ד|ו|ז|ו|
h|e|n|a|n|	ה|י|נ|א|ן|
a|r:r|a|b|a|	א|ר|א|ב|א|
c|a|m|b|i|a|s:s|o|	ק|א|מ|ב|י|א|ס|ו|
e|v|a:r|i|s|t:e|	א:י|ב|ר|י|ס|ט|
n:a|f|t|i|	נ|פ|ט|י|
r|o|t|a|n|a|	ר|ו|ט|א|נ|א|
s|c|a|r|l|e|t:t|	ס|ק|א|ר|ל|י|ט|
p|r|a|i|a|	פ|ר|א|י|א|
v|e|s|e|l|i|n|o|v|i|c|	ו|י|ס|י|ל|י|נ|ו|ב|י|ט:ש|
b|r|i|a|n|	ב|ר|י|א|ן|
n:a|s|r|i|	נ|ס|ר|י|
b|o|r|s|e|l:l|i|n|o|	ב|ו|ר|ס|י|ל|י|נ|ו|
a|m|	א|ם|
z|o|k|o|r|a|	ז|ו|ק|ו|ר|א|
r|a|b|i|u|	ר|א|ב|י|ו|
k|u|l|	ק|ו|ל|
s|i|n|c|l:a|i|r|	ס|י|נ|ק|ל|י:י|ר|
m|a|t|e|r|a|z:z|i|	מ|א|ט|י|ר|א|צ|י|
d|u|d|k|a|	ד|ו|ד|ק|א|
g|a|n|j|a|v|i|	ג|א|נ|ג:'|א|ו|י|
g|i|b:b|o|n|	ג|י|ב|ו|ן|
f|u|l|	פ|ו|ל|
g|u|l|	ג|ו|ל|
z|a|i|r|i|	ז|א|י|ר|י|
f|r|e|d|r|i|c|	פ|ר|י|ד|ר|י|ק|
d|e|m|i|s|	ד|י|מ|י|ס|
r:a|b|i|n|	ר|ב|י|ן|
h|e:a|t|o|n|	ה|י|ט|ו|ן|
s|t|e|y|r|	ס|ט|י|י|ר|
p|r|o|s|t|	פ|ר|ו|ס|ט|
k|u|r|a|k|i|	ק|ו|ר|א|ק|י|
w|e|i|l|	ו|י|י|ל|
v|i|t|o|	ו|י|ט|ו|
b|a|r|a|m|	ב|א|ר|א|ם|
m|i|l:j|a|n|i|c|	מ|י|ל|א|נ|י|ט:ש|
i|s:s|e:r|	א:י|ס|ר|
s|a|b|a|t|i|n|i|	ס|א|ב|א|ט|י|נ|י|
a|m|o|r|	ע|מ|ו|ר|
t|r|i:e|s|t:e|	ט|ר|י|ס|ט|
c|a|p|o|n:e|	ק|א|פ|ו|נ|
s|a|l|a|m|a|n|c|a|	ס|א|ל|א|מ|א|נ|ק|א|
z|e|l|e|n|k|a|	ז|י|ל|י|נ|ק|א|
s:h|i|s:h|a|k|l|i|	ש|י|ש|א|ק|ל|י|
t:s|c:h|u|m|i|	צ|'|ו|מ|י|
t|r|i|v|i|c|	ט|ר|י|ב|י|ט:ש|
f|e:r|l|i|t|o|	פ|ר|ל|י|ט|ו|
l|i|b|e:r|t|a|d|o|r|e|s|	ל|י|ב|ר|ט|א|ד|ו|ר|י|ס|
l|u|m|u|m|b|a|	ל|ו|מ|ו|מ|ב|א|
n|i|e|m|i|n|e|n|	נ|י|י|מ|י|נ|י|ן|
r|e|i|t:s|c:h|	ר|א|י|ט|ש|
d|o|n|a|l|d|	ד|ו|נ|א|ל|ד|
a|l|i|s|f|a:h|a|n|i|	א|ל|א:י|ס|פ|ה|א|נ|י|
t|o|k|i|o|	ט|ו|ק|י|ו|
b:e|i|n|i:s|c:h|	ב|י|נ|י|ש|
e|s|k|e|l:l|	א|ס|ק|י|ל|
p|o|l:l|	פ|ו|ל|
f:a|i|s|o|n|	פ|י:י|ז|ו|ן|
h|o|l:l|	ה|ו|ל|
t|u|m|e|l|o|	ט|ו|מ|י|ל|ו|
b|r:e|e|	ב|ר|י|
t|r|a|i:l|	ט|ר|י:י|ל|
w|u|t:h|r|i|c:h|	ו|ו|ט|ר|י|ך|
j|i|r|i|	ג:'|י|ר|י|
k|i|r|i|	ק|י|ר|י|
g|o|l:l|	ג|ו|ל|
s:h|a|r|m|a|	ש|א|ר|מ|א|
t|i|l|d|a|	ט|י|ל|ד|א|
c:h|r|i|s|t|o|p:h|	ק|ר|י|ס|ט|ו|ף|
b|o:h|l:e|n|	ב|ו|ל|ן|
m:e|l|k|i|	מ|ל|ק|י|
n|o|a|h|	נ|ו|א|ה|
c|l|a|u|d|i|o|	ק|ל|א|ו|ד|י|ו|
s:a|y|e|d|	ס|י|י|ד|
j|u|u:s|o|	י|ו|ס|ו|
k|e|m|p:e|s|	ק|י|מ|פ|ס|
h|a|w|a|i:i|	ה|א|ו|א|י|
r|a|n|s|o|m:e|	ר|א|נ|ס|ו|ם|
b|u|r:r|e|l:l|	ב|ו|ר|י|ל|
j|o:h|n|	ג:'|ו|ן|
k|o:h|n|	ק|ו|ן|
n|o|r:r|i:e|	נ|ו|ר|י|
r|i|v|e|r|o|s|	ר|י|ב|י|ר|ו|ס|
m|i|k|i|m|o|t|o|	מ|י|ק|י|מ|ו|ט|ו|
h|u|m:m|e|l|t|	ה|ו|מ|י|ל|ט|
e|s|p|e:r|a|n|t|o|	א|ס|פ|ר|א|נ|ט|ו|
b|e|r|t|o|s|	ב|י|ר|ט|ו|ס|
h:e|d|i|	ה|ד|י|
t|v|e|r|	ט|ב|י|ר|
h|e|g|e:l|	ה|י|ג|ל|
n|a|i|f|	נ|א|י|ף|
l|a|v|r|a|	ל|א|ב|ר|א|
n|i|k|o|l|a|o|s|	נ|י|ק|ו|ל|א|ו|ס|
p|i|s|t|o|i|a|	פ|י|ס|ט|ו|י|א|
k:a|s:h|m|i|r|	ק|ש|מ|י|ר|
b:e|d|i|	ב|ד|י|
s|e:n|d|h|i|l|	ס|נ|ד|ה|י|ל|
h|i|n|t|e:r|m|a|i|e:r|	ה|י|נ|ט|ר|מ|א|י|ר|
m|c|e:n|r|o:e|	מ:א|ק|נ|ר|ו|
m|a|r|t|a|	מ|א|ר|ט|א|
s:h|a|m|l|o:u|	ש|א|מ|ל|ו|
a|l|a|h|r|a|m|	א|ל|א|ה|ר|א|ם|
p:h|i|l|i|p|s|	פ|י|ל|י|פ|ס|
c|o|l|m|a|r|	ק|ו|ל|מ|א|ר|
s|e|n|d|e|r|o|s|	ס|י|נ|ד|י|ר|ו|ס|
y|a|k|u|s:h|i|n|	י|א|ק|ו|ש|י|ן|
g|a|l|e|a|z:z|o|	ג|א|ל|י|א|צ|ו|
d|r:e|w|	ד|ר|ו|
p|i|e|t|r|o|	פ|י|י|ט|ר|ו|
r|o|b:b|i:e|	ר|ו|ב|י|
f|i|g|a|r|o|	פ|י|ג|א|ר|ו|
e|u|r|o|p|a|	י|ו|ר|ו|פ|א|
s|a|m|p|i|	ס|א|מ|פ|י|
r|y|o|	ר|י|ו|
b|o|r|g|e|t:t|i|	ב|ו|ר|ג|י|ט|י|
j|o|r|g|e:n|s|e:n|	י|ו|ר|ג|נ|ס|ן|
w|e|s|t|e:r|m|a|n:n|	ו|י|ס|ט|ר|מ|א|ן|
w|i|l|k|i:e|	ו|י|ל|ק|י|
s|a|t:s|u|k|i|	ס|א|צ|ו|ק|י|
g|e|r|m|a|n|i|u|m|	ג|י|ר|מ|א|נ|י|ו|ם|
t|o|b|i|t|a|	ט|ו|ב|י|ט|א|
d:e|l|f|i|n|o|	ד|ל|פ|י|נ|ו|
s|i|y|a|b|o|n|g|a|	ס|י|י|א|ב|ו|נ|ג|א|
c|a|r|n:e|g|i:e|	ק|א|ר|נ|ג|י|
n|e|n|a|d|	נ|י|נ|א|ד|
s:e|b|a|s|t|i|a|o|	ס|ב|א|ס|ט|י|א|ו|
p|a|r|a|g|u|a|y|	פ|א|ר|א|ג|ו|א|י|
d:e|l|i|m|k:h|a|n|o|v|	ד|ל|י|מ|כ|א|נ|ו|ב|
g|e|m:m|e|i|	ג|י|מ|י|י|
s|i|l|v|a|	ס|י|ל|ב|א|
w:o|o|d|g|a|t:e|	ו|ו|ד|ג|י:י|ט|
r|u|u:t|e:l|	ר|ו|ט|ל|
b|o|z|a|n|i|c|	ב|ו|ז|א|נ|י|ט:ש|
y|u|z|o|	י|ו|ז|ו|
g|a|l:l|o|i:s|	ג|א|ל|ו|א|
c|o|r:r|i:e|	ק|ו|ר|י|
h|i|l|d|e|	ה|י|ל|ד|י|
c|u|n:n|i|n|g|h|a|m|	ק|ו|נ|י|נ|ג|ה|א|ם|
s|a|r|u|k:h|a|n|	ס|א|ר|ו|כ|א|ן|
t|a|s:h|i|r|o|	ט|א|ש|י|ר|ו|
l|a|p|o|r|t|a|	ל|א|פ|ו|ר|ט|א|
v|a|d|u|z|	ו|א|ד|ו|ז|
t|i|s|e|l|i|u|s|	ט|י|ס|י|ל|י|ו|ס|
t|a|g|o|r:e|	ט|א|ג|ו|ר|
w|i|l|d:e|	ו|א:י|ל|ד|
b|o:u|c:h|a|i|b|	ב|ו|ש|ע|י|ב|
b|i|e:l|s|a|	ב|י|ל|ס|א|
g|r|e|y|	ג|ר|י|י|
x|e|r|c|e|s|	ז|י|ר|ס|י|ז|
m|u|j|i|c|	מ|ו|ג:'|י|ט:ש|
m|c:c|a|r|t:h|y|	מ|ק|א|ר|ת|י|
t|u:o|	ט|ו|
e|l|a|	א|ל|ה|
m|i|c:h|e:l|a|n|g|e|l|o|	מ|א:י|ק|ל|א|נ|ג:'|י|ל|ו|
j|e:n|n:i|f|e:r|	ג:'|נ|י|פ|ר|
m|a|i|m|o|n|	מ|א|י|מ|ו|ן|
e|r|o|s|	א:י|ר|ו|ס|
p|o|p|e|s|c|u|	פ|ו|פ|י|ס|ק|ו|
d|u|o|	ד|ו|א:ו|
a|i|k|i|d|o|	א|י|ק|י|ד|ו|
k|a|n|s|a|s|	ק|א|נ|ס|א|ס|
v|o|r|e|a|d|i|s|	ו|ו|ר|י|א|ד|י|ס|
s|u|g|i|t|a|	ס|ו|ג|י|ט|א|
a|s:h|r:a|f|	א|ש|ר|ף|
j|a|n|s:s|e|n|s|	י|א|נ|ס|י|נ|ס|
m|a|z|a|r|i|n|	מ|א|ז|א|ר|י|ן|
s:h|a|k|i|r|a|	ש|א|ק|י|ר|א|
