G|i|b|r|a|l|t|á|r:i|	G|i|b|r|a|l|t|a|r|
L|o|r|a|t|a|d|i|n|	L|o|r|a|t|a|d|i|n:e|
Z|o|o|f|í|l|i|a|	Z|o|o|p:h|i|l|i|a|
O|k|t|á|n|s|	O|c|t|a|n|s|
K|o|n|i|g|s|t|u|h|l|	K|ö|n|i|g|s|t|u|h|l|
G|e|r|m|a|n:i|a|	G|e|r|m|a|n|i:c|
U|g|a|n|d|a:i|–|t|a|n|z|á|n|i|a:i|	U|g|a|n|d|a|–|T|a|n|z|a|n|i|a|
S|o|l|d|i|n:i|	S|o|l|d|i|n|
A|s|t|a|r|t|é|	A|s|t|a|r|t|e|
D|e|x|e|t|i|m|i|d|	D|e|x|e|t|i|m|i|d:e|
B|a|r|k|a|	B|ô|r|k|a|
G|e|r|o|n|a|	G|i|r|o|n|a|
S|p|e|c|i|á:l|i:s|	S|p|e|c|i|a|l|
P|e|k|e|l|n|i|k|	P:i|e|k:i|e|l|n|i|k|
m|o|n|a|c|ó:i|	M|o|n|a|c|o|
K|o|l|u|m|b|u|s:z|	C|o|l|u|m|b|u|s|
B|a|n|g|	B|à|n|g|
O|l|á|h|	O|l|a|h|
H|ó|e|i|	H|ō|e|i|
P|a|l|e|o|c|é|n|	P|a|l|e|o|c|e|n:e|
T|ü|r|k|m|é|n|	T|u|r|k|m|e|n|
A|z|ú|r|	A|z|u|r:e|
H|i|e|r|a|p|o|l|i|s:z|	H|i|e|r|a|p|o|l|i|s|
B|a|h|r|e|i|n|i|	B|a|h|r|a|i|n|i|
f|u|l|m|i|n|á|t|	f|u|l|m|i|n|a|t:e|
L|u|t|h|e|r|á:n|u:s|	L|u|t|h|e|r|a|n|
M|e|z|a|o|r|i|a|	M|e|s|a|o|r|i|a|
R|a|f|f|i|n|ó|z|	R|a|f|f|i|n|o|s:e|
Z|é|l|a|n|d|	Z|e:a|l|a|n|d|
V|á|k|u|u|m|	V|a|c|u|u|m|
U|b|o|r|t:y|	U|b|o|r|t|
C|u|z|c|o|	C|u|s|c|o|
v|i|a|d|u|k|t|	v|i|a|d|u|c|t|
K|o|m|n|é|n|é|	K|o|m|n|e|n|e|
I|n|t|o|l|e|r|a|n|c|i:a|	I|n|t|o|l|e|r|a|n|c|e|
E|p|i|g|o|n:e|i|o|n|	E|p|i|g|o|n|i|o|n|
K|a|l|i|f|o|r|n|i|a:i|	C|a|l|i|f|o|r|n|i|a|
S|t|e|f|a|n|o|v|i|ć|	S|t|e|v|a|n|o|v|i|ć|
I|r|é|n|e|u|s|z|	I|r|e|n|e|u|s|z|
A|n|n|u|n|c|i|á|t|a|	A|n|n|u|n|c|i|a|t|a|
l|á|m|a|	L|a|m|a|
B|o|t|o|s|á|n|	B|o|t|o|ș|a|n:i|
H|a|k|o|d|a|t|e:i|	H|a|k|o|d|a|t|e|
S|u|r|j|á|n|	Š|u|r|j|a|n|
U|n|i|k|r|o|n|	U|n|i|c|r|o|n|
B|a|k|t|r|i|a|	B|a|c|t|r|i|a|
b|a|e|r:i|	B|a|e|r|
C|h|a|t|t|e|r|l|e|y|	C|h|a|t|t|e|r|l|e:y|':s|
M|e|t|a|b|o|l|o|m|i|k|a|	M|e|t|a|b|o|l|o|m|i|c|s|
G|l|a|d|i|á|t|o|r|	G|l|a|d|i|a|t|o|r|
M|e|t|i|r|o|z|i|n|	M|e|t|i|r|o|s|i|n:e|
K|a|l|i|f|o|r|n|i|u|m|	C|a|l|i|f|o|r|n|i|u|m|
M|i|t|h|r|i|d|a|t|e:s|	M|i|t|h|r|i|d|a|t|e|
N|o|f|e|r|h|o|t|e|p|e|s:z|	N|e|f|e|r|h|e|t|e|p|e|s|
T|a|i|z|é:i|	T|a|i|z|é|
Z|a|f|i|r|l|u|k|a|s|z:t|	Z|a|f|i|r|l|u|k|a|s|t|
B|o|d|h|i|s:z|a|t|t|v|á|k|	b|o|d|h|i|s|a|t|t|v|a|s|
O|t|a|v|i|t|	O|t|a|v|i|t:e|
B|e|n|u|e|	B|e|n|u|é|
J|ó|z|e|f|	J|o|s|e|f|
K|a|p|e|t|á|n|o|s:z|	K|a|p|e|t|a|n|o|s|
c|i|g|a|r|e|t|t|a|	c|i|g|a|r|e|t|t|e|
T|a|t|a:i|	T|a|t|a|
g|e|k|k|ó|	G|e|k|k|o|
G|á|v|d|o|s:z|	G|a|v|d|o|s|
K|a|r|v|a|k|r|o|l|	C|a|r|v|a|c|r|o|l|
f|u|m|a|r|á|t|	f|u|m|a|r|a|t:e|
M|n|a|s:z|e|a|s:z|	M|n|a|s|e|a|s|
V|e|g|e|t|á|r|i|u:s|	V|e|g|e|t|a|r|i:a|n|
o|c|e|l|l|a|t|u:s|	O|c|e|l|l|a|t:e|d|
m|e|n|d|e|l|é|v|i|u|m|	m|e|n|d|e|l|e|v|i|u|m|
L|u|d|w|i|g|s|b|u|r|g:i|	L|u|d|w|i|g|s|b|u|r|g|
L|i|v|e|	L|i|v|e:!|
M|u|t|ó|	M|u|t|o:u|
M|u|t|ó|	M|u|t|o:h|
C|h|á|b|á|d|	C|h|a|b|a|d|
N|a|d|r|á|g|	N|ă|d|r|a|g|
T|a|s|m|á|n|i|a|i|	T|a|s|m|a|n|i|a|n|
K|r|i|v|a|	K|r|i|v|á|
U|n|d|u|l|i|p|ó|d|i|u|m|	U|n|d|u|l|i|p|o|d|i|u|m|
M|o|n|g|ó|l|i|a|	M|o|n|g|o|l|i|a|
M|a|t|ú|s|z|i|s:z|	M|a|t|u|s|s|i|s|
D|o|d|e|c|i|l|	D|o|d|e|c|y|l|
M|e|n|á|h|e|m|	M|e|n|a|h|e|m|
I|b|b|í|	I|b|b|i|
K|a|i|s|e|r|s|l|a|u|t|e|r|n:i|	K|a|i|s|e|r|s|l|a|u|t|e|r|n|
P|a|n|k|i|s:z|i|	P|a|n|k|i|s|i|
J|á|d|e|	J|a|d|e|
K|ó|r|ó|d|y|	K|o|r|o|d|y|
r|a|z|b|ó|r|a|	r|a|s|b|o|r|a|
M|e|t|z:i|	M|e|t|z|
M|a|i|r|a|	M|a|e|r|a|
S|o|b|i|b|ó|r:i|	S|o|b|i|b|ó|r|
M|u|r|á|d|	M|u|r|a|d|
L|e|p|i|d|o|l|i|t|	L|e|p|i|d|o|l|i|t:e|
D|o|c|t|r|i|n|a:e|	D|o|c|t|r|i|n|e|
P|r|a|g|m|a|t|i|c:a|	P|r|a|g|m|a|t|i|c|
I|n|t|r|a|c|e|l|l|u|l|á:r|i:s|	I|n|t|r|a|c|e|l|l|u|l|a|r|
V|i|t|a|n|o|v|a|	V|i|t|a|n|o|v|á|
K|a|r|l|s|r|u|h|e:i|	K|a|r|l|s|r|u|h|e|
F|r|a|k|t|ú|r|	F|r|a|k|t|u|r|
N|e|m|e|z|i|s|	N|e|m|e|s|i|s|
S|z|a|b|ó|	S|z|a|b|o|
L|a|o|n:i|	L|a|o|n|
Š|l|e|h|a|č|k|o|v|á|	Š|ľ|a|h|a|č|k|o|v|á|
K|i|b|l|a|	Q|i|b|l|a|
P|a|l|m|ü|r|a|	P|a|l|m|y|r|a|
L|e|o|n|t|i|o|s:z|	L|e|o|n|t|i|o|s|
B|i|e|n|n|á|l|e|	B|i|e|n|n|a|l|e|
N|o|f|e|r|u|p|t|a|h|	N|e|f|e|r|u|p|t|a|h|
k|r|i|p|t|o|n|	k|r|y|p|t|o|n|
J|á|l|i|c|s|	J|a|l|i|c|s|
A|l|g|é|r|i|a:i|	A|l|g|e|r|i|a|
A|m|e|n|m|e|s|s:z|e|	A|m|e|n|m|e|s|s|e|
A|u|g|m|e|n:t|u:m|	A|u|g|m|e|n|t|
A|m|a|l|a|r|i|c:h|	A|m|a|l|a|r|i|c|
R|u|b|i|n|s|t|e|j|n|	R|u|b|i|n|s|t|e|i|n|
T|e|l|o|m|e|r|	T|e|l|o|m|e|r:e|
S|t|a|b|i|l|i|t|á:s|	S|t|a|b|i|l|i|t|y|
A|n|t|i|g|o|n|o:s|z|	A|n|t|i|g|o|n|u|s|
B|u|d|d|h|a|c|s:a|r|i|t|a|	B|u|d|d|h|a|c|a|r|i|t|a|
M|e|r|i|t|i|t|e|s:z|	M|e|r|i|t|i|t|e|s|
E|p|i|g|r|a:m|m:a|	E|p|i|g|r|a|m|
T|é|v|e|z|	T|e|v|e|z|
T|u|l|a|r|é|m|i|a|	T|u|l|a|r|e|m|i|a|
M|a|t|r|ú|h|	M|a|t|r|u|h|
S|á|b|a|	S|a|b|a|
B|r|á|d|	B|r|a|d|
O|x|k|a|r|b|a|z|e|p|i|n|	O|x|c|a|r|b|a|z|e|p|i|n:e|
h|i|m|n|u|s|z:a|	H|i|m|n|u|s|z|
m|a|n|d|a:l|á:j|a|	M|a|n|d|a|l|a|
b|r|o|n|g|e|r|s|m|a|i|	B|r|o|n|g|e|r|s|m|a|':s|
K|á|r|p|á|t|h|o|s:z|	K|a|r|p|a|t|h|o|s|
K|r|a|k|l|i|n|g|b|o|	K|r|ä|k|l|i|n|g|b|o|
M|u|f|l|o|n|	M|o:u|f|l|o|n|
C|s|í|k|s|z|e|r|e|d|a:i|	C|s|í|k|s|z|e|r|e|d|a|
I|z|t|a|c|c|í|h|u|a|t|l|	I|z|t|a|c|c|i|h|u|a|t|l|
c|a|m|p|b|e|l|l|i|	C|a|m|p|b|e|l|l|':s|
s|t|e|i|n|i|t|z|i|	S|t|e|i|n|i|t|z|':s|
G|i|n|z|e|n|g|	G|i|n|s|e|n|g|
B|u|r|á|k|	B|u|r|a|q|
Ó|b|u|d|a:i|	Ó|b|u|d|a|
S|a|n|t|o|n|i|	S|a|n|t|o|n:i|a:n|
S|e|l|v|a|	S|ë|l|v|a|
H|i|p|p|o|l|i|t|a|	H|i|p|p|o|l|y|t|e|
L|o|t|f|o|l|l|á|h|	L|o|t|f|o|l|l|a|h|
U|n|b|i|k|v:a|d|i|u|m|	U|n|b|i|q:u|a|d|i|u|m|
P|i|e|r|s|o|n|	P|i|e|r|s|o:n|':s|
L|a|u|e|n|b|u|r|g:i|	L|a|u|e|n|b|u|r|g|
P|e|l|l|a:i|	P|e|l|l|a|
A|k|á|c|i|a|	A|c|a|c|i|a|
T|a|r|a|w|a:i|	T|a|r|a|w|a|
C|i|k|l|o|t|e|t|r|a|d|e|k|a|h|e|p|t|a|é|n|	C|y|c|l|o|t|e|t|r|a|d|e|c|a|h|e|p|t|a|e|n:e|
B|o|n|o|b|ó|	B|o|n|o|b|o|
d|ű|n|e|	D|u|n|e|
D|i|o|p|h|a|n|t|o:s|z|	D|i|o|p|h|a|n|t|u|s|
f|l|a|m|i|n|g|ó|	f|l|a|m|i|n|g|o|
A|t|r|e|b|a|t|e:s|e:k|	A|t|r|e|b|a|t|e|s|
O|x|i|m|o|r|o|n|	O|x|y|m|o|r|o|n|
M|e|z|ő|k|ö|v|e|s|d|	M|e|z|ő|k|ö|v|e|s|d:i|
T|o|r|n|á|d|ó|	T|o|r|n|a|d|o|
o|t|r|a|n|t|ó:i|	O|t|r|a|n|t|o|
S|p|h|e|n|o|p|e|t|r|o|z|á:l|i:s|	S|p|h|e|n|o|p|e|t|r|o|s|a|l|
I|z|o|i|n|d|é|n|	I|s|o|i|n|d|e|n:e|
A|r|g|ó|	A|r|g|o|
O|x|i|d|a|t|í|v|	O|x|i|d|a|t|i|v:e|
H|o|h|e|n|f|r|i|e|d|b|e|r|g:i|	H|o|h|e|n|f|r|i|e|d|b|e|r|g|
r|a|d|i|a|l:e|	R|a|d|i|a|l|
A|n|g|o|s|z:t|u|r|a|	A|n|g|o|s|t|u|r|a|
b|e|n|g|á|z|i|	B|e|n|g:h|a|z|i|
B|r|o|m|é|l|i|a|f|é|l|é:k|	B|r|o|m|e|l|i|a|c|e|a|e|
Ö|r|l|e|y|	O|r|l|e|y|
n|o|r|m|á|l|	n|o|r|m|a|l|
N|a|l|o|x|o|n|	N|a|l|o|x|o|n:e|
M|a|r|e|n|g|ó:i|	M|a|r|e|n|g|o|
S|k|u|l|d|e|l|e|v:i|	S|k|u|l|d|e|l|e|v|
R|e|s|n|i|t|s|c|h|e|n|k|o|	R|e|z|n|i|t|s|c|h|e|n|k|o|
K|a|l|l|i|o|p|é|	C|a|l|l|i|o|p|e|
P|a|r|t|i|t|i|v|u:s|	P|a|r|t|i|t|i|v|e|
M|o|o|n|	M|o|o|n:e|
E|u|s|t|a|h|i|j|a|	E|u|s|t|a|h|i|j|e|
B|a|n|n|e|r|m|a|n|	B|a|n|n|e|r|m|a:n|':s|
O|n|g|a|l:i|	O|n|g|a|l|
P|h|i|l|i|n|o:s|z|	P|h|i|l|i|n|u|s|
S|t|e|ï|n|a|	S|t|e|i|n|a|
M|i|h|a|l|o|v|i|c:s|	M|i|h|a|l|o|v|i|ć|
A|b|á|d|	A|b|a|d|
L|e|n|i|n|g|r|á|d|	L|e|n|i|n|g|r|a|d|
M|e|r|i|d|i|á|n|	M|e|r|i|d|i|a|n|
J|e|f|f|e|r|s|o|n|é:k|	J|e|f|f|e|r|s|o|n|s|
K|a|m|a|l|a|s|í|l|a|	K|a|m|a|l|a|ś|ī|l|a|
B|e|l|g|a|	B|e|l|g|a:e|
G|r|a|n|u|l|i|t|	G|r|a|n|u|l|i|t:e|
M|a|r|t|i|n|e|s|d|	M|ă|r|t|i|n|e|ș|t:i|
p|e|n|t|a|b|r|o|m|i|d|	p|e|n|t|a|b|r|o|m|i|d:e|
K|ó|t|a|	K|o:u|t|a|
A|z|u|l|é|n|	A|z|u|l|e|n:e|
B|h|o|p|á|l|	B|h|o|p|a|l|
K|u|m|a|n|t|a|r|á|k|i|s:z|	K|o:u|m|a|n|t|a|r|a|k|i|s|
V|u|l|g|a|t|a|	V|u|l|g|a|t|e|
N|i|n|k|a|s:z|i|	N|i|n|k|a|s|i|
E|n|d|o|k|r|i|n|o|l|ó|g|i:a|	E|n|d|o|c|r|i|n|o|l|o|g|y|
T|h|e|o|d|o|r|i|k|	T|h|e|o|d|e|r|i|c|
F|u|l|f|o|r|d:i|	F|u|l|f|o|r|d|
H|a|l|á|b|o|r|	H|a|l|a|b|o|r|
J|a|m|e|s|o|n|	J|a|m|e|s|o:n|':s|
S|a|n|g|r|í|a|	S|a|n|g|r|i|a|
N|y|í|r|i|	N|y|i|r|i|
A|z|e|p|i|n|	A|z|e|p|i|n:e|
N|e|z|a|l|e|z|s|n|o|s:z|t:y|i|	N|e|z|a|l|e|z|h|n|o|s|t|i|
R|h|a|d|a|m|a|n|t|h|ü|s:z|	R|h|a|d|a|m|a|n|t|h|u|s|
N|y|m|b|u|r|k:i|	N|y|m|b|u|r|k|
a|l|u|m|í|n|i|u|m|	a|l|u|m|i|n|i|u|m|
A|n|t|i|o|p|é|	A|n|t|i|o|p|e|
N|e|u|c|h|â|t|e|l:i|	N|e|u|c|h|â|t|e|l|
P|a|r|e|n|c|h|i|m|a|	P|a|r|e|n|c|h|y|m|a|
P|e|r|t|u|r|b|á|c|i|ó|	P|e|r|t|u|r|b|a|t|i|o:n|
T|a|o|i|s|t:a|	T|a|o|i|s|t|
m|e|i|n|i|n|g|e|n:i|	M|e|i|n|i|n|g|e|n|
A|g|o|g|é|	A|g|o|g|e|
K|a|n|t|a|r|a:i|	K|a|n|t|a|r|a|
T|e|l|b|i|v|u|d|i|n|	T|e|l|b|i|v|u|d|i|n:e|
N|i|z|i|n|	N|i|s|i|n|
N|i|s|i|o|	N|i|s:h|i|o|
V|a|d|u|z:i|	V|a|d|u|z|
W|ü|t|h:e|r|i|c|h|	W|u|t|h|r|i|c|h|
m|a|u|r|i|t|á|n|i|a|i|	M|a|u|r|i|t|a|n|i|a|n|
R|a|w|a:i|	R|a|w|a|
Á|l|ó|n|	A|l|o|n|
D|i|v|á|n|	D|i|v|a|n|
P|o|l|i|m|e|r|	P|o|l|y|m|e|r|
M|e|d|á|r|d|	M|e|d|a|r|d|
P|l|u|t|ó|n|i|u|m|	P|l|u|t|o|n|i|u|m|
g|l|o|b|u|l|a|	g|l|o|b|u|l|e|
B|a|h|u|s|r|u|t|í|j|a|	B|a|h|u|ś|r|u|t|ī|y|a|
R|e|b|á|b|	R|e|b|a|b|
D|e|r|o|d|o|n|t|o:i|d|e|a|	D|e|r|o|d|o|n|t|i|d|a|e|
O|s|t|e|r|s|u|n|d|	Ö|s|t|e|r|s|u|n|d|
D|i|p|l|o|m|á|c|i:a|	D|i|p|l|o|m|a|c|y|
p|r|o|j|e|k|t|í|v|	p|r|o|j|e|c|t|i|v:e|
K|a|t|e|n|o|i|d|	C|a|t|e|n|o|i|d|
R|o|u|e|n:i|	R|o|u|e|n|
E|r|y|t|h|r|o|p|o|e|s|i|s|	E|r|y|t|h|r|o|p|o|i:e|s|i|s|
C|i|k|l|o|b|u|t|a|d|i|é|n|	C|y|c|l|o|b|u|t|a|d|i|e|n:e|
t|r|a|n|s:z|f|ó|b|i|a|	T|r|a|n|s|p:h|o|b|i|a|
G|é|z|e|r|	G|e|z|e|r|
P|a|p|r|i|k|á|s|	p|a|p|r|i|k|a|s:h|
H|a|m|i|l|t|o|n|	H|a|m|i|l|t|o:n|':s|
P|r|a|x|a|g|o|r|a|s:z|	P|r|a|x|a|g|o|r|a|s|
A|v|a|n|e|s|z:j|a|n|	A|v|a|n|e|s|y|a|n|
Á|n|a|n|d|a|	A|n|a|n|d|a|
L|a|z|o|f|o|x|i|f|e|n|	L|a|s|o|f|o|x|i|f|e|n:e|
B|e|l|o|o|z|e|r|ó:i|	B|e|l|o|o|z|e|r|o|
I|z|o|k|a|r|b|o|x|a|z|i|d|	I|s|o|c|a|r|b|o|x|a|z|i|d|
K|ó|	K|o|
G|o|n|z|ó|	G|o|n|z|o|
C|i|k|l|o|s|p|o|r|i|n|	C|i|c|l|o|s|p|o|r|i|n|
G|r|í|m|u|s:z|	G|r|i|m|u|s|
m|e|c|h|a|n|i|z|m:u|s|	m|e|c|h|a|n|i|s|m|s|
H|o|n|d|s|c|h|o|o|t|e:i|	H|o|n|d|s|c|h|o|o|t|e|
M|e|n|k|a|u|r|é|	M|e|n|k|a|u|r|e|
H|o|l|z|m|i|n|d|e|n:i|	H|o|l|z|m|i|n|d|e|n|
c|o|n|n|a|u|g|h|t:i|	C|o|n|n|a|u|g|h|t|
k|o|n|c|e|r|t|	C|o|n|c|e|r|t|
H|á|r|ú|n|	H|a|r|o:u|n|
B|a|r|l|á|m|	B|a|r|l:a|a|m|
L|á|p|o|s|	L|ă|p|u|ș|
M|e|t|a|l|l|o|c|é|n|	M|e|t|a|l|l|o|c|e|n:e|
B|é|r|a|	B|e:i|r|a|
K|u|c|o|r|a|	K|u|c|u|r|a|
k|a|l|c|i|u|m|	c|a|l|c|i|u|m|
M|e|t|r|o|n|i|d|a|z|o|l|	M|e|t|r|o|n|i|d|a|z|o|l:e|
N|i|k|á|b|	N|i|q|ā|b|
K|o|i|n|é|	K|o|i|n|e|
m|i|k|r|o|p|r|o|c|e|s|s:z|o|r|o:k|	m|i|c|r|o|p|r|o|c|e|s|s|o|r|s|
W|i|l|l|e|m|i|t|	W|i|l|l|e|m|i|t:e|
i|m|o|l|a:i|	I|m|o|l|a|
A|É|	A|E|
K|o|n|t|i|n|e|n|s|	C|o|n|t|i|n|e|n|t|
K|o|t|l|a|s:z|	K|o|t|l|a|s|
H|ó|n|e|n|	H|ō|n|e|n|
B|l|a|n|c|ó|	B|l|a|n|c|o|
Q|e|l|e|	Q|é|l|é|
H|i|p|p|o|k|r|a|t|é|s:z|	H|i|p|p|o|c|r|a|t|e|s|
s|u|p|e|r|i|o:r|i:s|	s|u|p|e|r|i|o|r|
m|e|n|t|a|l|i|s|t:a|	M|e|n|t|a|l|i|s|t|
h|e|r|m|e|n|e|u|t|i|k|a|	H|e|r|m|e|n|e|u|t|i|c|s|
P|a|r|a|f|í|l|i|a|	P|a|r|a|p:h|i|l|i|a|
H|a|n|d|a|n|o|v|i|č|	H|a|n|d|a|n|o|v|i|ć|
P|a|n|k|r|a|t|é|s:z|	P|a|n|c|r|a|t|e|s|
E|l|d|h|r|i|m|n|i|r|	E|l|d|h|r|í|m|n|i|r|
B|é|z|a|	B|e|z|a|
P|i|s|k|o|l|t|	P|i|ş|c|o|l|t|
M|a|r|i|n|a|	M|a|r|y|n|a|
M|a|l|á|l|a|	M|a|l|a|l|a|
L|u|i|t|p|o|l|d|i|n|g|	L|u|i|t|p|o|l|d|i|n|g:s|
F|i|l|o|m|é|n|a|	P:h|i|l|o|m|e|n|a|
K|o|n|n|e|k|t|o|g|r|a|m|	C|o|n|n|e|c|t|o|g|r|a|m|
K|o|b|i|l|i|n|	K|o|b|y|l|i|n|
T|o|r|b|i|n|s|z:k|i:j|	T|o|r|b|i|n|s|k|i|
Z|b|a|r|a|z|s|	Z|b|a|r|a|z|h|
L|á|r|n|a|k|a|	L|a|r|n|a|c|a|
P|a|l|á|n|k|a|	P|a|l|a|n|k|a|
A|l|e|k:s|a|n|d|e|r|	A|l|e|x|a|n|d|e|r|
F|r|o|n|t|o|e|t|h|m|o|i|d|á:l|i:s|	F|r|o|n|t|o|e|t|h|m|o|i|d|a|l|
O|n|t|o|l|ó|g|i|a|i|	O|n|t|o|l|o|g|i:c|a|l|
Z|á|g|r|á|b|	Z|a|g|r|e|b|
o|x|i|g|é|n|	o|x|y|g|e|n|
A|t|l|a|s:z|	A|t|l|a|s|
c|h|i|l|e:i|	C|h|i|l|e|
K|á|p|o|l|n|a:i|	K|á|p|o|l|n|a|
T|i|r|z|a|	T|i|r|z|a:h|
S|z|e|r|e|n|c|s:i|	S|z|e|r|e|n|c|s|
R|ö|n|t|g|e|n|i|u|m|	R|o:e|n|t|g|e|n|i|u|m|
P|h|i|l|a|g|r|i|o:s|z|	P|h|i|l|a|g|r|i|u|s|
E|p|h|i|a|l|t|é|s:z|	E|p|h|i|a|l|t|e|s|
I|r|a|k|i|	I|r|a|q|i|
V|ă|l|i|ş|o|a|r|a|	V|ă|l|i|ș|o|a|r|a|
K|o|l|d|i|n|g:i|	K|o|l|d|i|n|g|
P|r|i|n|c|i|p|a|t|u:s|	P|r|i|n|c|i|p|a|t|e|
Á|l|a|p|p|u|z|s|a|	A|l|a|p|p|u|z|h|a|
B|e|n|i|a|r|d|á|	B|e|n|i|a|r|d|à|
T|e|d|o|n|g|	T:a|e|d|o|n|g|
A|l|a|t|i|r|	A|l|a|t|y|r|
B|u|l|g|á|r:i|á:b|a|n|	B|u|l|g|a|r|i|a|n|
A|a|r|h|u|s:i|	A|a|r|h|u|s|
T|e|m|e|s|v|á|r:i|	T|e|m|e|ş|v|a|r|
j|ú|	j|u|
U|r|b|i|n|ó:i|	U|r|b|i|n|o|
O|n|á|n|	O|n|a|n|
N|a|g|y|a|t|á|d:i|	N|a|g|y|a|t|á|d|
J|ú|l|i|o|	J|u|l|i|o|
F|u|n|d|a|m|e|n|t|á:l|i:s|	F|u|n|d|a|m|e|n|t|a|l|
M|e|r|o|p|é|	M|e|r|o|p|e|
F|r|a|n|c|o|l|i:n|u:s|	F|r|a|n|c|o|l|i|n|
P|e|c|i|	P|e|ç|i|
B|u|s|p|i|r|o|n|	B|u|s|p|i|r|o|n:e|
A|r|u|b|a:i|	A|r|u|b|a|
M|u|ğ|a|n|	M|u|g:h|a|n|
N|o|r|b|o|r|n|á|n|	N|o|r|b|o|r|n|a|n:e|
P|e|m|m|i|k|á|n|	P|e|m|m|i|c|a|n|
T|e|w|k|e|s|b|u|r|y:i|	T|e|w|k|e|s|b|u|r|y|
A|l|u|m|í|n|i|u|m|	a|l|u|m|i|n|i|u|m|
D|i|u|r|n|a|l|i|t|á:s|	D|i|u|r|n|a|l|i|t|y|
I|l|i|ș|e|ș|t|i|	I|l|i|ş|e|ş|t|i|
A|r|b|o|r|é|t|u|m|	A|r|b|o|r|e|t|u|m|
N|a|n|d|r|á|s|	N|a|n|d|r|a|ž|
G|a|m|d|i|	G:h|a|m|d|i|
i|n|f|o|r|m|á|c|i|ó|s|	i|n|f|o|r|m|a|t|i|o|n|
P|á|l|í|t|á|n|á|	P|a|l|i|t|a|n|a|
K|é|p|h|a|	K|e|p|h|a|
F|l|u|e|r|a|ș|	F|l|u|e|r|a|ş|
B|o|l|i|k|h|a|m|s:z|a|j|	B|o|l|i|k|h|a|m|s|a|i|
D|u|m|é|r|i|l|	D|u|m|e|r|i:l|':s|
A|b|r|a|m|o|v|i|c|s|	A|b|r|a|m|o|v|i|c|h|
M|a|m|m|a|l|ó|g|i:a|	M|a|m|m|a|l|o|g|y|
F|e|l|b|a|m|á|t|	F|e|l|b|a|m|a|t:e|
R|e|z|a|i|a|n|	R|e|z|a:e|i|a|n|
N|o|f|e|r|t|i|t|i|	N|e|f|e|r|t|i|t|i|
D|i|a|c|e|t|i|l|	D|i|a|c|e|t|y|l|
K|a|m|r|u|s:z|e|p|a|	K|a|m|r|u|s|e|p|a|
G|r|a|v|e|t|t|i|	G|r|a|v|e|t|t:i|a:n|
A|ğ|d|a|m:i|	A|g|d|a|m|
D|i|n|a|m|é|t|e|r|	D|y|n|a|m|e|t|e|r|
P|r|e|m|e|t|r|ó|	p|r|e|m|e|t|r|o|
R|w|e|n|z|o|r|i|	R|u:w|e|n|z|o|r|i|
R|e|g|i|n|á|r|	R|e|g|i|n|a|r|
B|o|n|a|p|a|r|t|e|	B|o|n|a|p|a|r|t:e|':s|
B|a|d|e|n:i|	B|a|d|e|n|
A|k|a|d|é|m|o|s:z|	A|k|a|d|e|m|o|s|
B|á|n|k|a|	B|a|n|k|a|
G|e|l|l|é|r|t|	G|e|l|l|e|r|t|
É|r|i|g|o|n|é|	E|r|i|g|o|n|e|
K|a|g|y|ü|	K|a|g|y|u|
A|r|c|h|o|n|t|o|l|ó|g|i:a|	A|r|c|h|o|n|t|o|l|o|g|y|
A|t|t|r|i|b|ú|t|u:m|	A|t|t|r|i|b|u|t|e|
D|é|n|e|s|	D|e|n|i|s|
M|a|r|t|i|n:o|	M|a|r|t|i|n|
K|a|l|m|a|r:i|	K|a|l|m|a|r|
w|e|s|s|e|x:i|	W|e|s|s|e|x|
F|u|l|k:o|	F|u|l|k|
M|i|l|l|m|a|n|	M|i|l|l|m|a:n|':s|
C|a|r|n|u|t|e:s|e:k|	C|a|r|n|u|t|e|s|
Ú|j|p|e|s|t:i|	Ú|j|p|e|s|t|
G|a|m|b|i|a:i|	G|a|m|b|i|a|
a|x|i|ó|m:a|	a|x|i|o|m|
B|o|m|b|a:i|	B|o|m|b|a|
B|e|n|k|ö|	B|e|n|k|ő|
K|o|n|t|i|n|e|n|t|á:l|i:s|	C|o|n|t|i|n|e|n|t|a|l|
N|s|i|m|a|l|e|n:i|	N|s|i|m|a|l|e|n|
A|r|i|s|t|í|z|a|b|a|l|	A|r|i|s|t|i|z|á|b|a|l|
b|i|t|h|ü|n|i|a:i|	B|i|t|h|y|n|i|a|
X|á|n|t|u|s|	X|a|n|t|u|s|
N|i|b|e|l|u|n|g|o:k|	N|i|b|e|l|u|n|g:e|n|
I|p|r|i|f|l|a|v|o|n|	I|p|r|i|f|l|a|v|o|n:e|
m|e|s|t|e|r|	M|e|i:s|t|e|r|
u|l|t|r|a|m|a|r|a|t|o|n|	U|l|t|r|a|m|a|r|a|t:h|o|n|
M|á|g|a|d|h|i|	M|a|g|a|d|h|i|
t|y|m|p|a|n|i:c|u:s|	t|y|m|p|a|n|i|c|
A|t|i|r|a|u|	A|t|y|r|a|u|
K|i|m|o|n|ó|	K|i|m|o|n|o|
P|o|d|l|a|s|i|e:i|	P|o|d|l|a|s|k:i|e|
m|a|r|i|o|l|ó|g|i:a|	M|a|r|i|o|l|o|g|y|
B|e|l|l|a|r|m|i|n|	B|e|l|l|a|r|m|i|n:e|
Z|e|i|t|o|u|n:i|	Z|e|i|t|o|u|n|
