द|	t:h:e|
च|ं|द:्:र|श|े|ख|र|	C:h:a|n|d:r|a:s:h|e|k:h|a:r|
ट|े:ल|र|	t|a:i:l|o:r|
ह|र|ी|न|ा|र|ा|य:ण|	H|a:r|i|n|a|r|a|y:a:n|
आ|प|ट|े|	A|p|t|e|
प|े|प|र|	p|a|p|e:r|
म|ि|ल|्:फ|ो|र:्:ड|	M|i|l|f|o|r:d|
ह|ै|व|न|	h|a|v|e:n|
ओ|क|्:ल|ा|ह|ो|म|ा|	O|k|l|a|h|o|m|a|
प:्:र|ी|स:्:ट|ल|े|	P:r|i:e|s:t|l|e:y|
र|े|न|े|स|ा:न:्|स|	R|e|n:a|i:s|s|a:n|c:e|
स|द|ा|ग|ो|प|्:प|न|	S:a|d|a|g|o|p|p|a:n|
श|फ|ी|उ:द:्|द|ी|न|	S:h:a|f|i|u:d|d|i|n|
स:्:ट|र|्:ल|ि|ं|ग|	s:t|e:r|l|i|n|g|
थ|ो|र|ा|र|ि|ं|स|न|	T:h|o|r|a|r|i|n|s:s|o:n|
प|ि|ट|्:स|ब|र|्:ग|	P|i|t:t|s|b:u|r|g|
म|े|थ|ु|स|े|ल|ा|ह|	M|e|t:h|u|s|e|l|a|h|
म|ा:उ|स|	m:o|u|s:e|
र|ा|ज|े:न:्|द:्|र|	R|a|j|e:n|d|r:a|
भ|ट|न|ा|ग|र|	B:h:a|t|n|a|g|a:r|
त:्:र|ि|न|ि|द|ा|द|	T:r|i|n|i|d|a|d|
ट|ो|ब|ॅ|ग|ो|	T|o|b|a|g|o|
प|्:र:ि|स:‍:ि|ज़|न|	p|r:e|c:i|s|i:o:n|
क|ॉ|र|व|े|ट|	C|o|r|v|e|t:t:e|
न|ॉ:ट|ि|ं|ग|ह|ॅ|म|	N|o:t:t|i|n|g|h|a|m|
म|ि|ड|ल|ै|ं|ड|्:‍:स|	M|i|d|l|a|n|d|s|
अ:ल:्|म|ी|र|े|ं:ट|	A:l|m|i|r|a|n:t:e|
ल|े|ट|ौ|र|	L|a|t|o|r:r:e|
ब|ॉ:न:्|स|े:ल|े|स|	B|o:n|c|e:l:l|e|s|
ब|्:र|े|क|व|ॉ|ट|र|	b|r|e|a:k|w|a|t|e:r|
स|े|ं|च:्:य|ु|र|ी|	c|e|n|t|u|r|y|
स|ं|ग|ब|द|	S:a|n|g|b|a:d|
क:्|र:ा:उ|न|ह|ि|ल|	C|r:o|w:n|h|i|l:l|
ड|ा|र|्:ट|म|ा:उ|थ|	D|a|r|t|m:o|u|t:h|
ड|्:र:े|क:्:स|ि|स|	D|r:a|x|i|s|
ह:े|ल:्|थ|	h:e:a|l|t:h|
अ:र:्|ज़|र|ज:़|ो|ग|	E:r|z|h:e:r|z|o|g|
क|ा|र|्:ल|	K|a|r|l|
फ|क:र|ू|द|्:द:ी|न|	F:a|k:h:r|u|d|d:i|n|
इ|र|ा|क|ी|	I|r|a|q|i|
म|ा|ल|्:क|	M|a|l|k|
क:्:र|ु:क|	c:r|o:o:k|
ल|ै|ं|ड|ग|ा|र|्:ड|	L|a|n|d|g|u|a:r|d|
म|ो|स|ा|द|्:द:े|क|	M|o|s|a|d|d:e|k|
प|ि:क|ल|क|ो|म:्|ब|	P|i:c:k|l:e|c|o|m|b:e|
र|ा|ज|ि:न:्|द:्|र|	R|a|j|i:n|d|r:a|
ध|न|र|ा|ज|	D:h:a|n|r|a|j|
र|ै|न|ब:ै:क|्:स:ी|	R|a|n|b:a|x:y|
स:्:प|ि|ट|ब|ै|ं|क|	S:p|i|t|b|a|n|k|
स|ू|र|्:य:ा|न|ा|र|	S|u|r|y:a|n|a|r|
क|ो|य:ी:ल|	K|o|i:l|
य|ि|ट|्:ज:़|ह|ॅ|क|	Y|i|t|z|h|a|k|
क|र|ु:ण|क|ल|ा|ग|े|	K:a|r|u:n:a|k|a:l|a|g|e|
फ|ो|ट|ो|ग:्:र|ा|फ|ी|	p:h|o|t|o|g:r|a|p:h|y|
ल|ो|म|ो|न|ो|स|ो|व|	L|o|m|o|n|o|s|o|v|
ट:र:्|न|ट|े|क:्:स|	T:u|n|t|e|x|
ग|व|र:्:न|म|े|ं|ट|	g|o:v:e|r:n|m|e|n|t|
ह|ा|य|र|	h|i|g|h:e:r|
स|े|क|ं:ड|र|ी|	s|e|c|o:n:d|a:r|y|
थ|‍:ि|र|ु|व|न|ं:त|प|ु|र|म|	T:h|i|r|u|v|a:n|a:n:t|h:a:p|u|r|a:m|
फ:़|े:ड|र|े:ट|े:ड|	F:d:e|d|e:r|a:t:e|d|
ड|े|प|्:ट|	d|e|p|t|
स:्:ट|ो|र|	s:t|o|r|
क|ो|इ|म|्:ब|ट|ू:र|	C|o|i|m|b|a:t|o:r:e|
क|ै|म|्:ब|्:र|ि|ज|	C|a|m|b|r|i|d:g:e|
ए:क|ो|म|ो:ड|े:श|न|	a:c:c|o|m|m:o:d|a:t:i|o:n|
अ:ल:्|फ:़:्|र|े|ड|	A:l|f|r|e|d|
ट|े|न|ी|स|न|	T|e|n:n|i|s|o:n|
ए|न|्:ड|्:र|ी:य:ा|	A|n|d|r|e:a|
ब|र|ा|इ|ग:्:र|ा|म|	B:a|r|a|i|g:r|a|m|
स|े|र|व|ै|न|ट|े|स|	C|e|r|v|a|n|t|e|s|
च:ा|ल|ी|स|ग|ा:ं:व|	C:h:a|l|i|s|g:a|o:n|
छ|ि|ं|द|व|ा|ड:़|ा|	C:h:h|i|n|d|w|a|r|a|
द|ि|ल|द|ा|र|न|ग|र|	D|i|l|d|a|r|n:a|g|a:r|
ई|स:्:ट|ब:ॉ|र:्|न|	E:a|s:t|b:o:u|r|n:e|
र|ी:ड|ा:उ|ट|	R|e:d:o|u|b:t|
ए:क:्|स|ी|ल|े|ं|ट|	e:x|c|e|l:l|e|n|t|
ग|्:ल|ो|र|ी|	g|l|o|r|y|
ग|ु|द|ी|व|ा|ड:़|ा|	G|u|d|i|v|a|d|a|
ल|ै:ं:ग|स:्:ट|ो|न|	L:a|n:g|s:t|o|n:e|
र|ि:ड|ा:उ|ट|	R|e:d:o|u|b:t|
न|ा|थ|द:्:व|ा|र|ा|	N|a|t:h|d:w|a|r|a|
न|े|व|ा|न|ल|ि|न|ा|	N|e|v|a|n|l|i|n:n|a|
न|्:य:ू|ड|ि|ग|े:ट|	N|e:w|d|i|g|a:t:e|
स|ो|ड|े|क:्:ज|़|ो|	S|o|d|e|x|h|o|
अ|ल|ा:य|ं:स|	A|l|l:i:a|n:c:e|
व|ा|य|र|े|ग|ि:य:ो|	V|i|a|r|e|g:g|i:o|
ब:्:र|े|व|ा|र:्:ड|	B:r|e|v|a|r:d|
व|र:्|श|ि|प|	w:o|r|s:h|i|p|
ए|ल|ी|ज:़|ा|ब|े|थ|	E|l|i|z|a|b|e|t:h|
क:्:ल|े|य|र|	C:l|a|i|r|
प:्:र|ो|फ|़|े|ट|	P:r|o|p|h|e|t|
फ|्:र:ै|ं|ज|	F|r:a|n|z|
फ|र|्:ड|ि|न|ा|ं|ड|	F|e:r|d|i|n|a|n|d|
अ|र|्:ग|ो|न|ि:य:ा|	A|r|g|o|n|i:a|
फ:्|र|े|ं|ड|स|	f|r:i|e|n|d|s|
ए|र|ी|स:्:ट|ो|ट|ल|	A|r|i|s:t|o|t|l:e|
ओ|न|ा|स|ि|‍:स|	O|n|a|s:s|i|s|
अ|र:्:क|न|्:स|ा|स|	A|r:k|a:n|s|a|s|
ट|्:र:ै|व|ल|र|	t|r:a|v:e|l|e:r|
फ|क|र|ू|द|्:द:ी|न|	F:a|a:k|h:r|u|d|d:i|n|
ग|ं:ज|श|ा|क|र|	G|a:n:j|s:h|a|k|a:r|
त|ा:र:ा|म|त|ी|	T:a|r:a|m|a:t|i|
प:्:र|ि|ं|स|ि|प|े|	P:r|i|n|c|i|p|e|
अ|म|ा|ड|ि:य:ो|	A|m|a|d|e:o|
स|ि|व|न:ा:र|ा|य|न|	S|e|w|n:a|r|i|n:e|
च:ै|ट|र|ग|ू|न|	C:h:a|t:t:e|r|g|o:o|n|
ब:्:र|ु:क|ल|‍:ि:न|	B:r|o:o:k|l|y:n|
फ:़:्|ल|ो|र|े|ं:स|	F|l|o|r|e|n:c:e|
न|ा:इ|ट|े|ं:ग|ल|	N|i:g:h|t|i|n:g:a|l:e|
क|र|ि:य:ा|क|ो|इ|ल|	K:a|r|i:a|k|o|i|l|
प|र|म|ब|ि|क|ु|ल|म|	P|a:r|a:m|b|i|k|u|l|a:m|
प:्:र|ो:ग|े:स|ि|व|	p:r|o:g:r|e:s:s|i|v:e|
र|ा|ष|्:ट|्:र|ी|य|	R|a|s:h|t|r|i|y:a|
स|ि|द:्|ध|ा|म|ल|ी|	S|i|d|d:h|a|m:a|l:l|i|
स:्:प|े|ट|्:स|े|स|	S:p|e|t|s|e|s|
म|ॉ:न:्|ट|श|ा:य|र|	M|o:n|t|s:h|i|r:e|
स|ा:इ|न:्|स|	s|c:i:e|n|c:e|
फ|्:ल|ो|र|‍:ि:न|ा|	F|l|o|r|i:n|a|
स:्:ट|ु|ड|‍:ि:य|ो|	s:t|u|d|i|o|
ह|ा|र|्:ल|े|न|	H|a|r|l|e|n|
ह|ु|ं|ट|े|र|ि|य|न|	H|u|n|t|e|r|i|a|n|
स|ॉ|क:्:र|े:ट|्:स|	S|o|c:r|a:t:e|s|
स:्|क|ल|्:प|च|र|	s|c:u|l|p|t|u:r:e|
म|ह:‍:ि|ं|द:्:र|ा|	M:a|h:i|n|d:r|a|
क:्:व|ी|ं|ट|ा|न|ा|	Q:u|i|n|t|a|n|a|
ल|ै|ं|ड|म|ा|र:्:क|	l|a|n|d|m|a|r:k|
ब|ु|ड|ा|प|े|स:्:ट|	B|u|d|a|p|e|s:t|
फ|े|र|ी|ह|ि|ग|्:य|	F|e|r|i|h|e|g|y|
ड|े|क|्:ट|्:र:ॉ|न|	D|e|c|t|r:o|n|
ऑ:र:्|च|र|्:ड|्:स|	o:r|c:h|a:r|d|s|
स:्:व|े|ं|स:्:क|ा|	S:v|e|n|s:k|a|
ए|क|ा|ड|े|म|ि|ं|स|	A|k|a|d|e|m|i|n|s|
न|ॉ|र|ड|ि|स:्:क|ा|	N|o|r|d|i|s:k|a|
प:्:र|ि|स|	p:r|i|s|
व|ि|म:ा:इ|क:्:र|ो|	V|i|m:i|c:r|o|
ई:ए:क|्:स:ए|फ:़:ओ|	E|X:F|O|
इ|ल|े|क|्:ट|्:र:ो|-|ऑ:प:्|ट|ि|क|ल|	e|l|e|c|t|r:o|-|o:p|t|i|c|a:l|
व|े:क|फ:़|ि|ल|्:ड|	W|a:k:e|f|i|e:l|d|
व:्:ह|ी|ल|च:े|य|र|	w:h|e:e|l|c:h:a|i|r|
ब|ा|स:्:क|े|ट|ब|ॉ:ल|	b|a|s:k|e|t|b|a:l:l|
व:ा:इ|ल:्|ड|व|ु:ड|	W:i|l|d:e|w|o:o:d|
क:्:र|ॉ:स|र|ो:ड|स|	c:r|o:s:s|r|o:a:d|s|
र|ै|ं|ड|ग|ो|ल:्:ड|	R|a|n|d|g|o|l:d|
म|त|्:स|ु|श|ि|त|ा|	M:a|t|s|u|s:h|i|t|a|
ए:ण:्|ड:्:र|य|ू|स|	A:n|d:r|e|w|s|
स:्|क:्:र|ि|प|्:ट|्:स|	s|c:r|i|p|t|s|
म|ै|क|क:्:व|े|र|ी|	M|a|c|q:u|a|r|i:e|
च|क|्:र|व|र|्:त:ी|	C:h:a|k|r|a:v|a:r|t:y|
र|ा|ज|ग|ो|प|ा|ल|ा|च|ा|र|ी|	R|a|j:a|g|o|p|a|l|a|c:h|a|r|i|
ग|्:र:ै|ं|ड|म|ा|स:्:ट|र|्:स|	g|r:a|n|d|m|a|s:t|e:r|s|
म|ु|क|ि|ल|्:ट|ी|ओ|	M|u|k|i|l|t|e|o|
प:्:र|े|स|्:ब|ि|ट|े|र|ि|अ|न|	P:r|e|s|b|y|t|e|r|i|a|n|
ग|ॉ|थ|े|न|ब|र:्|ग:-:ल|े|ं|ड|व|े|ट|र|	G|o|t:h|e|n|b:u|r|g:l|a|n|d|v|e|t:t:e|r|
आ|च|ा|र:्:य|न|ं:द|न|	A:a|c:h|a:a|r:y|a:n|a:n:d|a:n|
आ|च|ा|र:्:य|स|ु|त|ा|	A:a|c:h|a:a|r:y|a:s|u|t|a|
आ|च|ा|र:्:य|स|ु|त|ा|	A:a|c:h|a:a|r:y|a:s|u|t|a:a|
आ|च|ा|र|्:य:न|ं:द|न|	A:a|c:h|a|a:r|y:n|a:n:d|a:n|
आ|च|ा|र:्:य|स|ु|त|ा|	A:a|c:h|a:a|r:y|s|u|t|a|
आ|च|ा|र:्:य|स|ु|त|ा|	A:a|c:h|a|r:y|a:s|u|t|a|
आ|च|ा|र:्:य|स|ु|त|ा|	A:a|c:h|a|r:y|a:s|u|t|a:a|
आ|च|ा|र:्:य|न|ं:द|न|	A:a|c:h|a|r:y|n|a:n:d|a:n|
आ|द|ि|त:्:य|क|े|श|व|	A|a:d|i|t:y|a:k|e|s:h|a:v|
आ|द|ि|त:्:य|क|े|श|व|	A|a:d|i|t:y|k|e|s:h|a:v|
अ:ब:्|द|ु|ल|्:ल|ा|ह|	A:b|d|u|l|l|a|h|
अ:ब:्|ज|ि|न|ि|प|त|ि|	A:b|j|i|n|i|p|a:t|i|
आ|च|ा|र:्:य|स|ु|त|ा|	A|c:h|a|r:y|a:s|u|t|a|
आ|च|ा|र:्:य|स|ु|त|ा|	A|c:h|a|r:y|a:s|u|t|a:a|
आ|च|ा|र:्:य|न|ं:द|न|	A|c:h|a|r:y|n|a:n:d|a:n|
आ|च|ा|र:्:य|स|ु|त|ा|	A|c:h|a|r:y|s|u|t|a|
आ|च|ा|र:्:य|स|ु|त|ा|	A|c:h|a|r:y|s|u|t|a:a|
आ|द|ि|ल|क:्|ष|्:म|ण|	A|d|i|l:a|k|s:h|m|a:n|
आ|द|ि|त:्:य|न|ं:द|न|	A|d|i|t:y|a:n|a:n:d|a:n|
आ|द|ि|त:्:य|न|ं:द|न|	A|d|i|t:y|n|a:n:d|a:n|
ए|ड|म|ि:र:ै|ल|्:ट|ी|	A|d|m|i:r|a:l|t|y|
अ|ग|्:न|ि|क|ु|म|ा|र|	A|g|n|i|k|u|m|a|r|
अ|ल|े|क:्:ज|े|ं|ड|र|	A|l|e|x|a|n|d|e:r|
अ|म|ा|त|ु|ल|्:ल|ा|ह|	A|m|a|a:t|u|l|l|a|h|
अ|म|्:ब|ल|ि|य|ा|स|न|	A|m|b|l|i|y|a|s|a:n|
अ|म|ि|त|व|ि|क|्:र|म|	A|m|i|t|v|i|k|r|a:m|
आ|म|्:ल|ा|ख|ु|र:्:द|	A|m|l|a|k:h|u|r:d|
अ|न|ा|क|ा|प|ल|्:ल|े|	A|n|a|k|a|p|a:l|l|e|
ए:ण:्|ड|्:र:े|ल|ि|न|	A:n|d|r:a|l|y|n|
अ|न:्:न|प|ू|र|्:ण:ा|	A|n:n|a:p|o:o|r|n:a|
अ|न:्:न|प|ू|र|्:ण:ा|	A|n:n|a:p|u|r|n:a|
अ|न:्:न|प|ू|र:्:ण|ा|	A|n:n|a:p|u|r:n|a:a|
अ|ं|ट|ा|र|्|ट|ि|क|ा|	A|n|t|a|r|c|t|i|c|a|
अ|र|ि|ष|्:ट|न|े|म|ि|	A|r|i|s:h|t|a:n|e|m|i|
अ|र|ु|ण|प:्:र|ि|य|ा|	A|r|u|n|p:r|i|y|a|
अ|श|्:व|त|्:थ|ा:म:ा|	A|s:h|w|a:t|t:h:a|m:a|
ए|ट|्:ट|य:ू|न|ि|ट|ी|	A|t|t|u|n|i|t|y|
औ|व|ा|न|स:्|व|र|े|म|	A:u|v|a|n:e|s|w|a:r|e|m|
आ|व|ा|र|ा|ग|र|्:द:ी|	A|w|a|r|a|g|a:r|d:i|
अ|य|ो|ध|्:य:ा|प|त|ी|	A|y|o|d:h|y:a|p|a:t|i|
ब|ा|ह|ि|ल|प|ु|र|व|ा|	B|a|h|i|l|p|u|r|w|a|
ब|ह|ि|य|ु:द:्|द|ी|न|	B:a|h|i|y|u:d|e|e|n|
ब|ा|र|्:फ:्|ल|े|य|र|	B|a|r|f|l|e|u|r|
भ|ा|न|ु|प:्:र|स|ा|द|	B:h|a|n|u|p:r|a:s|a|d|
भ|्:र|ष|्:ट|ा|च|ा|र|	B:h|r|a:s:h|t|a|c:h|a|r|
भ|ू|प|ि|ं|द|र|प|ा|ल|	B:h|u|p|i|n|d|e:r|p|a|l|
ब|ा:इ|ज:ं|क|्:श|न:र|	B|i|j:u:n|c|t:i:o|n:o:r|
ब|ि|र|स|ि|ं:ह|प|ु|र|	B|i|r|s|i|n:g:h|p|u|r|
ब|ो|ल|ि|व|ि:य:ा|न|ो|	B|o|l|i|v|i:a|n|o|
ब:ं|ब|ा|र:्|ड:ि:य|र|	B:o:m|b|a|r|d:i|e:r|
ब:्:र|ह|्:म|च|ा|र|ी|	B:r|a:h|m|a:c:h|a|r|i|
ब:्:र|ज|े|न|्|द:्:र|	B:r|a:j|e|n|_|d:r|
ब:्:र|ा|ज:़|व|ि|ल|े|	B:r|a|z:z:a|v|i|l:l|e|
ब:्:र|े|ट|ा|ग|्:न|े|	B:r|e|t|a|g|n|e|
ब:्:र|ि|ज|स:्:ट|ो|न|	B:r|i|d:g:e|s:t|o|n:e|
ब|ु|ल|्:ग|ा|र|ि:य:ा|	B|u|l|g|a|r|i:a|
ब|्:य:ा|द|र|ा|ह|ल|ी|	B|y:a|d|a:r|a|h:a|l:l|i|
स|े|न|्:ट|्:र|ि|क|ा|	C|e|n|t|r|i|c|a|
च|ं|द:्:र|क|ि|श|ो:र|	C:h:a|n|d:r|a:k|i|s:h|o:r:e|
च:ि|न:्:न|ा|म|ल|ा|ई|	C:h:i|n:n|a|m|a:l|a|i|
च:ि|र|ा:य|ि|ं|क|ि|ल|	C:h:i|r:a|y|i|n|k|i|l|
च:ि|त:्:र|द|ु|र|्:ग|	C:h:i|t:r|a:d|u|r|g|
क|्|र|ि|स:्:ट|ी|न|ा|	C|h|r|i|s:t|i|n|a|
क|्|र|ि|स:्:ट|ो:फ|र|	C|h|r|i|s:t|o:p:h|e:r|
क:्:ल|े|र|म|ॉ:न:्|ट|	C:l|e|r|m|o:n|t|
क:्:ल|ट|र|ब|क|ग|ं:ज|	C:l|u:t:t|e:r|b|u:c:k|g|a:n:j|
क|ो|न:्:न|े|म|ा|र|ा|	C|o|n:n|e|m|a|r|a|
क|ो|र:्:न|े|ल|ि:य:ा|	C|o|r:n|e|l|i:a|
ड|ै:ं:ग|ो|आ|प|ो|स|ी|	D:a|n:g|o|a|p|o|s|i|
ड|े|म|ि:ट:्|र|ि:य:ा|	D|e|m|e:t|r|i:a|
ड|ि|म|े|ट:्|र:ि:य|स|	D|e|m|e|t|r:i|u:s|
ड|े|म|ो|क|्:र:े|ट|ी|	D|e|m|o|c|r:a|t|i:e|
ड|े|म|्:प|्:स|्:ट|र|	D|e|m|p|s|t|e:r|
द|े|श|ो|न:्:न|त|‍:ि|	D|e|s:h|o|n:n|a:t|i|
ड|े|ट|स:्|क|ल|ै|ं|ड|	d|e|u:t|s|c:h|l|a|n|d|
ड|ि|व|ा|स:्:ट|े:श|न|	d|e|v|a|s:t|a:t:i|o:n|
ड|ि|व|ा|स:्:ट|े|ट:र|	D|e|v|a|s:t|a|t:o:r|
द|े|व|ि|ं|द|र|प|ा|ल|	D|e|v|i|n|d|e:r|p|a|l|
द|े|व|ी|प:्:र|स|ा|द|	D|e|v|i|p:r|a:s|a|d|
ड|े|क:्:स|्:ट|्:र|ा|	D|e|x|t|r|a|
ड:ा:य|ो|न|ि|स|ि:य|स|	D:i|o|n|y|s|i|u:s|
द|ि|व|ा|न|ख|व|ा|त|ी|	D|i|w|a|n|k:h|a:v|a|t|i|
ड|ि|क:्:स|म|्:य:ू|ड|	D|i|x|m|u|d:e|
ड:्:र|ा|फ|्:ट|्:‍:स|	d:r|a|f|t|s|
ड|स|े|ल|ड|ॉ|र|्:फ:़|	D:u|e:s:s|e|l|d|o|r|f|
द|ु|न|ि|य|ा|द|ा|र|ी|	D|u|n|i|y|a|d|a|r|i|
द|ु|र|्:ग|ा|प|ु|र|ा|	D|u|r|g|a|p|u|r|a|
द:्:व|ा|र|क|ा|ग|ं:ज|	D:w|a|r|k|a|g|a:n:j|
ए|स|्:क:ो|न|ड|ि|ड|ो|	e|s|c:o|n|d|i|d|o|
य|ू|स:्:ट|े|स|ि:य:ा|	E|u|s:t|a|c|i:a|
इ|व|े|ं|ज|े|ल|ि:य:ा|	E|v|a|n|g|e|l|i:a|
ए|क:्:स|क|ै|ल|ि|ब|र|	E|x|c|a|l|i|b:u|r|
फ|ख|र|ु|न:्:न|ि|स|ा|	F:a|k:h|r|u|n:n|i|s|a|
फ|ो|र:्|ब|्:स|ग|ं:ज|	F|o|r|b:e|s|g|a:n:j|
फ|ो|र:्:म|ि|ड|े|ब|ल|	f|o|r:m|i|d|a|b|l:e|
फ:़|्:र:ै|ं|क|ल|ि|न|	F|r:a|n|k|l|i|n|
फ:़:्|र|े|ड|्:र|ि:क|	F|r|e|d:e|r|i:c:k|
फ:्:र|े|ड|र|ि|क|्:क|	F:r|e|d|e:r|i|c|k|
ग|ै|ड|ो|ल|ी|न|ि:य:म|	g|a|d|o|l|i|n:i|u:m|
ग|ै|स|्:क:ो|ग|्:न|े|	G|a|s|c:o|g|n|e|
ज:ा|र:्:ज|ि:य:ा|न|ा|	G:e:o|r:g|i:a|n:n|a|
घ:ो|ड:़|ग|ा:ँ:व|क|र|	G:h:o|d|g:a|o:n|k|a:r|
घ:ो|र|ा|ड|ो|ं|ग|र|ी|	G:h:o|r|a|d|o|n|g|r|i|
ज|्|य|ा:र:्|ज:ि:य|ो|	G|i|o|r|g:i|o|
ज:ि:य|ो|व|ा|न:्:न|ी|	G:i|o|v|a|n:n|i|
ग|ो|ल|्:ज:ा|म|ा|ट|ा|	G|o|l|j:a|m|a|t|a|
ग|ो|व|ि|ं|द|प|ु|र|ी|	G|o|v|i|n|d|p|u|r|i|
ग:्:र|ि|स|े|ल:्:ड|ा|	G:r|i|s|e|l:d|a|
ग:्:व|ा|ट|े|म|ा|ल|ा|	G:u|a|t|e|m|a|l|a|
ग:्:व|े|ं|ड|ो|ल|ि|न|	G:w|e|n|d|o|l|y|n|
ह|े|म|्:प|स:्:ट|े:ड|	H|e|m|p|s:t|e:a:d|
ह|ि|ं|द|ू|इ|ज:़|्:म|	H|i|n|d|u|i|s|m|
इ|ल|स|्:ट|्:र|ी|य:स|	i|l:l|u:s|t|r|i|o:u:s|
इ|म|प|्:ल|े|स|े|ब|ल|	i|m|p|l|a|c|a|b|l:e|
इ|ं|ड|ो|म|्:ट|े|ब|ल|	I|n|d|o|m:p|t|a|b|l:e|
इ|ं|ड|ो|न|े|श:ि:य|ा|	I|n|d|o|n|e|s:i|a|
इ|ं|द:्:र|क|र:्:म|ण|	I|n|d:r|a:k:a|r:m|a:n|
इ|न:्:द|ु|ल|े|क:्|ष|	I|n:d|u|l|e|k|s:h|
इ|ं|स|्:प|े:क:्|ट:र|	i|n|s|p|e:c|t:o:r|
ज|ो|ह|ा:ं|स:ब|र|्:ग|	J|o|h|a:n:n|e:s:b|u:r|g|
ज:्:व|ा|ल|ा|म|ु|ख|ी|	J:w|a|l|a|m|u|k:h|i|
क|ा|र:्:त|व|ी|र:्:य|	K:a|a|r:t|a:v|e:e|r:y|
क|ा|ब|ु|ल|ी|व|ा|ल|ा|	K|a|b|u|l|i|w|a|l|a|
क|ा|ल|ी|क|म|्:ब|ा|ल|	K|a|l|i|k|a:m|b|a|l|
क|म|ल|भ|ा|न|स|ि|ं|ह|	K:a|m|a:l|a:b:h|a|a:n|a:s|i|n|h|
क|न:्|ह|ै:य|ा|ल|ा|ल|	K:a|n|h|a:i:y|a|l|a|l|
क|न:्|ह|ै:य|ा|ल|ा|ल|	K|a:n:_|h|a:i:y|a|a:l|a|a:l|
क|ा|श|ी|प:्:र|स|ा|द|	K|a|s:h|i|p:r|a:s|a|d|
क|ी|र|्:त:ि|न|ा|श|ा|	K|i|r|t:i|n|a|s:h|a|
क|ि|स:्|म|त|व|ा|ल|ी|	K|i|s|m|a:t|w|a|l|i|
न|ॉ:क|्:ज:़|व|ि|ल|े|	K:n|o|x|v|i|l:l|e|
क|ो|प|र|ग|ा:ँ:व|क|र|	K|o|p|a:r|g:a|o:n|k|a:r|
क|ृ:ष|्:ण|क|ा|ं|त|ा|	K|r:i:s|h:n:a|k|a|n|t|a|
ल|ै|ब|ो|फ|़|ा|र:्:म|	L|a|b|o|p|h|a|r:m|
ल:ॉ|र|े|न:्:श|ि|य|न|	L:a:u|r|e|n:t|i|a|n|
ल|े|न|ि|न|ग|्:र:े|ड|	L|e|n|i|n|g|r:a|d|
ल:ि:य|ो|न|ा|र:्:ड|ो|	L:e|o|n|a|r:d|o|
ल:ि:ं|ग:ु:आ|र|ि|य|न|	L:i|g:u|r|i|a|n|
म|ै:ग:्|न|ि|श:ि:य|म|	m|a:g|n|e|s:i|u:m|
म|ह|ा|ब|ल|ी|प|ु|र|म|	M:a|h|a|b|a:l|i|p|u|r|a:m|
म|ह|ा|ल|क:्|ष|्:म:ी|	M:a|h|a|l:a|k|s:h|m:i|
म|ह|ा|र|ा|ष|्:ट:्|र|	M:a|h|a|r|a|s:h|t|r:a|
म|ॅ|न:्|च|े|स:्:ट|र|	M|a|n|c:h|e|s:t|e:r|
म|ा|र:्:क|ं|ड|े|य|ा|	M|a|r:k|a:n|d|e|y|a|
म|ॉ|र|ि|त|ा|न|ि:य:ा|	M:a|u|r|i|t|a|n|i:a|
म|े|ं|ड|ल|ी|व|ि:य:म|	m|e|n|d:e|l|e|v:i|u:m|
म|ी|स|ो|स:्|फ|ी:य|र|	m|e|s|o|s|p:h|e|r:e|
म|ि|र|्:ज:़|ा|प|ु|र|	M|i|r|z|a|p|u|r|
म|ॉ|ल|ि:ब:्|ड|े|न|म|	m|o|l|y:b|d|e|n|u:m|
म|ो|ं|ट|ग|ो|म|े|र|ी|	M|o|n|t|g|o|m|e|r|y|
म|ो|ज:़|ा|म|्:ब|ि|क|	M|o|z|a|m|b|i|k|
म|ु|त|ा|व|स|्:स|ि|त|	M|u|t|a|w:a|s|s|i|t|
म|ु|ज़:्:ज़|म|्:म:ि|ल|	M|u|z:z|a:m|m:i|l|
न|ा|न|ो|व|ा|ल|ि:य:ा|	N|a|n|o|w|a|l|i:a|
न|े|ब|्:र|ा|स:्:क|ा|	N|e|b|r|a|s:k|a|
न:ी:य|ो|ड|ि|म|ि:य|म|	n:e|o|d|y|m|i|u:m|
न|ि|त:्:य|ग|ो|प|ा|ल|	N|i|t:y|a:g|o|p|a|l|
न|ि|त:्:य|ा|न|न:्:द|	N|i|t:y|a|n:a|n:d|
न|ॉ:न:्|ग|क|्:र|े|म|	N|o:n|g|k|r|e|m|
न|ि:क|ल|ह|ा|र|्:प|ा|	n|y:c:k|e:l|h|a|r|p|a|
ओ|ं|क|ा|र|प:्:र|ी|त|	O|n|k|a|r|p:r|e:e|t|
उ:स:्|म|ा|न|ा|ब|ा|द|	o:s|m|a|n|a|b|a|d|
प|र|ि|क|्:य:ु|ट|ि|न|	P|a:r|i|c|u|t|i|n|
प|े|ट|ा|ग|ो|न|ि|य|न|	P|a|t|a|g|o|n|i|a|n|
प|े|ट:्:र|ो|ब|्:र|स|	P|e|t:r|o|b|r|Á:s|
फ|़|ि|ल|ी|प:ि|न|्:स|	P|h|i|l|i|p:p:i|n:e|s|
फ|ि|ज|ि:य:ो|ल|ॉ|ज|ी|	p:h|y|s|i:o|l|o|g|y|
