ก:ง|ต|์|,|	C:o:m|t|e|,|
ช|ะ:ช|ะ|ช|่:า|	C:h:a|◊:C:h|a|◊:C:h|a|
ช:ั:ว|ร|์|ต|ิ:ง|	S:u|r|e|◊:T:h|i:n:g|
ช:า|ร:์|ล|็:อ|ต|อ:า|ม|า|ล|ี|	C:h:a|r|l|o|t:t|e:◊:A|m|a|l|i:e|
ช:ิ|ก:เ:ก|น|เ:ท:อ|ร:์|บ|อ|ต|	C:h:i|c:k|e:n:◊|T:u|r|b|o|t|
ช|ี|น:ั|ต|	S:h|e:a|◊:N:u|t|
ช|ี|แ:ม|น|	S:h|e|◊:M:a|n|
ช|ู|ก|า|ร:์|บ|ี|ต|	S|u|g|a|r|◊:B|e:e|t|
ช|ู|ต|ต:ิ:้|ง|ส|ค|ร|ิ|ป|ต:์|	S:h|o|o|t:i|n:g:◊|S|c|r|i|p|t|
ช|ู:ว:์|อ:ิ|ง|ก|ั|ม|	C:h|e:w|i|n:g:◊|G|u|m|
ช|็:อ|ก|ก|ิ:ง|พ:ิ|ง:ก:์|	S:h|o|c|k|i:n:g|◊:P:i|n:k|
ช|็:อ|ก|ซ|ี|น|ี|ม:่:า|	S:h|o|c:k|◊:C|i|n|e|m:a|
ช|็:อ|ค|โ:ห:ล|ด|	S:h|o|c:k:◊|L:o|a:d|
ซ|อ|ฟ|ต:์|ด:ร|ิ|ง:ก:์|	S|o|f|t|◊:D:r|i|n:k|
ซ|อ|ย|า|บ|ี|น|	S|o|y|a|◊:B|e:a|n|
ซ|อ|ล|ต:์:เ|ล|ก|ซ|ิ|ต|ี|	S|a|l|t|◊:L|a:k:e|◊:C|i|t|y|
ซ|ั:น|ค|ร|ิ|ส|โ|ต|ว|ั|ล|	S|a:n:◊|C:h|r|i|s|t|o|v|a|l|
ซ|ั|น|ซ:ั|ล|ว|า|ด|อ|ร:์|	S|a|n|◊:S:a|l|v|a|d|o|r|
ซ|ั|น|ต:า|ม|อ|ร:า|	S|a|n|t:a:◊|M|o|u:r:a|
ซ|ั|น|ต|า|เ:ฟ|	S|a|n|t|a|◊:F:e|
ซ|ั|น|น|ี|ไ:ซ|ด:์|อ:ั|ป|	S|u|n|n|y|-:s:i|d:e:◊|U|p|
ซ|ั|ล|เ:ฟ:อ|ร:์|ด|ี:ไ|น|ท|ร|ิ|ฟ|า:ย|อ:ิ|ง|แ:บ|ค|ท|ี|เ:ร|ี|ย|	S|u|l|f:u|r|◊:D|e|n|i:t|r|i|f|y|i|n:g|◊:B:a|c|t|e|r|i|a|
ซ|ั|ล|เ:ฟ:อ|ร:์|แ:บ|ค|ท|ี|เ:ร|ี|ย|	S|u|l|f:u|r|◊:B:a|c|t|e|r|i|a|
ซ|า|ท|ิ|น|ส:ป|า|ร:์|	S|a|t|i|n|◊:S:p|a|r|
ซ|า|น|ต:า|แ:อ|น|น|า|	S|a|n|t:a:◊|A|n|n|a|
ซ|า|น|ม:า|ร|ี:โ|น|	S|a|n|◊:M:a|r|i|n:o|
ซ|า|น:ฮ|ว|น|	S|a|n:◊:J|u:a|n|
ซ|า|ล|ง|โ:ด|ต|อ:น|	S|a|l|i:n:◊|D:':a|u:t:o|m:n:e|
ซ|า|ว|น|ด:์|ป:ร|ู|๊|ฟ|	S|o|u|n|d|◊:P:r|o|o|f|
ซ|า|ว|น|ด|์:อ:ะ|เ:บ|า|ต:์|	S|o|u|n|d|◊:A|b|o:u|t|
ซ|า|ว|น|ด|์|เ:อ:ฟ|เ|ฟ|ก|ต:์|	S|o|u|n|d|◊|E|f|f:e|c|t|
ซ|า|ว|น|ด|์|แ:ท|ร|็:ก|	S|o|u|n|d|◊|T|r|a:c:k|
ซ|า|ว|น|ด|์|แ:ล:็|บ|	S|o|u|n|d|◊|L:a|b|
ซ|า|ว|ร:์|เ:ช|อ:ร:์|ร|ี|	S|o|u|r|◊:C:h|e:r|r|y|
ซ|า|อ:ุ|ด:ิ|อ:า|ร|ะ:เ:บ|ี|ย|	S|a|u|d:i:◊|A|r|a:b|i|a|
ซ|ิ|ก:ซ|ท:์|เ:ซ|น|ส|์|	S|i|x|t:h:◊|S|e:n|s|e|
ซ|ิ|ง|ก|์|เ:บ|ล|น|ด|์|	Z|i|n|c|◊|B|l:e|n|d|e|
ซ|ิ|ป|โ:ค|ด|	Z|i|p|◊:C:o|d:e|
ซ|ิ|ม|เ:น|ล|เ|ค|้:ก|	S|i|m|n|e|l|◊:C|a:k:e|
ซ|ิ|ล|ก|์|ส|ก|ร|ี|น|	S|i|l|k|◊|S|c|r|e:e|n|
ซ|ิ|ล|ิ|ค|อ|น|ค:า|ร:์:ไ|บ|ด|์|	S|i|l|i|c|o|n|◊:C:a|r|b|i:d|e|
ซ:ี|ก:ร|า|ส|	S:e:a|◊:G:r|a|s:s|
ซ|ี|ต|า|โ:พ|เ:ท|น|เ:ช|ี:ย|ล|	Z|e|t|a|◊:P:o|t|e:n|t|i|a:l|
ซ|ี|อ:ะ|เ:น|ม|อ|น|ี|	S|e:a:◊|A|n|e:m|o|n|e|
ซ:ี|เ:ก|ม|ส:์|	S:e:a|◊:G:a|m:e|s|
ซ|ี|เ:ท|ร:า|ต:์|	S|e:a:◊|T|r:o:u|t|
ซ:ี|เ:ล|ต|ท|ั|ซ|	S:e:a|◊:L:e|t|t|u|c:e|
ซ:ี|เ:อ:อ|ร:์|ช|ิ|น|	S:e:a|◊:U|r|c:h|i|n|
ซ|ี|แ:ฟ|ค|เ:ต|อ|ร:์|	C|◊|F|a:c|t|o|r|
ซ:ู|ม|เ:ล|น|ส:์|	Z:o:o|m|◊:L:e|n|s|
ซ:ู:เ|ป|อ:ร:์|ม:า|ร:์:เ|ก|ต|	S:u|p|e:r|◊:M:a|r|k:e|t|
ซ:ู:เ|ป|อ:ร:์|ส:ต|า|ร:์|	S:u|p|e:r|◊:S:t|a|r|
ซ:ู:เ|ป|อ:ร:์|แ:ม|น|	S:u|p|e:r|◊:M:a|n|
ซ:ู:เ|ป|อ:ร:์|ไ:ฮ|เ:ว|ย:์|	S:u|p:e|r:◊|H:i:g|h:w:a|y|
ด|ร|า:ย|แ|ก:๊:ส|ม|ิ:เ:ต|อ:ร:์|	D|r|y|◊:G|a:s|◊:M|e:t|e:r|
ด|ร|ิ|ง|ก|ิ:ง|ว:อ|เ:ต|อ:ร:์|	D|r|i|n|k|i:n:g|◊:W:a|t|e:r|
ด|ร|ี|ม|ท:ี|ม|	D|r|e|a:m:◊|T:e:a|m|
ด|ร|็:อ|ป|ส|โ:ก|น|	D|r|o|p:◊|S|c|o:n:e|
ด|ั|น|ด|ี|เ:ค|้:ก|	D|u|n|d|e:e:◊|C|a:k:e|
ด:ั|บ:เ:บ|ิ:ล|โ:ร|ล|	D:o:u|b|l:e:◊|R:o:l|l|
ด|า:ว|น|์|ซ:ิ:น|โ|ด|ร|ม|	D|o|w:n|◊|S:y|n|d|r:o|m:e|
ด|า|ว|โ:จ|น|ส:์|	D|o|w|◊:J:o|n:e|s|
ด|า|เ:อ|ส:ซ|า|ล|า|ม|	D|a|r:◊:E|s:◊:S|a|l|a:a|m|
ด|ิ|จ|ิ|ท|ั:ล|ค|อ|ม|พ:ิ:ว|เ:ต|อ:ร:์|	D|i|g|i|t|a:l:◊|C|o|m|p:u|t|e:r|
ด:ิ:ว|ต|ี:ฟ|ร|ี|	D:u|t|y:◊:F|r|e:e|
ด:ิ:ว|ท:ี|อ:อ|ฟ|แ:ค|ร|์|	D:u|t:y:◊|O|f|◊:C:a|r|e|
ด|ิ|ส|ก|์|จ|็:อ|ก|ก|ี:ย:์|	D|i|s|c|◊|J|o|c|k|e:y|
ด|ิ|ส:ก:์|ด:ิ|แ:ฟ|ร|ก|เ:ม|น|ต:์|	D|i|s:k|◊:D:e|f|r:a|g|m|e:n|t|
ด|ิ|ส|ก|์|เ:บ|ร|ก|	D|i|s|c|◊|B|r:a|k:e|
ด|ี|ป|ฟ|ร|า:ย|	D|e|e:p:◊|F|r|y|
ด|ี|ป|ฟ|ร|ี|ซ|	D|e|e:p:◊|F|r|e:e|z:e|
ด|ี|พ|า|ร:์|ต|เ:ม|น|ต:์|ส|โ:ต:ร|์|	D|e|p|a|r|t|m|e:n|t:◊:S|t|o:r|e|
ด|ี|อ:อ|ก:ซ:ี|ไ:ร|โ:บ|น:ิ:ว|ค|ล|ิ|อ:ิ|ก|แ:อ|ซ|ิ|ด|	D|e|o|x:y|r|i:b:o|n:u|c|l|e|i|c:◊|A|c|i|d|
ด|ี|ไ:ซ|เ:น|อ:ร:์|บ|ั:ก|	D|e|s:i:g|n|e:r|◊:B|u:g:s|
ด:ุ:๊|ก|อ:อ|ฟ|เ|ว|ล|ล|ิ:ง|ต|ั|น|	D:u|k:e:◊|O|f|◊|W|e:l|l|i:n:g|t|o|n|
ด|ู|ล|อ|ง|แ:อ|น|ด:์|เ:ป|ต|ิ|ต|	D|u|l|o|n:g:◊|A|n|d|◊:P:e|t|i|t|
ต|ร|ิ|น|ิ|แ:ด|ด|แ:อ|น|ด:์|โ:ต|เ:บ|โ|ก|	T|r|i|n|i|d|a:d:◊|A|n|d|◊:T:o|b|a|g:o|
ท|ร|อ|ป|ิ:ก|อ:อ|ฟ|แ:ค|น|เ:ซ|อ:ร:์|	T|r|o|p|i:c:◊|O|f|◊:C:a|n|c|e:r|
ท|ร|อ|ป|ิ:ก|อ:อ|ฟ|แ:ค|ป|ร|ิ|ค|อ|ร:์|น|	T|r|o|p|i:c:◊|O|f|◊:C:a|p|r|i|c|o|r|n|
ท|ร|ั|ม|เ:ป|็|ต|แ:ด|ฟ|โ:ฟ:ด|ิ|ล|	T|r|u|m|p|e|t|◊:D:a|f:f|o:d|i|l|
ท|ร|ั|ส|ช|์|ไ:น|ต|ิ|ง|เ:ก|ล|	T:h|r|u|s|h|◊|N|i:g:h|t|i:n|g|a:l:e|
ท|ร|ิ|ก|อ:อ|ร:์|ท:ร|ี|ต|	T|r|i|c:k:◊|O|r|◊:T:r|e:a|t|
ท|ร|ิ|น|ิ|ต|ี|ค:อ|ล|เ|ล|จ|	T|r|i|n|i|t|y|◊:C:o|l|l|e|g:e|
ท|อ|ล:์|ก|โ:ช|ว:์|	T|a|l|k:◊|S:h:o|w|
ท|ั|ก|โ:บ|ต|	T|u|g:◊|B:o:a|t|
ท:ั|ม|ส|์|อ:ั|ป|	T:h:u|m:b|s|◊|U|p|
ท:ั|ม:ไ|ด|ร|ฟ:์|	T:h:u|m:b:◊|D|r|i:v:e|
ท|า|ส:ก:์|บ:า|ร:์|	T|a|s:k|◊:B:a|r|
ท|ี|ม|เ:ป|อ:ร:์|ซ|ู:ต|	T|e|a:m:◊|P|u:r|s|u:i:t|
ท:ี|ว:ี|พ|ู|ล|	T|v|◊:P:o|o|l|
ท|ี|อ:อ|ฟ|	T|e:e:◊|O|f:f|
ท|ี|เ|ช|ิ|ร:์|ต|	T|e|e|◊:S:h|i|r|t|
ท:ี|โ|บ|น|ส|เ:ต|็|ก|	T|-|b|o:n:e|◊:S|t|e|a:k|
ท|็:อ|ป|ซ|ี|เ:ค|ร|ต|	T|o|p:◊|S|e|c|r:e|t|
ท|็:อ:ป|บ|ู:ต|	T|o:p|◊:B|o:o:t|
ท|็:อ:ป|แ:ฮ|ต|	T|o:p|◊:H:a|t|
น|อ|น|เ|อ|เ:ค:ว|ี|ย:ส|เ:ฟ|ส|	N|o|n|-|a|q:u|e|o:u:s|◊:P:h|a:s:e|
น|อ|น|ไ:อ:โ|อ|น|ิ|ค|โ:พ|ล|ี|เ:ม|อ:ร:์|	N|o|n|-:i|o|n|i|c|◊:P:o|l|y|m|e:r|
น|ั|ม|ล|็:อ|ก|	N|u|m|◊:L|o|c:k|
น|ั:ม:เ|บ|อ:ร:์|ว:ั|น|	N|u:m|b:e|r:◊|O|n:e|
น|ิ|ว|ก|ิ|น|ี|	N|e|w|◊:G:u|i|n|e:a|
น:ิ:ว|ค|ล|ิ|อ:ิ|ก|แ:อ|ซ|ิ|ด|	N:u|c|l|e|i|c:◊|A|c|i|d|
น|ิ|ว|ค:า|ล|ิ|โ:ด:เ|น|ี|ย|	N|e|w|◊:C:a|l|e|d:o|n|i|a|
น|ิ|ว|จ|อ|ร:์|เ:จ|ี|ย|	N|e|w|◊:G:e|o|r|g|i|a|
น|ิ|ว|บ|ร|ิ|เ:ต|น|	N|e|w|◊:B|r|i|t|a:i:n|
น|ิ|ว|ย:อ|ร:์|ก|	N|e|w|◊:Y:o|r|k|
น|ิ|ว|ล|ุ:ก|	N|e|w|◊:L|o:o:k|
น|ิ|ว|ส:์|ค:ล|ิ|ป|ป|ิ:ง|	N|e|w|s|◊:C:l|i|p|p|i:n:g|
น:ิ:ว|เ:ค|ล|ี|ย:ร:์|ฟ:ิ:ว|ช:ั|่:น|	N:u|c|l|e:a|r:◊|F:u|s:i:o|n|
น:ิ:ว|เ:ค|ล|ี|ย:ร:์|ฟ:ิ|ส|ิ|ก|ส:์|	N:u|c|l|e:a|r:◊|P:h:y|s|i|c|s|
น|ิ|ว|เ:ด|ล:ี|	N|e|w|◊:D:e|l:h:i|
น|ิ|ว|แ:ฮ|โ:น:เ|ว|อ:ร:์|	N|e|w|◊:H:a|n:o|v|e:r|
น|ิ|ว|ไ|อ:ร:์|แ:ล|น|ด:์|	N|e|w|◊:I|r|e:l:a|n|d|
น|ิ|โ:ค|ล|ป:ร|ิ|ซ:ึ:ม|	N|i|c|o:l|◊:P:r|i|s:m|
น|็:อ|ก|เ:อ:า|ต:์|	K:n|o|c:k:◊|O:u|t|
บ|ร|อ|ด|เ:ว|ย:์|	B|r|o|a:d|◊:W:a|y|
บ|ร|ั|ช|อ:อ|น|	B|r|u|s:h:◊|O|n|
บ|ร|ั|น|ส|ว|ิ:ก|ส:ต|ู|	B|r|u|n|s|w|i:c:k|◊:S:t|e:w|
บ|ร|า|ซ|ิ|ล|น:ั|ต|	B|r|a|z|i|l|◊:N:u|t|
บ|ร|า:ว|น|์|ช|ู|ก|า|ร:์|	B|r|o|w:n|◊|S|u|g|a|r|
บ|ร|ิ|ต|เ:ท:ิ|ล|ไ:ม|ก|า|	B|r|i|t|t|l:e|◊:M:i|c|a|
บ|ล|ั|ช|อ:อ|น|	B|l|u|s:h:◊|O|n|
บ|ล|ั:ด|พ:ุ|ด|ด|ิ:ง|	B|l|o:o:d|◊:P:u|d|d|i:n:g|
บ|ล|ั|ด|ส:โ:ต|น|	B|l|o|o:d:◊|S:t|o:n:e|
บ|ล|ี|ด|ด:ิ:้|ง|ฮ:า|ร:์|ต|	B|l|e|e|d:i|n:g:◊|H:e:a|r|t|
บ|ล|ู|ช|ี|ส|	B|l|u|e:◊:C|h:e:e|s:e|
บ|ล|ู|ฟ|ิ|น|ท:ู|น:่:า|	B|l|u:e|f|i|n|◊:T:u|n:a|
บ|ล|็:อ|ก|โ:ว|ต|	B|l|o|c:k|◊:V:o|t:e|
บ|อ|ก:ซ:์|แ:อ|น|ด|์|ท:ู|	B|o|x:◊|A|n|d|◊|T:w:o|
บ|อ|ง|ว|ั:ว|ย|า:ช|	B|o|n|◊:V|o|y|a:g:e|
บ|อ|ด|ี|ก|า|ร:์|ด|	B|o|d|y|◊:G:u|a|r|d|
บ|อ|บ|ว|ิ|ก|	B|o|b:◊|W|i|g|
บ|อ|ร:์|น|ฟ|ร|ี|	B|o|r|n|◊:F|r|e:e|
บ|อ:ล|ร|ู:ม|	B|a:l:l|◊:R|o:o:m|
บ|อ|ส|ซ|า|โ:น|ว|า|	B|o|s|s|a|◊:N:o|v|a|
บ|อ|ส|เ:น|ี:ย|แ:อ|น|ด:์|เ:ฮ|อ:ร:์|เ:ซ|โ:ก|ว|ี|น|า|	B|o|s|n|i:a:◊|A|n|d|◊:H:e|r|z|e:g:o|v|i|n|a|
บ|ั|ต|ฟ:ู|ร|ั|น|	B|a|t|◊:F:u|r|a|n|
บ|ั|ต|ฮ:ิ|ด|ด|ั|น|	B|a|t|◊:H:i|d|d|e|n|
บ|ั|น|จ|ี|จ:ั|ม:บ:์|	B|u|n|g|y|◊:J:u|m:p|
บ|ั|น|จ|ี|จ:ั|ม|พ:์|	B|u|n|g:e|e|◊:J:u|m|p|
บ|ั|น|ด|า|ร:์|เ:ส|ร|ี|เ:บ|ก|า|ว|ั|น|	B|a|n|d|a|r|◊:S:e|r|i|◊:B:e|g|a|w|a|n|
บ|ั|บ|เ:บ|ิ:ล|ก|ั|ม|	B|u|b|b|l:e:◊|G|u|m|
บ|ั|ฟ|เ:ฟ:อ|ร|์|ส|เ:ต|ต|	B|u|f|f:e|r|◊|S|t|a:t:e|
บ|ั|ว|โ|น|ส|ไ:อ|เ:ร|ส|	B|u|e|n|o|s|◊:A:i|r|e:s|
บ|า|น|า|น:า|ส|ป|ล|ิ|ต|	B|a|n|a|n:a:◊|S|p|l|i|t|
บ|า:ย|บ:า|ย|	B|y:e:◊|B|y:e|
บ|า|ย|ส:์|แ:บ|ล|ล|อ|ต|	B|u|y|s|◊:B:a|l|l|o|t|
บ|า|ร:์|บ:ิ|ค:ิ:ว|ซ:อ|ส|	B|a|r|b:e:c|u:e|◊:S:a|u:c:e|
บ|า|ร|์|โ:ค:้|ด|	B|a|r|◊|C:o|d:e|
บ|ิ|ก|บ|ร|า|เ:ท|อ:ร:์|	B|i|g|◊:B|r|o|t:h:e|r|
บ|ิ|ก|เ:ม:้|า|ท|์|	B|i|g:◊|M:o|u|t|h|
บ|ิ|ก|แ:บ|ง|	B|i|g|◊:B:a|n:g|
บ|ี|ต|า|เ:ร|ย|์|	B|e|t|a|◊:R:a|y|s|
บ:ี|น|ช|ี|ท|	B:e:a|n|◊:S:h|e:e|t|
บ|ุ|ล|เ:ท|อ:ร:์|เ:ร|ี:ย|	B|u|l|l:◊:T|e:r|r|i:e:r|
บ|ู:ร:์|ก|ิ|น|า|ฟ:า|โ|ซ|	B|u:r|k|i|n|a|◊:F:a|s|o|
ป|ร|ิ|น|ส|์|อ:อ|ฟ|เ:ว|ล|ส:์|	P|r|i|n|c:e|◊|O|f|◊:W:a|l:e|s|
ป:อ|น|ด|์|ส|เ:ต|อ:ร:์|ล|ิ:ง|	P:o:u|n|d|◊|S|t|e:r|l|i:n:g|
ป|อ|ร|์:ต:ห|ล|ุ|ย:ส:์|	P|o|r|t:◊|L:o|u|i:s|
ป|อ|ร:์|ต|อ:อ|ฟ|ส|เ:ป|น|	P|o|r|t:◊|O|f|◊:S|p|a:i:n|
ป|อ|ร:์|โ:ต|โ:น|โ|ว|	P|o|r|t:o:◊|N|o|v:o|
ป|ั|บ|ล|ิ|ก|เ:ฮ|ี:ย|ร|ิ:ง|	P|u|b|l|i|c|◊:H:e|a|r|i:n:g|
ป|า|น|า|ม|า|ซ|ิ|ต|ี|	P|a|n|a|m|a|◊:C|i|t|y|
ป|า|ป|ั:ว|น|ิ|ว|ก|ิ|น|ี|	P|a|p|a:u:◊|N|e|w|◊:G:u|i|n|e:a|
ป|า|ล:์|ม|ท|อ|ป|ค:อ|ม|พ:ิ:ว|เ:ต|อ:ร:์|	P|a|l|m|t|o|p|◊:C:o|m|p:u|t|e:r|
พ|น|ม|เ|ป|ญ|	P:h:a|n:o|m|◊|P|e:n:h|
พ|ร|็:อ|ม|โ:ป|ร|แ:ก|ร|ม|เ:ม|อ:ร:์|	P|r|o|m:◊|P|r:o|g|r:a|m|m|e:r|
พ|ล|ั|ม|ไ:ว|น|์|	P|l|u|m|◊:W:i|n|e|
พ|อ|ป|ค:อ|น:เ|ส|ิ:ร:์|ต|	P|o|p|◊:C:o|n|c:e|r|t|
พ|อ|ป|แ:จ|ซ|	P|o|p:◊|J:a:z|z|
พ|อ|ย|ท:์|เ:ร|ซ|	P|o|i|n:t:◊|R|a:c:e|
พ|อ|ร:์|ต|ม|อ|ร|์|ส|บ|ี|	P|o|r|t|◊:M|o|r|e|s|b|y|
พ|อ|ร:์|ต|ว:ิ|ล|า|	P|o|r|t|◊:V:i|l|a|
พ|อ|ล|พ|ต|	P|o|l|◊:P:o|t|
พ|อ|ล:ิ|ไ|ว|น|ิ:ล|ค|ล|อ|ไ:ร|ด|์|	P|o|l:y:◊|V|i|n|y:l:◊|C:h|l|o:r|i|d|e|
พ:ั:บ|บ|ล|ิ|ก|บ:า|ร:์|	P:u|b|l|i|c|◊:B:a|r|
พ|า|ย|ค:ร|ั|ส|ต:์|	P|i|e|◊:C:r|u|s|t|
พ|า|ร|า|เ:ม|า|ต:์|พ|ิ|ก|เ:จ:อ|ร|์|ส|	P|a|r|a|m|o:u|n:t:◊|P|i|c|t:u|r|e|s|
พ|า|ร:์|ม|ิ|ซ|า|น|ช|ี|ส|	P|a|r|m|e|s|a|n:◊|C:h|e:e|s:e|
พ|า|ร:์|แ:ช|ล:ล:์|ฟ:ล|ู:ม|	P|a|r|s:h:a|l:l|◊:F:l|u:m:e|
พ|า|ล:์|เ:ม|อ:ร:์|โ|บ|ว|ล|ั:ส|ฟ|ล|ู:ม|	P|a|l|m|e|r|◊:B|o:w|l|u:s:◊|F|l|u:m:e|
พ:า:ว|น|์|เ:ค|้:ก|	P:o|u:n|d:◊|C|a:k:e|
พ|ิ|ง:ก:์|เ:ล|ด|ี|	P|i|n:k|◊:L:a|d|y|
พ|ิ|น|น:ั|ม|เ:บ|อ:ร:์|	P|i|n|◊:N:u|m|b|e:r|
พ|ิ:โ|ท|ต|์:ท:ิ|ว|บ|์|	P|i|t|o:t|◊:T|u|b|e|
พ:ี|น|ั|ต|บ:ั|ต|เ:ต|อ:ร:์|	P:e:a|n|u|t|◊:B:u|t|t|e:r|
พ:ี|ส|พ|ุ|ด|ด|ิ:ง|	P:e:a|s:e:◊|P|u|d|d|i:n:g|
พ:็:อ|ก:เ:ก|ต|บ:ุ|๊:ก|	P:o|c:k|e:t:◊|B:o:o|k|
พ:็:อ|ก:เ:ก|ต|พ:ี|ซ:ี|	P:o|c:k|e:t:◊|P|c|
พ:็:อ|ก:เ:ก|ต|ม:ั:น|น|ี|	P:o|c:k|e:t:◊|M:o|n:e|y|
ฟ|ร|ี|ค|ิ:ก|	F|r|e:e|◊:K|i:c:k|
ฟ|ร|ี|บ:า|ร:์|	F|r|e:e|◊:B:a|r|
ฟ|ร|ี|พ:อ|ร:์|ต|	F|r|e:e|◊:P:o|r|t|
ฟ|ร|ี|เ:ซ|็|ก:ซ:์|	F|r|e|e:◊:S|e|x|
ฟ|ร|ี|เ:ท|า|น:์|	F|r|e|e:◊:T|o:w|n|
ฟ|ร|ี|เ:ว|ย:์|	F|r|e:e|◊:W:a|y|
ฟ|ร|ี|แ:ฮ|น|ด:์|	F|r|e|e:◊:H|a:n|d|
ฟ|ร|ี|โ:ห:ว|ต|	F|r|e:e:◊|V:o|t:e|
ฟ|ร|ุ:ต|ส|ล:ั|ด|	F|r|u:i:t|◊:S|a:l:a|d|
ฟ|ร|ุ:ต|เ|ค|้:ก|	F|r|u:i:t|◊|C|a:k:e|
ฟ|ล|อ|ป|ป|ี|ด:ิ|ส:ก:์|	F|l|o|p|p|y|◊:D:i|s:c|
ฟ|ล|อ|ร:์|โ:ช|ว:์|	F|l|o|o:r:◊|S:h:o|w|
ฟ|ล|า|เ:ว:อ|ร|ิ:ง|ร:ั|ช|	F|l|o|w:e|r|i:n:g|◊:R:u|s:h|
ฟ|อ|ก:ซ:์|เ:ท|อ:ร:์|เ:ร|ี:ย|	F|o|x:◊|T|e:r|r|i:e:r|
ฟ|อ|ร:์|ม|เ:ร|โ:ช|	F|o|r|m|◊:R:a|t:i:o|
ฟ|อ|ส|เ:บ:อ|ร:ี|ฟ|ล|อ|ป|	F|o|s|b:u|r:y:◊|F|l|o|p|
ฟ|ั|ง:ก:์|ช:ั|น|ค|ี:ย:์|	F|u|n:c|t:i:o|n|◊:K|e:y|
ฟ|า|ส|ต:์|ฟ|ู:ด|	F|a|s|t|◊:F|o:o:d|
ฟ|า|ส|ต:์:เ|ล|น|	F|a|s|t|◊:L|a:n:e|
ฟ:ิ|ล|ด:์|ฮ:อ|ก|ก|ี:้|	F:i:e|l|d|◊:H:o|c|k:e|y|
ฟ|ิ:ล|เ|ต|อ:ร:์|เ:ค|้:ก|	F|i|l|t:e|r:◊|C|a:k:e|
ฟ|ิ:ล|เ|ต|อ:ร:์|เ:อ|ด|	F|i|l|t:e|r:◊|A|i:d|
ฟ|ิ|ล:์|ม|น|ั|ว|ร:์|	F|i|l|m|◊:N|o|i|r|
ฟ:ิ:ว|ช:ั|่:น|แ:จ|ซ|	F:u|s:i:o|n|◊:J:a|z:z|
ฟ|ี|ค|ั:ล|ส|เ:ต|ร|ป|โ|ต|ค:็:อ|ก|ค|ั|ส|	F|e|c|a:l:◊|S|t|r:e|p|t|o|c:o|c|c|u|s|
ฟ|ี|ค|ั|ล|โ:ค|ล|ิ|ฟ|อ|ร:์|ม|	F|e|c|a|l|◊:C:o|l|i|f|o|r|m:s|
ฟ|ี|ค|ั|ล|โ:ค|ล|ิ|ฟ|อ|ร:์|ม|แ:บ|ค|ท|ี|เ:ร|ี|ย|	F|e|c|a|l|◊:C:o|l|i|f|o|r|m|◊:B:a|c|t|e|r|i|a|
ฟ|ี|ด|แ:บ:็|ก|	F|e:e|d:◊|B:a|c:k|
ฟ|ี|ล|ด|์|อ:ิ|ร|ิ|ง|โ:ก:้|	F|i:e|l|d|◊|E|r|y|n|g:o|
ฟ|ี|ล|ด:์|ไ:บ|น|์|ว|ี|ด|	F|i:e|l|d|◊:B:i|n|d|w|e:e|d|
ฟ:ุ|ต|ว:า|ล:์|ว|	F:o:o|t|◊:V:a|l|v:e|
ฟ:ุ|ต|เ:ว:ิ|ร:์|ก|	F:o:o|t:◊|W:o|r|k|
ฟ|ู|ม|ิ|เ|ก|ช:ั|น|พ:ล|ู:ม|	F|u|m|i|g|a|t:i:o|n|◊:P:l|u:m:e|
ฟ|ู:ล|ม|ู:น|ป:า|ร:์|ต:ี:้|	F|u:l:l|m|o:o:n|◊:P:a|r|t:y|
ฟ|ู:ล|ไ:ท|ม|์|	F|u:l:l|◊:T:i|m|e|
ม|อ|น|ต|ิ|ค:า|ร|์:โ:ล|	M|o|n|t|e|◊:C:a|r|l:o|
ม|อ|ร|์|,|◊|เ:ซ:อ|ร|์|ท:อ|ม|ั|ส|	M|o|r|e|,|◊|S:i|r|◊|T:h:o|m|a|s|
ม|อ|ร:์|น|ิ:่|ง|ก:ล|อ|ร|ี|	M|o|r|n|i|n:g|◊:G:l|o|r|y|
ม|อ|ร:์|ร|ิ|ส|,|◊|จ:อ|ร:์|จ|◊:แ:อ|ล:.:◊|เ|ค|.|	M|o|r|r|i|s|,|◊|G:e:o|r|g:e|◊|L|.|k|.|
ม|อ:ล|ต|์|เ:อ|ก:ซ|แ:ท|ร|ก|ต:์|	M:a|l|t|◊|E|x|t|r:a|c|t|
ม|อ|ล:เ|ท|ด|ม|ิ|ล:ก:์|	M|a|l|t:e|d:◊|M|i|l:k|
ม|อ|ส|พ:ิ|ง:ก:์|	M|o|s:s|◊:P:i|n:k|
ม|อ|ส|ฟ:ล:้|อ|ก:ซ:์|	M|o|s:s|◊:P|h:l:o|x|
ม|ั|ล|ต:ิ|ซ|ิ|ส:เ|ท|ม|	M|u|l|t:i:◊|S|y|s|t:e|m|
ม|ั|ล|ต:ิ|ม|ิ:เ:ด|ี|ย|	M|u|l|t:i:◊|M|e:d|i|a|
ม|ั|ล|ต|ิ|ม|ี|เ:ด|ี:ย|เ:ม|ส|เ:ส|จ|เ|ซ|อ:ร:์|ว|ิ|ส|	M|u|l|t|i|m|e|d|i:a:◊|M|e:s|s|a:g:e|◊|S|e:r|v|i|c:e|
ม|ั|ส|ต|า|ร:์|ด|แ:ก:๊|ส|	M|u|s|t|a|r|d:◊|G:a|s|
