ה|י:ט:פ|י|ל|ד|	H|e:t:f:i|e|l|d|
ט|ו|ד|י|ק|	T|u|d|y|k|
ת:י:ס|י|ג|ר|	T:h:e:s|i|g|e:r|
ג:'|א:נ:י|ו|נ|י|	G|i:a:g:n|o|n|i|
פ|ר|ו|ק|ו|פ|	P|r|o|k|o|p|
ב:ר|נ:א:ר|	B:a:r|n:a:r:d|
י:ז:י|ד|	Y:a:z:i|d|
ק:ו:מ|א|ל|ו|	K:h:u:m|a|l|o|
מ|ו|ל|י|ל|ו|	M|u|l|i|l|o|
ב:ו|ט|ר|ו|ס|	B:o:u|t|r|o|s|
מ|ו|ל|י|נ|א|	M|o|l|i|n|a|
מ:י:א|ט|א|	M:i:y:a|t|a|
ג|י:י|ל|	G|a|e:l|
פ:י:ר|י|י|ר|א|	F:e:r:r|e|i|r|a|
ס|ט|י|פ:ן|	S|t|e|f:f:e:n|
ס:י|ל:ב:י|י|ן|	S|y:l:v:a|i|n|
ב|ו|ר|ו|נ|ד|י|	B|u|r|u|n|d|i|
פ:נ:ח|ס|	P:i:n:h:a|s|
פ|ר|א:ש:א|	P|r|u:s:s:i:a|
פ|נ:ו:ם|	P|h:n:o:m|
ר|א:ג:ב|	R|a:g:h:e:b|
ד|י|ד:ר:ו|	D|i|d:e:r:o:t|
מ|י|ר|ק|ו|ר|י|	M|e|r|c|u|r|y|
ל|ו|ל|י|ט|א|	L|o|l|i|t|a|
ב:ו:כ|נ|ר|	B:u:c:h|n|e:r|
א|מ|י|ד|י|ו|	A|m|e|d|e|o|
מ|נ|א|ף|	M:a|n|a|f|
ט|א|ק|י|ש|י|	T|a|k|e|s:h|i|
ב|ר|צ:':ל|י|נ|ו|	B|e:r|c:e:l:l|i|n|o|
ה|א|ן|	H:a|a|n|
ר:א|מ:ס:פ|י|ל|ד|	R|u:m:s:f|e|l|d|
ב|א|ל|י|ס|ט|י|ק|	B|a|l:l|i|s|t|i|c|
ק|י|ר|ס|ט|ן|	K|i|r|s|t:e|n|
ב:נ|ט|	B:e:n|n:e:t:t|
נ|א|ן|	N:a|a|n|
ל|י|ט|ל|	L|i|t:t|l:e|
ב:ה:ר|א|מ|י|	B:e:h:r|a|m|i|
מ|א|ק|ו|נ:י:ן|	M|a|k|o|n:n:e:n|
מ|א|ר|ק:ס|	M|a|r|x|
ק:א:ן|	C:a:a:n|
ש:ו|ס|ט|ר|	S:c:h:u|s|t|e:r|
א|מ|ד|ן|	E|m|d:e|n|
ב|ל|א:ק|ס|ט|ו|ן|	B|l|a:c:k|s|t|o|n:e|
ק|י|ר|י:צ:'|נ|ק|ו|	K|i|r|i:c:h:e|n|k|o|
א:פ:ו|ל|י|נ|א|ר|י|ס|	A:p:o:l|l|i|n|a|r|i|s|
ח:מ:ד|א|ן|	H:e:m:d|a|n|
ס|ט|ו|ל|ט|נ|ב|ר|ג|	S|t|o|l|t:e|n|b|e:r|g|
ב|א|ט|ל|ר|	B|u|t|l|e:r|
ט|א|ד|י|ר|א|ן|	T|a|d|i|r|a|n|
ל|א|ט|ב|י|א|	L|a|t|v|i|a|
פ:ו:ז|י|	P:o:s:e|y|
ס|ר|י|נ|א|ג|א|ר|	S|r|i|n|a|g|a|r|
ח|ו:ו:א|ט|מ:ה|	H:a|w:a|t|m:e:h|
פ|ר|ו|ס|ט|	F|r|o|s|t|
ו|ל|א|ס|י:ט:ש|	V|l|a|s|i:c|
נ|ו|ז|ו|מ|ו|	N|o|z|o|m|u|
א|נ|י|	A|n|i|
נ|י|א|ל|	N|i|a|l:l|
ב|ר|ו|נ|י|י|	B|r|u|n|e|i|
ס|ט|י|נ|ד|א|ר|ד|ו|	S|t|e|n|d|a|r|d|o|
א:ש:כ|נ:ז:י|	A:s:h:k:e|n:a:z:i|
ז|א|נ|י|ט|י|	Z|a|n|e|t:t|i|
ק:פ:ו|ר|י|	K:f:o:u|r|y|
ה|ו|ר|נ|א|	H|o|r|n|a|
ג:'|ו|ס|פ|א|ן|	J|o|s|p|i|n|
ה|ו|ר|ן|	H|o|r|n:e|
ק:י|ו|מ|י|ן|	C|u|m|i|n|
פ|ל|ו|ר|י|ן|	F|l|o|r|i|n|
מ:ו:ח|מ:ד|	M:o:h:a:m|m:e:d|
ל|י|פ|ט|י|ן|	L|e|p|t|i|n|
נ|א|ז|י|ק|	N|a|z|i|k|
ק|י|ד|ו|	K|i|d|o|
ק|ו|ג|י|ו|ק|ו|	K|o|g|y|o|k|u|
ה|י|ד|י:נ:ק|	H|i|d|d:i:n:k|
ק:ו:ט|ו|	C:o:u:t|o|
ג:'|א:פ|	J|a:a:p|
פ|ו|נ|ט|י|ס|	P|o|n|t|e|s|
ס|ט|ו|ק|ר|	S|t|o|k|e:r|
ו:נ:ד|י|	W:e:n:d:e|e|
ו|י|ר|ץ|	W|i|e:r|t:z|
ב|ו|י|נ|ס|ק|	B|u|i|n|s|k|
ס|ל|ו|ב|א|ק|י|א|	S|l|o|v|a|k|i|a|
פ|א|ר|א|מ|ו|ר|	P|a|r|a|m|o|r|
א:י:ב|א|נ|ז|	E:v|a|n|s|
פ|י|ל|י|	P|e|l:l|e|
ק:ל:ק|ט|א|	K:o:l:k:a|t|a|
ר:ו:ת|ל|י|ס|ב|י|ר|ג|ר|	R:o:t:h|l|i|s|b|e|r|g|e:r|
פ|י|ל|י|	P|e|l:l|i|
ס|י|ב|ו|ס|י|ס|ו|	S|i|b|u|s|i|s|o|
ד:א:ג|ס|ט|א|ן|	D:a:g:e|s|t|a|n|
ד|ר|א|ג|נ|י|א|	D|r|a|g|n|e|a|
ש|י|ב|א|ט|א|	S:h|i|b|a|t|a|
ל|י|ו|ן|	L|y|o|n|
פ|א|ז|ד|א|ן|	P|a|z|d|a|n|
ק:א:ר|ו:ה|	Q:a:r:u|h|
ו|י|ט|א:ל:י|	V|i|t|a:l:i:y|
מ:א:ק|ק:ו:י|ן|	M:c|q:u:e:e|n|
א:י|ג:'|א|ק:ס|	A|j|a|x|
ז:א:ק|ר|	Z:u:c:k:e|r|
ג|ר|ו|נ|ב|י|י|ן|	G|r|u|n|b|e|i|n|
מ:ו:ח|א:ר:ם|	M:u:h:a|r:r:a:m|
א:י:ב|ר|ס|ו|ן|	I:v|e:r|s|o|n|
ה|י|ר|א|ק|ל|י:ט:ס|	H|e|r|a|c|l|i:t:u:s|
ט|ר|י|ג|ב|י|	T|r|y|g|v|e|
ח|ו|א|נ|ד|י|	J|u|a|n|d|e|
ק|א|נ|ט|ו|נ|א|	C|a|n|t|o|n|a|
ס|ט|ר|א|ס:י:ר|	S|t|r|a|s:s:e:r|
ח:ר:י|ס|א|	H:a:r:i:s|s|a|
ד|ו|ה|א|מ|ל|	D|u|h|a|m|e:l|
ר|ו|ד|ו|ל|פ|ו|	R|o|d|o|l|f|o|
ר|ו|ז:נ:ב|ל|א|ט|	R|o|s:e:n:b|l|a|t:t|
ק:ד|י|ר|ו|ב|	K:a:d|y|r|o|v|
ל|ו|ר|נ|א|	L|o|r|n|a|
ק|א|מ|י:ל|	C|a|m|i:l:l:e|
ק|א|פ:ו:ר|	K|a|p:o:o:r|
פ|י|ו|ל|י|ן|	P|i|o|l|i|n:e|
ר|ו|מ|ו|ל|ו|	R|o|m|u|l|o|
מ|א|ד|י|ר|נ|ו|	M|a|d|e|r|n|o|
פ|ו|ל|י|	P|u|l|i|
פ|ו|ש|ק|י|ן|	P|u|s:h|k|i|n|
פ|ו|מ|י|ו|	F|u|m|i|o|
ת:י:מ|ב:נ:ק|ו:ס:י|	T:h:e:m:b|i:n:k:o:s|i|
ו|י|נ|י|ז|י|א|	V|e|n|e|z|i|a|
א|מ:ר|ס|ו|ן|	E|m:e:r|s|o|n|
ט|א|פ:ר|	T|a|f:e:r|
ה|ו|ס|ק|י|נ|ס|	H|o|s|k|i|n|s|
ב|ו|ז|ו|ל|ג:'|א|ק|	B|o|z|o|l|j|a|c|
נ|א|ג|מ|א|	N|a|g|m|a|
ע|ר|פ:א:ת|	A|r|a:f:a:t|
א:ד:ל|ר|	A:d:l:e|r|
ל|י|נ:ד:י|	L|y|n:n:d:i:e|
ח:ו:ד|א|ד|א|ד|	K:h:o:d|a|d|a|d|
ל:א:ז|א|ר|ו|	L:a:z:z|a|r|o|
מ:א:ק|ס:מ:ל|י|א:ן|	M:a|x:i:m:i:l|i:e|n|
מ:ק:ב|י:ל|	M:c:b:e:a|l|
א:פ:ו|ל|ו|	A:p:o:l|l|o|
ל|א|ק|א|ר|ן|	L|a|c|a|r|n:e|
ח|א|ר|א|ן|	H|a|r|a|n|
ק|ל|י|נ|ג|	K|l|i|n|g|
ש|י|נ|ר|י|ק|י|ו|	S:h|i|n|r|i|k|y|o|
א:י:ב|ר|י|	I:v|r|y|
מ|ו|ס|ק|א|ט|	M|u|s|c|a|t|
ס|י|ל|ב|א|	S|y|l|v|a|
ג:'|ו|א|ק:י:ם|	J|o|a|c:h:i:m|
מ|י|ר|י|ד|	M:a|i|r|e|a:d|
ק:ו:פ|נ|ה|א:ג:ן|	C:o:p:e|n|h|a:g:e:n|
מ|ו|ר|ט|י|	M|u|r|t|y|
מ|י|ל|ב:י:ל|	M|e|l|v:i:l:l:e|
ר|א|י|ז|י|ג|י|ר|	R|e|i|z|i|g|e|r|
ר|א|ט|ק|ו|	R|a|t|k|o|
ה|ו|נ|ש|ו|	H|o|n|s:h|u|
ו:ו:ד|ק|ו:ק|	W:o:o:d|c|o:c:k|
פ|ר|א|נ|ס|י|ל|ו|ד|ו|	F|r|a|n|c|i|l:e|u|d|o|
פ|י|ט|ר|א|	P|e|t|r|a|
ג|ו|א|ד|ל:ו:פ|	G|u|a|d:e|l:o:u:p:e|
א|ר|ט|י|מ|י|ס|	A|r|t|e|m|i|s|
פ|י|ט|ר|י|	P|e|t|r|i|
פ|י|א|ל|א|	F|i|a|l|a|
א|ב|ו|ל|י|	E|b|o|l|i|
פ|ו|פ|ל|ו|ה|א|ר|	P|o|p|l|u|h|a|r|
מ:א:נ|י|נ|ג|	M:a:n:n|i|n|g|
ו:ד|	O:u:e:d|
מ|נ|א|ג:'|ד|	M|n|a|j|e:d|
ס|א|נ|א|ד|ר|	S|a|n|a|d|e:r|
ש|י|ר|א|ק|	C:h|i|r|a|c|
ש:א:ד|ל|י|	C:h:a:d:i|l|i|
מ:י:ת|י:י|ן|	M:e:t:h|a|n:e|
י|ו|נ|ג|ה|א|נ|ז|	J|u|n|g|h|a|n|s|
ה|ו|ל|י|ס|	H|o|l:l|i|s|
ט:ר:ש|ק:ו:ב|א|	T:e:r:e:s|h:k:o:v|a|
נ|ו|ר|י|ק|ו|	N|o|r|i|k|o|
פ|ו|ד|י|ס|ט|א|	P|o|d|e|s|t|a|
ס:ן|	S:e:n|
ג:י:'|ו|ל|ו|ג:':י|	G:e|o|l|o|g:y|
ס:א:י|פ|ר|ו|ס|	C:y|p|r|u|s|
פ|א|ו|ל|י|נ|א|	P|a|u|l|i|n|a|
ל:ן|	L:e:n|
מ:ן|	M:e:n|
ג|'|ו|ל|י|א|נ|י|	G|i|u|l|i|a|n|i|
ר|ו|ב|י|נ|ג:'|	R|o|v|i|n|j|
ו|א|ל|ק|י|ר:י|	V|a|l|k|y|r:i:e|
ש:א:פ|ו|ז:י:ו|	C:h:a:p:p|u|z:e:a:u|
ו:ו:ד|ר:ו|	W:o:o:d|r:o:w|
מ|ב|ו|	M|b|o|
מ|י|נ|ג|י|ו|	M|i|n|g|y|u|
פ|ו|ל|י|	P|o|l:l|y|
ד|ו|ר|י|ג|ו|	D|o|r|i|g|o|
א|פ:ר:ת|	E|f:r:a:t|
ה:י:ט|י|נ|ג|א|	H:e:i:t|i|n|g|a|
ס|א|י|ב|י|ט|	S|a|i|v|e|t|
פ|י|ם|	P|i|m|
ב|ל|י|ט|ו|נ|ג|	B|e:l|i|t|u|n|g|
ג:'|י|ם|	J|i|m|
ק|י|ם|	K|i|m|
ל|ו|ד|ו|ב|י|ק|ו|	L|o|d|o|v|i|c|o|
מ|א|ר|ק|ו|	M|a|r|c|o|
נ|ו|ג|ל|י|	N|o|g|l|y|
ס:י:פ|י|	S:e:p:p|i|
ט|ו|ל|י|ד|ו|	T|o|l|e|d|o|
ל|י|ק:נ:ז|	L|e|e:k:e:n:s|
ק|ו|נ|ד|ו|ל|י:ז:א|	C|o|n|d|o|l|e:e:z:z:a|
ס|ו|א|ז|י|ל|א|נ|ד|	S|w|a|z|i|l|a|n|d|
ה:ו:פ|י|ר|ט|	H:u:p:p|e|r|t|
ב:ו:ד|א|ן|	B:o:h:d|a|n|
ר:ו:מ|ל|	R:o:m:m:e|l|
ז|י|ט|ק|א|	Z|i|t|k|a|
מ|ג:'|ד|י|	M:e|j|d|i|
ס|ו|ג:'|ו|ר:נ:ר|	S|o|j|o|u:r:n:e:r|
ה|א|ר|י|א|נ|א|	H|a|r|y|a|n|a|
ס|ו|	S|u|
ל|ו|ס|י|ו|	L|u|c|i|o|
ב|ו|	B|u|
א|ל|ד|י|י|ר|	A|l|d|a|i|r|
ל|י|ו|נ|ו|ר|	L|e|o|n|o|r|
ת:י:ו|פ|א|נ|י|ס|	T:h:e:o|f|a|n|i|s|
פ|ל|ו|ר|י|א|ן|	F|l|o|r|i|a|n|
ל|ו|ס|י|א|	L|u|c|i|a|
א:ס:ן|	E:s:s:e:n|
ג|ל|ו|ב:ר|	G|l|o|v:e:r|
ק|ל|י|נ|ט|	C|l|i|n|t|
צ|'|י:י:מ|ב:ר:ל|י|ן|	C|h|a:m|b:e:r:l:a|i|n|
ש|י|ר|י|ד|א|ן|	S:h|e|r|i|d|a|n|
א|ד|ו|א|ר|ד|ז|	E|d|w|a|r|d|s|
ו|א|ל|ט|	W|a|l|t|
ג:'|ו|ס:ף|	J|o|s:e:f|
ק|י|ל|י|	K|e|l:l|y|
ח|א|ו|י|	H|a|w|i|
פ:ו:ר|ס|ט|ר|	F:o:r:r:e|s|t|e:r|
ל:ו:ת|ר|	L:u:t:h:e|r|
ז|ו|ב|י|ז|א|ר|י:ט:א|	Z|u|b|i|z|a|r|r:e:t:a|
ב|ו:ל:ה|	B|u:l:l:e:h|
ל|י|נ|ד|ב|א|י|	L|e|n|d|v|a|i|
ס:י:פ|י|ר|ט|	S:e:i:f|e|r|t|
ל|ו|ט|א|	L|o|t|a|
ב|ל|ו|ט:ג:ן|	B|l|u|i:t:g:e:n|
צ:':א|נ|ל|	C:h|a:n|e:l|
ס|ט|ו|ר|ט|	S|t|u|r|t|
ח:ס:י|ן|	H:s:i:e|n|
ר|ו|ט|ר|ד|א|ם|	R|o|t:t|e:r|d|a|m|
ר:ו:ב|ן|	R:o:b:b:e|n|
ה|א|ר|ט|מ:א:ן|	H|a|r|t|m:a:n:n|
ש|י|ט|ו|	S:h|i|t:t|u|
ט|ו|מ|א|ס|ו|	T|o|m|a|s|o|
א|ד|ו|נ|י|ס|	A|d|o|n|i|s|
ב|ל|מ|ו|נ|ט|	B|e:l|m|o|n|t|
מ|י|נ|א|מ|ו|ט|ו|	M|i|n|a|m|o|t|o|
ג:'|ו|ה:א:נ|ס|ב:ר:ג|	J|o|h:a:n:n:e|s|b:u:r:g|
ו|א|ל|י|ט|א|	V|a|l:l|e|t:t|a|
ק:ו:ר|א|ד|י|	C:o:r:r|a|d|i|
ט:א:י|ב|י|ר|י|א|ס|	T:i|b|e|r|i|a|s|
ת:ל:מ|ו|ד|	T:a:l:m|u|d|
ב|א|ס|ט|י|א|ן|	B|a|s|t|i|a|n|
י|א:נ:י|ס|	Y|a:n:n:i|s|
פ|ל|ו|ר|י|א|נ|ו|פ|ו|ל|י|ס|	F|l|o|r|i|a|n|o|p|o|l|i|s|
ר|ו|ל|ו|	R|o|l:l|o|
נ|ו|ב|ל|	N|o|b|e:l|
ב|י|ס|מ|א|ר:ק|	B|i|s|m|a|r:c:k|
ט|ו|ר|ק|	T|o|r|k|
ד|ר|ס|ד|ן|	D|r:e|s|d:e|n|
ד|י|נ|י|י|א|ר|	D|i|n|i|y|a|r|
ה|י|ל|י|ב|ו|י|ק|	H|e|l:l|e|b|u|y|c:k|
מ|ו|א|ר|ו|ו|א|ר|י|	M|w|a|r|u|w|a|r|i|
ר|א|א|ף|	R|a|e|f|
ב|ו|ר|ק|	B|o|r|k|
ה|ו|ר|ו|ב:י:ץ|	H|o|r|o|w:i:t:z|
ב|א|ט|י|ס|ט|א|	B|a|t:t|i|s|t|a|
ט|י|ר|נ|א|נ|י:ט:ש|	T|i|r|n|a|n|i:c|
ט|ו|ט|מ|א|	T|o|t|m|a|
צ:'|י|מ|ב|ו|נ|ד|א|	C|h:i|m|b|o|n|d|a|
י:ע:ק|ו:ב|	Y:a:c:o|b|
ה|י:צ:פ|י|ל|ד|	H|i:t:z:f|e|l|d|
ל|א|ז|י|ו|	L|a|z|i|o|
ה|ו|ל|י|	H|o|l:l|y|
ס|ו|נ:י:ס|	S|o|u:n:e:s:s|
ק:ר:י|ר|י|	K:a:r:i|r|i|
ק:ר:י|מ|י|	K:a:r:i|m|i|
פ|א|ל|א|ו|	P|a|l|a|u|
ר|ו|ב|י|נ|ה|ו|	R|o|b|i|n|h|o|
פ|א|י|ו|ל|	F|a|y|o|l|
ה:י:ב|י|ס|א:י|ד|	H:e:a:v|i|s|i|d:e|
ד|מ|י|ט|ר|י|י|ב|	D|m|i|t|r|i|e|v|
פ:ר:מ|א|ן|	F:i:r:m|a|n|
ג:'|י:י|ם|	J|a|m:e|
ל|א|נ|א|נ:ר:ק|	L|a|n|a|r:k|
נ:ל:י|	N:e:l:l:y|
ק:ס:י|ר|	K:a:s:s:i|r|
ר|י|צ:':י|	R|i|c:h:i:e|
ב:י|	B:e:a|
ו:ז:נ|י:א:ק|	W:o:z:n:i|a:k|
מ|א|י|ו|ר|ק|א|	M|a|j|o|r|c|a|
מ|א|ד|ו:נ:א|	M|a|d|o:n:n:a|
ל|א|ו|ד|ר|ו|פ|	L|a|u|d|r|u|p|
ב|ר|י|ן|	B|r|i|n|
ב:י|ר:נ:ז|	B|u:r:n:s|
ת|ג:'|ו:ו:י|ד|	T:a|j|w:i|d|
ד|א|ר|ס|י|	D|a|r|c|y|
פ|א|ר|א|ד|י|ס|ו|	P|a|r|a|d|i|s|o|
מ:א:י|ל|י|	M:i|l:e|y|
ס|א|ס|א|ק|י|	S|a|s|a|k|i|
ס|א|י:י:ד|	S|a|y:y:i:d|
מ|י|נ|א|ג|א|ו|א|	M|i|n|a|g|a|w|a|
ר|ו|ס|ד|י:ס|ק|י|	R|u|s:e|d|s|k|i|
ק|ר|א|ד:ו:ק|	C|r|a|d:d:o:c:k|
ט|א|י|מ|א|	T|a|y|m|a|
ד|י|ל|א|	D|e|l:l|a|
ס:ר:ס|ו|ר|	S:a:r:s|u|r|
ב|ו|נ|ג|א|ר|ץ|	B|o|n|g|a|r|t:z|
ה:ל:ו|י|	H:a:l:e:v|y|
א:ד:י|	E:d:i:e|
ש|י|פ|מ|א|ן|	S:h|i|p|m|a|n|
ז:ק:ר|י|א|	Z:a:k:a:r|i|a|
י|א|ז|א|ל|ד|י|	Y|a|z|a|l|d|e|
ר:י:נ|א|ל|ד|ו|	R:e:i:n|a|l|d|o|
מ|א|ס|א|ש|י|	M|a|s|a|s:h|i|
ג:נ|א|ם|	G:h:a:n:n|a|m|
ש:מ:ש|ו:ן|	S:h:i:m:s|h:o:n|
מ|א|ל|כ:א:ז|	M|a|l|k:h:a:z|
ו|א|ט|א|ר|ו|	W|a|t|a|r|u|
ק|א|נ|י|ג:י:א|	C|a|n|i|g:g:i:a|
ק:ר:א|נ|ו|ס|י:ט:ש|	K:a:r:a|n|u|s|i:c|
פ|י|ר|ל|	P|e|r|l|
א|ג|ו|י|ל|י|ר|א|	A|g|u|i|l|e|r|a|
ג:ו|צ:':י|ו|ן|	G:u:c|c:i|o|n:e|
ד|א|ר|ו|י|	D|a|r|u|i|
מ|ו|נ|ט|	M|o|n|t:t|
ה|י|י|נ|י|מ:א:ן|	H|e|y|n|e|m:a:n:n|
ק|א|נ|י|ט|י|	C|a|n|e|t:t|i|
ט|א|מ|פ|א|	T|a|m|p|a|
ב|י|ר|ל|	B|e|r|l|
ב|י|ל|א|	B|e|l:l|a|
א|ב|י|ב|י|	A|b|e|b|e|
נ|י|ו|ס|ט|ד|	N|e|w|s|t:e|d|
מ|ו|נ|ט|י|	M|o|n|t|i|
ב:ל|ו|	B:e:l:l|o|
מ|ו|נ|ט|י|	M|o|n|t|e|
ט|ס|ו|ט|ו|מ|ו|	T|s|u|t|o|m|u|
פ|י|ל|ס|נ|ר|	F|e|l|s|n|e:r|
א|י|ר|ה|א|ר|ט|	E|a|r|h|a|r|t|
נ|ז|י|ף|	N:a|z|i|f|
מ|א|י|א|	M|a|y|a|
ז:':ו|	Z:h:o:u|
ו|א|ל|ד|ה|א:י|ם|	W|a|l|d|h:e|i|m|
ק|א|ל|י|ג|ו|ל|א|	C|a|l|i|g|u|l|a|
נ|א|ז|י|ם|	N|a|z|i|m|
ט|ל|א|ל|	T:a|l|a|l|
נ|א|צ|י|ז|	N|a|z|i|s|
ס|א|י|ז|	S|a|e|z|
ל|י|ו|ב|ו|מ|י|ר|	L|j|u|b|o|m|i|r|
ו|י|נ|ס|ו|ן|	V|i|n|s|o|n|
ס|א|ל|א|ס|	S|a|l|a|s|
ס|א|ל|א|ר|	S|a|l|a|r|
ס|ר|ו|ר|	S|r|u|r|
ק|ו|ר|ו|ט|ו|ר|ק|	K|o|r|u|t|u|r|k|
פ|ו|ר|ט|	F|o|r|t|
ד:י:ג|ו:ק|	D:e:g:a|u:q:u:e|
ע|ר|א|	A|r|a|
ב|ר|א|מ|א|נ|ט|י|	B|r|a|m|a|n|t|e|
ה:ל:ו|י|	H:a:l:e:v|i|
ת:י:ו|	T:h:i:o|
ס|י|ב|י|ר|ו|ס|	S|e|v|e|r|u|s|
ל:ו|י|נ|ס|ק|י|	L:e:w|i|n|s|k|y|
ט|ו|מ|ו|ק|ו|	T|o|m|o|k|o|
ל|א|ב|ו|א|ז|י|י|ה|	L|a|v|o|i|s|i|e|r|
ג:ר:ו|ס|מ|א|ן|	G:r:o:s|s|m|a|n|
א:ל:א|ו|י:ש:ס|	A:l|o|y:s:i:u:s|
א:ו|ה|י|ו|	O|h|i|o|
פ|א|ל|ט|ר|מ|א:י:ר|	F|a|l|t|e:r|m|e:y:e:r|
ו|א|ס|א|ר|י|	V|a|s|a|r|i|
ג|י|ל|י|א|ד|	G|i|l|e|a|d|
מ:י:ק|א|ל|י|ס|	M:i:c:h|a|l|i|s|
ה|י|ל|מ|ו|ט|	H|e|l:l|m|u|t|
ל|י|ס|ט|	L|i|s|t|
ד|ו|ר|ס|ן|	D|o|r|s|i:n|
ס|א|נ|ד|ל|ר|	S|a|n|d|l|e:r|
י|ו|ר|י|א|ק|ו|	Y|u|r|y|a|k|u|
ס|ו|ס|י:ט:ש|	S|u|s|i:c|
ר|א|מ|ו|	R|a|m|e:a:u|
ק|א|ר|י|נ|י|	C|a|r|i|n|i|
פ:ל:י|ס|י|ר|ז|	P:l:e:s|s|e|r|s|
א:י|ת:מ:ר|	I|t:a:m:a:r|
מ|א|ס|א|מ|י|	M|a|s|a|m|i|
ב:ק:ר|	B:a:k:r|
מ|א|ס|א|ק|י|	M|a|s|a|k|i|
ר|י|ז|י|ק|	R|i|z|i|k|
ב:ח:מ|ד:ו:ן|	B:h:a:m|d:o:u:n|
מ|א|ר:ק:ו|	M|a|r:k:k:u|
ר|י|נ|א|ט|ו|	R|e|n|a|t|o|
ב|ו|ר|י|א|ט|י|א|	B|u|r|y|a|t|i|a|
ר|ו|מ:י:י|נ|י|א|נ|ז|	R|o|m:a|n|i|a|n|s|
א:ו|ל|מ|א|ן|	U|l:l|m|a|n|
פ|א|פ|י|ן|	P|a|p|i|n|
ג:w:א|נ|י|	G:i:a:n|n|i|
מ:נ|ד|ו|נ|ק|א|	M:e:n|d|o|n|c|a|
ב|א|ק|י|ר|	B|a|q|i|r|
ב|ר|א|ה|מ|א|	B|r|a|h|m|a|
נ|ו|ב|ר|י|	N|o|b|r|e|
ה:א:ו|ו:ל|ז|	H:o:w:e|l|l:s|
ב|א|ל|ו|ט|א|	B|a|l:l|o|t:t|a|
מ:נ|ח:ם|	M:e:n|a:c:h:e:m|
ס:ו:ק|	S:o:u:k|
ר|א|י|ק|ו|	R|a|j|k|o|
ג:':ו|ר|ק|א|ס|	G:i:o:u|r|k|a|s|
ס|ו|ש|י|	S|u|s:h|i|
ק:א:ר|י|	C:a:r:r:e|y|
ק:י:נ|י|	K:i:n:n:e|y|
ה:א:ק|א:ב:י|	H:u:c:k|a:b:e:e|
א|ל|י|ס|ט:י:ר|	A|l|i|s|t:a:i:r|
ר:ו:א|י|ד|א|	R:o:u:w:a|i|d|a|
ה|א|נ|ד|ל|ר|	H|a|n|d|l|e:r|
ח|נ|י|ף|	H:a|n|i|f|
מ|ו|ט|א|ר|י|ל|י|	M|u|t|a|r|e|l:l|i|
ס|א|נ|ג|ו|י|נ|י|	S|a|n|g|w|e|n|i|
ג|ל|י|ס|ו|ן|	G|l:e|e|s|o|n|
מ|א|ל|ק|ו|ל|ם|	M|a|l|c|o|l|m|
ע|ב|א|ד|י|	E|b|a|d|i|
ו|א|נ|י|ס|	W|a|n|i|s|
פ|א|ג|א|נ|י|	P|a|g|a|n|i|
נ|ו|מ:ב:י|ט:י|	N|o|m:v:e:t:h|e|
פ|ר|י|ד|ר|י|ק|ס:ו:ן|	F|r|e|d|r|i|k|s:s:o:n|
ק|ו|ר|ד|ל|	C|o|r|d:e|l:l|
ג:'|א|ק:ה|	J|a|c:q:u:e:t|
פ|י:ר:ס|	P|e:a:r:c:e|
ס:י:ן|	S:i:n:n|
ק|א|ר|י|ו:ק:א|	K|a|r|i|o:k:k:a|
ו:י:ן|	W:i:n:n|
ט|א|ה|י|ט|י|	T|a|h|i|t|i|
מ|י|ט|ר|ו|פ|ו:ל|ו|ס|	M|i|t|r|o|p|o:u:l|o|s|
מ|ו|ר|ו|י|	M:a|u|r|o|y|
ל:י:ן|	L:i:n:n|
ס|ל|א|ו|ו|נ|י|א|	S|l|a|v|o|n|i|a|
ל|א|ב|ר|ו|נ|י|נ|ק|ו|	L|a|v|r|o|n|e|n|k|o|
ג:'|א|ב|ר|	J|a|b|e:r|
ק|י|ס|י|ל|י|ו|ב|	K|i|s|e|l|y|o|v|
נ:ד|	N:e:d|
פ|ר|א|ד|ו|	P|r|a|d|o|
פ:י:ן|	F:i:n:n|
ק|ו|ב:נ|ט|ר|י|	C|o|v:e:n|t|r|y|
ר|א:ב:א|	R|a:b:b:a:h|
ל|י:ו:ן|	L|y:o:n:n:e|
ח|ו|ס|ו|	J|o|s|u|
ו|י|ל|י|ס|	W|i|l:l|i|s|
ו|א|ר|נ|ו:ק|	W|a|r|n|o:c:k|
פ|א|ו|ל|א|	P|a|u|l|a|
פ|ל|י|מ|י|נ|ג|	F|l|e|m|i|n|g|
ק|י|נ:ז:י|	K|i|n:s:e:y|
ס|א|ל|י|	S|a|l|i|
ל|י|י|ל|י|י|	L|e|i|l|e|i|
ח:א:ט|ם|	H:a:t:e|m|
י:ד:י|ן|	Y:a:d:i|n|
ס:ע:י|ד|	S:a:e:e|d|
ק:א:ר|א:ג:ר|	C:a:r:r|a:g:h:e:r|
נ|י:פ:ס|	N|i:e:p:c:e|
מ|א|מ:ט|	M|a|m:e:t|
פ|ר|ל|מ|א|ן|	P|e:r|l|m|a|n|
ח:ל|י|ל|י|ל|ו|	K:a:l|i|l|i|l|o|
ע|ק:ב:ה|	A|q:a:b:a|
פ|ו|ר|מ|ו|ז|א|	F|o|r|m|o|s|a|
ו|א|ל|ש|	W|a|l|s:h|
